Inhibitor	Direction	Deletion
1	22Dipyridyl	up	YGR157W
2	22Dipyridyl	up	YKL139W
3	22Dipyridyl	up	YER083C
4	22Dipyridyl	up	YDR378C
5	22Dipyridyl	up	YGR014W
65	22Dipyridyl	down	YNL081C
66	22Dipyridyl	down	YBL005W
67	22Dipyridyl	down	YNR041C
68	22Dipyridyl	down	YNL273W
69	22Dipyridyl	down	YPR191W
70	22Dipyridyl	down	YBR266C
71	22Dipyridyl	down	YJL071W
72	22Dipyridyl	down	YDR393W
73	22Dipyridyl	down	YGL154C
74	22Dipyridyl	down	YGR101W
75	22Dipyridyl	down	YPR173C
76	22Dipyridyl	down	YOL095C
77	22Dipyridyl	down	YGL010W
78	22Dipyridyl	down	YGR188C
79	22Dipyridyl	down	YLR239C
80	22Dipyridyl	down	YCR028C-A
81	22Dipyridyl	down	YPL178W
82	22Dipyridyl	down	YBR115C
83	22Dipyridyl	down	YGL004C
84	22Dipyridyl	down	YML001W
85	22Dipyridyl	down	YDR007W
86	22Dipyridyl	down	YCR071C
87	22Dipyridyl	down	YDR004W
88	22Dipyridyl	down	YOR221C
89	22Dipyridyl	down	YJL046W
90	22Dipyridyl	down	YGR032W
91	22Dipyridyl	down	YBR248C
92	22Dipyridyl	down	YIL094C
93	22Dipyridyl	down	YDR019C
94	22Dipyridyl	down	YIL020C
95	22Dipyridyl	down	YNL003C
96	22Dipyridyl	down	YGR022C
97	22Dipyridyl	down	YGL009C
98	22Dipyridyl	down	YGL017W
99	22Dipyridyl	down	YDL013W
100	22Dipyridyl	down	YPL172C
101	22Dipyridyl	down	YOR125C
102	22Dipyridyl	down	YDL006W
103	22Dipyridyl	down	YDR276C
104	22Dipyridyl	down	YDL001W
105	22Dipyridyl	down	YDL002C
106	22Dipyridyl	down	YDR006C
107	22Dipyridyl	down	YHR018C
108	22Dipyridyl	down	YHR134W
109	22Dipyridyl	down	YGL005C
110	22Dipyridyl	down	YBR113W
111	22Dipyridyl	down	YDL012C
112	22Dipyridyl	down	YBR005W
113	22Dipyridyl	down	YOL009C
114	22Dipyridyl	down	YBR130C
115	22Dipyridyl	down	YLR413W
116	22Dipyridyl	down	YGL036W
117	22Dipyridyl	down	YMR289W
118	22Dipyridyl	down	YBL017C
119	22Dipyridyl	down	YKL211C
120	22Dipyridyl	down	YIL057C
121	22Dipyridyl	down	YBR283C
122	22Dipyridyl	down	YEL010W
123	22Dipyridyl	down	YDR005C
124	22Dipyridyl	down	YDR139C
125	22Dipyridyl	down	YHR157W
126	22Dipyridyl	down	YMR044W
127	22Dipyridyl	down	YCR073W-A
128	22Dipyridyl	down	YDR346C
11	24Dimethylimidazole	up	YJL101C
21	24Dimethylimidazole	up	YNL140C
31	24Dimethylimidazole	up	YKL139W
41	24Dimethylimidazole	up	YMR198W
49	24Dimethylimidazole	down	YDR004W
50	24Dimethylimidazole	down	YNL081C
51	24Dimethylimidazole	down	YGR101W
52	24Dimethylimidazole	down	YFL001W
53	24Dimethylimidazole	down	YNL273W
54	24Dimethylimidazole	down	YGR022C
55	24Dimethylimidazole	down	YNR041C
56	24Dimethylimidazole	down	YPR191W
57	24Dimethylimidazole	down	YML001W
58	24Dimethylimidazole	down	YGL010W
59	24Dimethylimidazole	down	YOL095C
60	24Dimethylimidazole	down	YOR221C
61	24Dimethylimidazole	down	YJL046W
62	24Dimethylimidazole	down	YDR393W
63	24Dimethylimidazole	down	YLR237W
64	24Dimethylimidazole	down	YIL094C
651	24Dimethylimidazole	down	YBR248C
661	24Dimethylimidazole	down	YDL006W
671	24Dimethylimidazole	down	YCR071C
681	24Dimethylimidazole	down	YCR028C-A
691	24Dimethylimidazole	down	YHR018C
701	24Dimethylimidazole	down	YGL154C
711	24Dimethylimidazole	down	YJL071W
721	24Dimethylimidazole	down	YBR266C
731	24Dimethylimidazole	down	YMR307W
741	24Dimethylimidazole	down	YDL013W
751	24Dimethylimidazole	down	YPL178W
761	24Dimethylimidazole	down	YDL002C
771	24Dimethylimidazole	down	YGR032W
781	24Dimethylimidazole	down	YOR338W
791	24Dimethylimidazole	down	YBR289W
801	24Dimethylimidazole	down	YIL020C
811	24Dimethylimidazole	down	YLR239C
821	24Dimethylimidazole	down	YGL017W
831	24Dimethylimidazole	down	YPL172C
841	24Dimethylimidazole	down	YGR188C
851	24Dimethylimidazole	down	YDR276C
861	24Dimethylimidazole	down	YMR031W-A
871	24Dimethylimidazole	down	YDR245W
881	24Dimethylimidazole	down	YOR209C
891	24Dimethylimidazole	down	YKL211C
901	24Dimethylimidazole	down	YDR139C
911	24Dimethylimidazole	down	YLR131C
921	24Dimethylimidazole	down	YLR443W
931	24Dimethylimidazole	down	YAR003W
941	24Dimethylimidazole	down	YER116C
951	24Dimethylimidazole	down	YBR113W
961	24Dimethylimidazole	down	YJR109C
12	26Dimethylpyrazine	up	YJL065C
22	26Dimethylpyrazine	up	YOL138C
310	26Dimethylpyrazine	up	YOR279C
47	26Dimethylpyrazine	up	YCR086W
510	26Dimethylpyrazine	up	YJR087W
6	26Dimethylpyrazine	up	YDL083C
7	26Dimethylpyrazine	up	YHR081W
8	26Dimethylpyrazine	up	YMR307W
9	26Dimethylpyrazine	up	YOR112W
24	26Dimethylpyrazine	down	YJL004C
25	26Dimethylpyrazine	down	YML124C
26	26Dimethylpyrazine	down	YFL031W
27	26Dimethylpyrazine	down	YML048W
28	26Dimethylpyrazine	down	YGL166W
29	26Dimethylpyrazine	down	YBR209W
30	26Dimethylpyrazine	down	YDR162C
311	26Dimethylpyrazine	down	YBR164C
32	26Dimethylpyrazine	down	YHL031C
33	26Dimethylpyrazine	down	YCR077C
34	26Dimethylpyrazine	down	YER139C
35	26Dimethylpyrazine	down	YIL128W
36	26Dimethylpyrazine	down	YNL098C
37	26Dimethylpyrazine	down	YOR069W
38	26Dimethylpyrazine	down	YGL165C
39	26Dimethylpyrazine	down	YPL161C
40	26Dimethylpyrazine	down	YLR184W
411	26Dimethylpyrazine	down	YER083C
42	26Dimethylpyrazine	down	YJL169W
43	26Dimethylpyrazine	down	YJR066W
44	26Dimethylpyrazine	down	YJR073C
45	26Dimethylpyrazine	down	YDL077C
46	26Dimethylpyrazine	down	YDR452W
13	2Methylimidazole	up	YKL139W
210	2Methylimidazole	up	YBR016W
15	2Methylimidazole	down	YNL273W
16	2Methylimidazole	down	YER011W
17	2Methylimidazole	down	YDR019C
18	2Methylimidazole	down	YGL154C
19	2Methylimidazole	down	YPL172C
20	2Methylimidazole	down	YHR134W
211	2Methylimidazole	down	YGR157W
221	2Methylimidazole	down	YGR188C
23	2Methylimidazole	down	YJL120W
241	2Methylimidazole	down	YLR182W
251	2Methylimidazole	down	YGR096W
261	2Methylimidazole	down	YGL125W
271	2Methylimidazole	down	YDL197C
281	2Methylimidazole	down	YDR357C
129	45Methylimidazole	up	YOR121C
212	45Methylimidazole	up	YMR272C
312	45Methylimidazole	up	YGR149W
410	45Methylimidazole	up	YLR262C
511	45Methylimidazole	up	YBR130C
610	45Methylimidazole	up	YLR187W
710	45Methylimidazole	up	YMR031W-A
810	45Methylimidazole	up	YJR053W
910	45Methylimidazole	up	YML106W
10	45Methylimidazole	up	YLR094C
1110	45Methylimidazole	up	YPR172W
1210	45Methylimidazole	up	YDR055W
131	45Methylimidazole	up	YOL160W
14	45Methylimidazole	up	YDL019C
151	45Methylimidazole	up	YLR281C
161	45Methylimidazole	up	YBR293W
171	45Methylimidazole	up	YHL028W
181	45Methylimidazole	up	YNL041C
191	45Methylimidazole	up	YER095W
201	45Methylimidazole	up	YJR050W
213	45Methylimidazole	up	YBR283C
222	45Methylimidazole	up	YCL027W
231	45Methylimidazole	up	YDR245W
242	45Methylimidazole	up	YDR309C
252	45Methylimidazole	up	YBR118W
262	45Methylimidazole	up	YDR093W
272	45Methylimidazole	up	YMR316C-B
282	45Methylimidazole	up	YLR413W
291	45Methylimidazole	up	YMR068W
301	45Methylimidazole	up	YLR037C
313	45Methylimidazole	up	YPL121C
321	45Methylimidazole	up	YPL038W
331	45Methylimidazole	up	YNL058C
341	45Methylimidazole	up	YDR100W
351	45Methylimidazole	up	YGR069W
361	45Methylimidazole	up	YBR113W
371	45Methylimidazole	up	YGL198W
381	45Methylimidazole	up	YER066W
391	45Methylimidazole	up	YAR003W
401	45Methylimidazole	up	YLR257W
412	45Methylimidazole	up	YMR326C
421	45Methylimidazole	up	YHR061C
431	45Methylimidazole	up	YKL211C
441	45Methylimidazole	up	YKL216W
451	45Methylimidazole	up	YOR044W
461	45Methylimidazole	up	YGR042W
471	45Methylimidazole	up	YDL162C
48	45Methylimidazole	up	YPL052W
491	45Methylimidazole	up	YCR001W
501	45Methylimidazole	up	YDL114W
512	45Methylimidazole	up	YMR124W
521	45Methylimidazole	up	YHR157W
531	45Methylimidazole	up	YHR167W
541	45Methylimidazole	up	YHL005C
551	45Methylimidazole	up	YDL080C
561	45Methylimidazole	up	YKR064W
571	45Methylimidazole	up	YPR117W
581	45Methylimidazole	up	YNL140C
591	45Methylimidazole	up	YLR018C
601	45Methylimidazole	up	YMR030W
611	45Methylimidazole	up	YIL153W
621	45Methylimidazole	up	YPL244C
130	4OHAcetophenone	up	YMR143W
214	4OHAcetophenone	up	YER092W
314	4OHAcetophenone	up	YGL105W
413	4OHAcetophenone	up	YBR115C
513	4OHAcetophenone	up	YBR266C
612	4OHAcetophenone	up	YHR018C
712	4OHAcetophenone	up	YGR184C
812	4OHAcetophenone	up	YMR039C
912	4OHAcetophenone	up	YEL063C
1010	4OHAcetophenone	up	YBR082C
1111	4OHAcetophenone	up	YFL013C
1211	4OHAcetophenone	up	YBR291C
132	4OHAcetophenone	up	YJR118C
141	4OHAcetophenone	up	YOR304W
152	4OHAcetophenone	up	YJL120W
253	4OHAcetophenone	down	YLR426W
263	4OHAcetophenone	down	YHL031C
273	4OHAcetophenone	down	YFL031W
283	4OHAcetophenone	down	YDL119C
292	4OHAcetophenone	down	YNL153C
302	4OHAcetophenone	down	YBR164C
315	4OHAcetophenone	down	YOL116W
322	4OHAcetophenone	down	YLR055C
332	4OHAcetophenone	down	YDR485C
342	4OHAcetophenone	down	YER056C-A
352	4OHAcetophenone	down	YBR231C
362	4OHAcetophenone	down	YHL025W
372	4OHAcetophenone	down	YFL001W
382	4OHAcetophenone	down	YKL008C
392	4OHAcetophenone	down	YJL004C
402	4OHAcetophenone	down	YDR162C
414	4OHAcetophenone	down	YCR053W
422	4OHAcetophenone	down	YDR334W
432	4OHAcetophenone	down	YPL051W
442	4OHAcetophenone	down	YLR085C
452	4OHAcetophenone	down	YOL081W
462	4OHAcetophenone	down	YGL023C
472	4OHAcetophenone	down	YML071C
481	4OHAcetophenone	down	YOR014W
133	4OHBenzaldehyde	up	YMR143W
215	4OHBenzaldehyde	up	YJL120W
316	4OHBenzaldehyde	up	YGL105W
415	4OHBenzaldehyde	up	YDR121W
514	4OHBenzaldehyde	up	YER092W
613	4OHBenzaldehyde	up	YMR307W
713	4OHBenzaldehyde	up	YGR184C
813	4OHBenzaldehyde	up	YBR200W
913	4OHBenzaldehyde	up	YEL063C
1011	4OHBenzaldehyde	up	YKL050C
393	4OHBenzaldehyde	down	YLR426W
403	4OHBenzaldehyde	down	YAL026C
416	4OHBenzaldehyde	down	YOR008C-A
423	4OHBenzaldehyde	down	YHL031C
433	4OHBenzaldehyde	down	YDL142C
443	4OHBenzaldehyde	down	YIL066C
453	4OHBenzaldehyde	down	YGL124C
463	4OHBenzaldehyde	down	YLR380W
473	4OHBenzaldehyde	down	YML048W
482	4OHBenzaldehyde	down	YIL098C
492	4OHBenzaldehyde	down	YDR162C
502	4OHBenzaldehyde	down	YIL160C
515	4OHBenzaldehyde	down	YBR164C
522	4OHBenzaldehyde	down	YER083C
532	4OHBenzaldehyde	down	YJL004C
542	4OHBenzaldehyde	down	YGL020C
552	4OHBenzaldehyde	down	YMR198W
562	4OHBenzaldehyde	down	YDL119C
572	4OHBenzaldehyde	down	YNL153C
582	4OHBenzaldehyde	down	YPR141C
592	4OHBenzaldehyde	down	YHL025W
602	4OHBenzaldehyde	down	YCR053W
614	4OHBenzaldehyde	down	YFL001W
622	4OHBenzaldehyde	down	YJR120W
631	4OHBenzaldehyde	down	YPL161C
641	4OHBenzaldehyde	down	YOL081W
652	4OHBenzaldehyde	down	YDR354W
662	4OHBenzaldehyde	down	YDR512C
672	4OHBenzaldehyde	down	YNL098C
682	4OHBenzaldehyde	down	YLR262C
692	4OHBenzaldehyde	down	YPL051W
702	4OHBenzaldehyde	down	YLR268W
714	4OHBenzaldehyde	down	YMR183C
722	4OHBenzaldehyde	down	YML081C-A
732	4OHBenzaldehyde	down	YML071C
742	4OHBenzaldehyde	down	YDR360W
752	4OHBenzaldehyde	down	YKL212W
762	4OHBenzaldehyde	down	YGL043W
134	4OHBenzoicAcid	up	YMR289W
216	4OHBenzoicAcid	up	YNL223W
317	4OHBenzoicAcid	up	YHL028W
417	4OHBenzoicAcid	up	YPR172W
516	4OHBenzoicAcid	up	YER097W
615	4OHBenzoicAcid	up	YDR285W
715	4OHBenzoicAcid	up	YMR031W-A
814	4OHBenzoicAcid	up	YMR307W
914	4OHBenzoicAcid	up	YBR283C
1012	4OHBenzoicAcid	up	YAR003W
1112	4OHBenzoicAcid	up	YKL211C
1212	4OHBenzoicAcid	up	YCL027W
135	4OHBenzoicAcid	up	YPL244C
142	4OHBenzoicAcid	up	YNL334C
153	4OHBenzoicAcid	up	YGR149W
162	4OHBenzoicAcid	up	YOL160W
172	4OHBenzoicAcid	up	YER066W
182	4OHBenzoicAcid	up	YBR118W
192	4OHBenzoicAcid	up	YMR030W
202	4OHBenzoicAcid	up	YJR053W
217	4OHBenzoicAcid	up	YKL216W
223	4OHBenzoicAcid	down	YNL125C
232	4OHBenzoicAcid	down	YOL090W
243	4OHBenzoicAcid	down	YDL119C
254	4OHBenzoicAcid	down	YEL063C
264	4OHBenzoicAcid	down	YGR184C
274	4OHBenzoicAcid	down	YDR213W
136	5HMF	up	YJL120W
218	5HMF	up	YGL195W
318	5HMF	up	YFR009W
418	5HMF	up	YMR143W
517	5HMF	up	YKR026C
616	5HMF	up	YJL101C
716	5HMF	up	YMR307W
815	5HMF	up	YGR184C
915	5HMF	up	YGL084C
1013	5HMF	up	YKR082W
1113	5HMF	up	YOL001W
1213	5HMF	up	YDR159W
137	5HMF	up	YAL010C
143	5HMF	down	YMR283C
154	5HMF	down	YER151C
163	5HMF	down	YKL079W
173	5HMF	down	YLR032W
183	5HMF	down	YBR025C
193	5HMF	down	YMR183C
203	5HMF	down	YFL001W
219	5HMF	down	YNL273W
224	5HMF	down	YDR360W
233	5HMF	down	YLR315W
138	Acetamide	up	YAL023C
2110	Acetamide	down	YCR086W
225	Acetamide	down	YJR140C
234	Acetamide	down	YDR074W
244	Acetamide	down	YKL050C
255	Acetamide	down	YDR451C
265	Acetamide	down	YNR010W
275	Acetamide	down	YBR200W
284	Acetamide	down	YOR038C
293	Acetamide	down	YLR113W
303	Acetamide	down	YER156C
319	Acetamide	down	YCR081W
323	Acetamide	down	YCR077C
333	Acetamide	down	YNL229C
343	Acetamide	down	YJL124C
353	Acetamide	down	YNL147W
363	Acetamide	down	YHL025W
373	Acetamide	down	YLR085C
383	Acetamide	down	YBR231C
394	Acetamide	down	YDR378C
404	Acetamide	down	YML016C
139	AcetoSyringone	up	YGL136C
220	AcetoSyringone	up	YDR126W
320	AcetoSyringone	up	YGR089W
419	AcetoSyringone	up	YPL095C
518	AcetoSyringone	up	YLR239C
617	AcetoSyringone	up	YGL007W
717	AcetoSyringone	up	YKL124W
816	AcetoSyringone	up	YER108C
916	AcetoSyringone	up	YGL105W
1014	AcetoSyringone	up	YIL020C
1114	AcetoSyringone	up	YGR023W
1214	AcetoSyringone	up	YDR006C
1310	AcetoSyringone	up	YMR143W
