YAL023C	YAL026C	YBL005W	YBR005W	YBR113W	YBR115C	YBR164C	YBR200W	YBR248C	YBR266C	YBR289W	YCR028C-A	YCR044C	YCR053W	YCR071C	YDL001W	YDL002C	YDL006W	YDL012C	YDL013W	YDL020C	YDL119C	YDL142C	YDR004W	YDR006C	YDR007W	YDR019C	YDR024W	YDR108W	YDR126W	YDR146C	YDR276C	YDR378C	YDR393W	YDR452W	YDR455C	YDR503C	YEL053C	YEL063C	YER083C	YER092W	YER151C	YFL001W	YFL025C	YGL004C	YGL005C	YGL007W	YGL009C	YGL010W	YGL017W	YGL054C	YGL105W	YGL154C	YGR022C	YGR032W	YGR089W	YGR101W	YGR157W	YGR170W	YGR184C	YGR224W	YHL025W	YHL031C	YHR018C	YIL020C	YIL094C	YIL160C	YJL004C	YJL046W	YJL071W	YJL101C	YJL120W	YJR059W	YJR066W	YJR073C	YKL046C	YKL050C	YKL211C	YKL212W	YLL025W	YLR182W	YLR239C	YLR262C	YLR292C	YLR315W	YLR371W	YLR426W	YML001W	YML016C	YML048W	YML071C	YML097C	YML121W	YMR039C	YMR143W	YMR202W	YMR307W	YNL003C	YNL081C	YNL140C	YNL147W	YNL153C	YNL273W	YNL293W	YNL323W	YNR041C	YOL095C	YOL112W	YOL116W	YOL129W	YOR068C	YOR069W	YOR070C	YOR125C	YOR132W	YOR221C	YPL051W	YPL095C	YPL120W	YPL178W	YPR119W	YPR141C	YPR173C	YPR191W
YAL023C	NA	0.235294117647059	0.08	0.130434782608696	0.0476190476190476	0.24	0.172413793103448	0.0952380952380952	0.208333333333333	0.214285714285714	0.368421052631579	0.2	0.235294117647059	0.0952380952380952	0.142857142857143	0.217391304347826	0.166666666666667	0.166666666666667	0.157894736842105	0.185185185185185	0.1	0.241379310344828	0	0.24	0.208333333333333	0.185185185185185	0.24	0.210526315789474	0.15	0.05	0.0476190476190476	0.153846153846154	0.25	0.2	0	0.0476190476190476	0.105263157894737	0.3125	0.153846153846154	0.05	0.0476190476190476	0.142857142857143	0.0833333333333333	0.2	0.142857142857143	0.125	0.0952380952380952	0.12	0.222222222222222	0.115384615384615	0.222222222222222	0.208333333333333	0.24	0.259259259259259	0.25	0.0476190476190476	0.25	0.153846153846154	0.25	0.0869565217391304	0.0476190476190476	0.304347826086957	0.185185185185185	0.24	0.192307692307692	0.28	0.0833333333333333	0.285714285714286	0.217391304347826	0.214285714285714	0.0952380952380952	0.107142857142857	0.3125	0.1	0.285714285714286	0.315789473684211	0.1	0.105263157894737	0.285714285714286	0	0.136363636363636	0.208333333333333	0.222222222222222	0.166666666666667	0.173913043478261	0.333333333333333	0.1	0.291666666666667	0.235294117647059	0.285714285714286	0.107142857142857	0.166666666666667	0.1	0.0454545454545455	0.125	0.352941176470588	0.0869565217391304	0.12	0.24	0.105263157894737	0.157894736842105	0	0.125	0.1	0.388888888888889	0.148148148148148	0.25	0.05	0.0476190476190476	0.0952380952380952	0.294117647058824	0.222222222222222	0.105263157894737	0.130434782608696	0.166666666666667	0.136363636363636	0.368421052631579	0.05	0.166666666666667	0.2	0	0.105263157894737	0.153846153846154	0.208333333333333
YAL026C	0.235294117647059	NA	0.238095238095238	0.388888888888889	0.166666666666667	0.363636363636364	0.375	0.157894736842105	0.272727272727273	0.32	0.388888888888889	0.260869565217391	0.333333333333333	0.294117647058824	0.277777777777778	0.285714285714286	0.227272727272727	0.35	0.4	0.347826086956522	0.4	0.296296296296296	0.111111111111111	0.304347826086957	0.4	0.291666666666667	0.304347826086957	0.375	0.466666666666667	0.25	0.235294117647059	0.260869565217391	0.142857142857143	0.318181818181818	0.111111111111111	0.166666666666667	0.111111111111111	0.333333333333333	0.318181818181818	0.333333333333333	0.235294117647059	0.352941176470588	0.19047619047619	0.277777777777778	0.210526315789474	0.3	0.294117647058824	0.285714285714286	0.333333333333333	0.166666666666667	0.235294117647059	0.4	0.304347826086957	0.269230769230769	0.318181818181818	0.3125	0.318181818181818	0.208333333333333	0.263157894736842	0.263157894736842	0.105263157894737	0.260869565217391	0.409090909090909	0.363636363636364	0.25	0.291666666666667	0.315789473684211	0.444444444444444	0.285714285714286	0.32	0.1	0.153846153846154	0.333333333333333	0.166666666666667	0.368421052631579	0.2	0.235294117647059	0.0526315789473684	0.3	0.111111111111111	0.263157894736842	0.272727272727273	0.235294117647059	0.333333333333333	0.0833333333333333	0.4375	0.166666666666667	0.304347826086957	0.111111111111111	0.238095238095238	0.304347826086957	0.428571428571429	0.235294117647059	0.222222222222222	0.3	0.466666666666667	0.2	0.35	0.304347826086957	0.176470588235294	0.05	0.176470588235294	0.3	0.235294117647059	0.5	0.25	0.318181818181818	0.176470588235294	0.166666666666667	0.157894736842105	0.4	0.235294117647059	0.428571428571429	0.25	0.25	0.2	0.5625	0.333333333333333	0.428571428571429	0.318181818181818	0.25	0.333333333333333	0.318181818181818	0.333333333333333
YBL005W	0.08	0.238095238095238	NA	0.55	0.421052631578947	0.565217391304348	0.344827586206897	0.166666666666667	0.545454545454545	0.56	0.347826086956522	0.590909090909091	0.238095238095238	0.0769230769230769	0.611111111111111	0.65	0.65	0.736842105263158	0.588235294117647	0.608695652173913	0.227272727272727	0.32258064516129	0.181818181818182	0.636363636363636	0.545454545454545	0.681818181818182	0.714285714285714	0.333333333333333	0.333333333333333	0.444444444444444	0.285714285714286	0.75	0.2	0.666666666666667	0.181818181818182	0.285714285714286	0.130434782608696	0.238095238095238	0.4	0.238095238095238	0.285714285714286	0.208333333333333	0.192307692307692	0.16	0.611111111111111	0.684210526315789	0.272727272727273	0.736842105263158	0.652173913043478	0.789473684210526	0.125	0.36	0.714285714285714	0.625	0.666666666666667	0.421052631578947	0.75	0.206896551724138	0.111111111111111	0.363636363636364	0.35	0.166666666666667	0.37037037037037	0.565217391304348	0.636363636363636	0.608695652173913	0.24	0.28	0.65	0.56	0.272727272727273	0.285714285714286	0.238095238095238	0.125	0.185185185185185	0.2	0.227272727272727	0.181818181818182	0.185185185185185	0.238095238095238	0.304347826086957	0.7	0	0.181818181818182	0.28	0.208333333333333	0.173913043478261	0.636363636363636	0.130434782608696	0.142857142857143	0.285714285714286	0.181818181818182	0.285714285714286	0.217391304347826	0.391304347826087	0.166666666666667	0.304347826086957	0.65	0.714285714285714	0.130434782608696	0.173913043478261	0.181818181818182	0.684210526315789	0.125	0.2	0.714285714285714	0.666666666666667	0.130434782608696	0.125	0.166666666666667	0.227272727272727	0.227272727272727	0.130434782608696	0.631578947368421	0.130434782608696	0.666666666666667	0.347826086956522	0.368421052631579	0.368421052631579	0.75	0.181818181818182	0.368421052631579	0.75	0.789473684210526
YBR005W	0.130434782608696	0.388888888888889	0.55	NA	0.368421052631579	0.666666666666667	0.52	0.173913043478261	0.5	0.652173913043478	0.304347826086957	0.7	0.25	0.125	0.473684210526316	0.6	0.684210526315789	0.684210526315789	0.625	0.714285714285714	0.238095238095238	0.333333333333333	0.315789473684211	0.666666666666667	0.833333333333333	0.714285714285714	0.666666666666667	0.285714285714286	0.5	0.666666666666667	0.238095238095238	0.7	0.208333333333333	0.789473684210526	0.0869565217391304	0.181818181818182	0.0869565217391304	0.388888888888889	0.478260869565217	0.315789473684211	0.368421052631579	0.272727272727273	0.25	0.217391304347826	0.4	0.823529411764706	0.35	0.777777777777778	0.681818181818182	0.571428571428571	0.368421052631579	0.571428571428571	0.666666666666667	0.652173913043478	0.7	0.529411764705882	0.619047619047619	0.172413793103448	0.208333333333333	0.380952380952381	0.181818181818182	0.259259259259259	0.5	0.75	0.666666666666667	0.714285714285714	0.363636363636364	0.347826086956522	0.684210526315789	0.652173913043478	0.125	0.25	0.315789473684211	0.181818181818182	0.291666666666667	0.318181818181818	0.181818181818182	0.0416666666666667	0.291666666666667	0.19047619047619	0.208333333333333	0.571428571428571	0.0833333333333333	0.19047619047619	0.148148148148148	0.217391304347826	0.181818181818182	0.521739130434783	0.0869565217391304	0.24	0.4	0.315789473684211	0.3	0.285714285714286	0.476190476190476	0.285714285714286	0.16	0.777777777777778	0.590909090909091	0.19047619047619	0.238095238095238	0.19047619047619	0.476190476190476	0.238095238095238	0.318181818181818	0.666666666666667	0.7	0.136363636363636	0.238095238095238	0.227272727272727	0.3	0.238095238095238	0.315789473684211	0.578947368421053	0.136363636363636	0.611111111111111	0.428571428571429	0.5625	0.315789473684211	0.7	0.315789473684211	0.25	0.789473684210526	0.65
YBR113W	0.0476190476190476	0.166666666666667	0.421052631578947	0.368421052631579	NA	0.409090909090909	0.259259259259259	0.0952380952380952	0.45	0.36	0.238095238095238	0.363636363636364	0.3125	0.0454545454545455	0.333333333333333	0.4	0.4	0.4	0.375	0.333333333333333	0.157894736842105	0.161290322580645	0.05	0.409090909090909	0.318181818181818	0.391304347826087	0.409090909090909	0.210526315789474	0.15	0.3125	0.222222222222222	0.428571428571429	0.136363636363636	0.428571428571429	0.05	0.1	0.05	0.166666666666667	0.25	0.235294117647059	0.157894736842105	0.0909090909090909	0.130434782608696	0.0909090909090909	0.5	0.421052631578947	0.352941176470588	0.4	0.375	0.380952380952381	0.294117647058824	0.208333333333333	0.409090909090909	0.36	0.428571428571429	0.375	0.363636363636364	0.153846153846154	0.19047619047619	0.315789473684211	0.1	0.153846153846154	0.230769230769231	0.409090909090909	0.409090909090909	0.391304347826087	0.3	0.173913043478261	0.473684210526316	0.36	0.210526315789474	0.107142857142857	0.235294117647059	0.0476190476190476	0.173913043478261	0.136363636363636	0.157894736842105	0.235294117647059	0.285714285714286	0.235294117647059	0.0869565217391304	0.380952380952381	0.0476190476190476	0.235294117647059	0.173913043478261	0.0909090909090909	0.0476190476190476	0.347826086956522	0	0.125	0.24	0.235294117647059	0.222222222222222	0.210526315789474	0.227272727272727	0.15	0.136363636363636	0.333333333333333	0.347826086956522	0.166666666666667	0.0476190476190476	0.166666666666667	0.35	0.1	0.19047619047619	0.409090909090909	0.428571428571429	0.05	0.157894736842105	0.0952380952380952	0.157894736842105	0.157894736842105	0.166666666666667	0.444444444444444	0.105263157894737	0.315789473684211	0.238095238095238	0.3125	0.166666666666667	0.428571428571429	0.235294117647059	0.235294117647059	0.363636363636364	0.380952380952381
YBR115C	0.24	0.363636363636364	0.565217391304348	0.666666666666667	0.409090909090909	NA	0.535714285714286	0.185185185185185	0.652173913043478	0.791666666666667	0.4	0.695652173913043	0.304347826086957	0.142857142857143	0.571428571428571	0.608695652173913	0.681818181818182	0.681818181818182	0.476190476190476	0.863636363636364	0.192307692307692	0.451612903225806	0.25	0.739130434782609	0.80952380952381	0.782608695652174	0.739130434782609	0.230769230769231	0.333333333333333	0.428571428571429	0.192307692307692	0.772727272727273	0.214285714285714	0.772727272727273	0.153846153846154	0.24	0.111111111111111	0.363636363636364	0.444444444444444	0.304347826086957	0.347826086956522	0.222222222222222	0.25	0.222222222222222	0.434782608695652	0.714285714285714	0.333333333333333	0.681818181818182	0.826086956521739	0.583333333333333	0.409090909090909	0.583333333333333	0.739130434782609	0.791666666666667	0.772727272727273	0.409090909090909	0.695652173913043	0.21875	0.259259259259259	0.478260869565217	0.24	0.3	0.518518518518518	0.904761904761905	0.739130434782609	0.708333333333333	0.346153846153846	0.5	0.681818181818182	0.791666666666667	0.28	0.290322580645161	0.363636363636364	0.107142857142857	0.285714285714286	0.214285714285714	0.148148148148148	0.111111111111111	0.44	0.25	0.214285714285714	0.583333333333333	0.148148148148148	0.304347826086957	0.241379310344828	0.222222222222222	0.192307692307692	0.739130434782609	0.0714285714285714	0.285714285714286	0.428571428571429	0.428571428571429	0.192307692307692	0.28	0.44	0.391304347826087	0.259259259259259	0.608695652173913	0.739130434782609	0.153846153846154	0.148148148148148	0.153846153846154	0.5	0.24	0.307692307692308	0.666666666666667	0.772727272727273	0.153846153846154	0.192307692307692	0.230769230769231	0.347826086956522	0.291666666666667	0.304347826086957	0.521739130434783	0.25	0.545454545454545	0.590909090909091	0.428571428571429	0.304347826086957	0.772727272727273	0.25	0.304347826086957	0.772727272727273	0.727272727272727
YBR164C	0.172413793103448	0.375	0.344827586206897	0.52	0.259259259259259	0.535714285714286	NA	0.296296296296296	0.464285714285714	0.642857142857143	0.310344827586207	0.5	0.269230769230769	0.296296296296296	0.285714285714286	0.481481481481481	0.481481481481481	0.481481481481481	0.36	0.517241379310345	0.259259259259259	0.5	0.269230769230769	0.592592592592593	0.576923076923077	0.571428571428571	0.482758620689655	0.346153846153846	0.458333333333333	0.375	0.214285714285714	0.5	0.193548387096774	0.555555555555556	0.222222222222222	0.259259259259259	0.222222222222222	0.375	0.5	0.269230769230769	0.36	0.384615384615385	0.357142857142857	0.333333333333333	0.333333333333333	0.444444444444444	0.458333333333333	0.481481481481481	0.551724137931034	0.366666666666667	0.478260869565217	0.64	0.482758620689655	0.586206896551724	0.555555555555556	0.416666666666667	0.448275862068966	0.272727272727273	0.37037037037037	0.37037037037037	0.214285714285714	0.448275862068966	0.692307692307692	0.592592592592593	0.535714285714286	0.517241379310345	0.407407407407407	0.625	0.481481481481481	0.703703703703704	0.166666666666667	0.34375	0.375	0.307692307692308	0.444444444444444	0.275862068965517	0.259259259259259	0.03125	0.344827586206897	0.222222222222222	0.275862068965517	0.464285714285714	0.214285714285714	0.222222222222222	0.21875	0.333333333333333	0.416666666666667	0.482758620689655	0.1	0.392857142857143	0.653846153846154	0.434782608695652	0.307692307692308	0.346153846153846	0.444444444444444	0.458333333333333	0.193548387096774	0.538461538461538	0.535714285714286	0.178571428571429	0.133333333333333	0.222222222222222	0.392857142857143	0.416666666666667	0.37037037037037	0.433333333333333	0.555555555555556	0.222222222222222	0.307692307692308	0.296296296296296	0.416666666666667	0.36	0.375	0.407407407407407	0.375	0.37037037037037	0.52	0.434782608695652	0.375	0.5	0.375	0.222222222222222	0.5	0.464285714285714
YBR200W	0.0952380952380952	0.157894736842105	0.166666666666667	0.173913043478261	0.0952380952380952	0.185185185185185	0.296296296296296	NA	0.153846153846154	0.25	0.285714285714286	0.148148148148148	0.1	0.263157894736842	0.0869565217391304	0.208333333333333	0.16	0.16	0.15	0.178571428571429	0.210526315789474	0.275862068965517	0.157894736842105	0.142857142857143	0.2	0.178571428571429	0.185185185185185	0.263157894736842	0.142857142857143	0.222222222222222	0.15	0.192307692307692	0.181818181818182	0.192307692307692	0.294117647058824	0.352941176470588	0.294117647058824	0.0476190476190476	0.291666666666667	0.157894736842105	0.210526315789474	0.25	0.285714285714286	0.0416666666666667	0.136363636363636	0.166666666666667	0.263157894736842	0.208333333333333	0.214285714285714	0.25	0.15	0.25	0.185185185185185	0.206896551724138	0.148148148148148	0.277777777777778	0.192307692307692	0.107142857142857	0.130434782608696	0.238095238095238	0.15	0.347826086956522	0.375	0.185185185185185	0.185185185185185	0.222222222222222	0.35	0.217391304347826	0.115384615384615	0.206896551724138	0.0434782608695652	0.333333333333333	0.1	0.277777777777778	0.0769230769230769	0.130434782608696	0.210526315789474	0.1	0.0769230769230769	0.222222222222222	0.3	0.2	0.277777777777778	0.222222222222222	0.166666666666667	0.19047619047619	0.277777777777778	0.185185185185185	0.222222222222222	0.217391304347826	0.391304347826087	0.294117647058824	0.4375	0.333333333333333	0.272727272727273	0.2	0.130434782608696	0.260869565217391	0.142857142857143	0.222222222222222	0.210526315789474	0.222222222222222	0.166666666666667	0.352941176470588	0.181818181818182	0.142857142857143	0.148148148148148	0.222222222222222	0.277777777777778	0.411764705882353	0.15	0.210526315789474	0.222222222222222	0.125	0.157894736842105	0.181818181818182	0.227272727272727	0.294117647058824	0.222222222222222	0.148148148148148	0.294117647058824	0.1	0.192307692307692	0.153846153846154
YBR248C	0.208333333333333	0.272727272727273	0.545454545454545	0.5	0.45	0.652173913043478	0.464285714285714	0.153846153846154	NA	0.708333333333333	0.375	0.681818181818182	0.272727272727273	0.153846153846154	0.476190476190476	0.666666666666667	0.75	0.590909090909091	0.526315789473684	0.625	0.16	0.433333333333333	0.166666666666667	0.727272727272727	0.636363636363636	0.625	0.652173913043478	0.25	0.25	0.4	0.260869565217391	0.608695652173913	0.230769230769231	0.681818181818182	0.0769230769230769	0.16	0.037037037037037	0.4	0.423076923076923	0.272727272727273	0.260869565217391	0.24	0.222222222222222	0.192307692307692	0.722222222222222	0.619047619047619	0.363636363636364	0.666666666666667	0.666666666666667	0.5	0.318181818181818	0.44	0.652173913043478	0.64	0.761904761904762	0.380952380952381	0.608695652173913	0.193548387096774	0.28	0.523809523809524	0.16	0.321428571428571	0.5	0.727272727272727	0.80952380952381	0.625	0.32	0.416666666666667	0.75	0.708333333333333	0.2	0.310344827586207	0.333333333333333	0.208333333333333	0.259259259259259	0.28	0.16	0.166666666666667	0.416666666666667	0.12	0.185185185185185	0.636363636363636	0.115384615384615	0.333333333333333	0.307692307692308	0.24	0.260869565217391	0.727272727272727	0.166666666666667	0.307692307692308	0.310344827586207	0.333333333333333	0.208333333333333	0.304347826086957	0.36	0.304347826086957	0.230769230769231	0.521739130434783	0.652173913043478	0.12	0.16	0.166666666666667	0.478260869565217	0.208333333333333	0.28	0.583333333333333	0.761904761904762	0.037037037037037	0.115384615384615	0.0714285714285714	0.318181818181818	0.260869565217391	0.217391304347826	0.65	0.217391304347826	0.523809523809524	0.5	0.4	0.272727272727273	0.681818181818182	0.272727272727273	0.272727272727273	0.608695652173913	0.636363636363636
YBR266C	0.214285714285714	0.32	0.56	0.652173913043478	0.36	0.791666666666667	0.642857142857143	0.25	0.708333333333333	NA	0.407407407407407	0.75	0.269230769230769	0.25	0.5	0.666666666666667	0.739130434782609	0.666666666666667	0.478260869565217	0.76	0.214285714285714	0.548387096774194	0.32	0.791666666666667	0.782608695652174	0.76	0.72	0.25	0.346153846153846	0.434782608695652	0.214285714285714	0.75	0.275862068965517	0.826086956521739	0.178571428571429	0.214285714285714	0.137931034482759	0.375	0.448275862068966	0.32	0.36	0.285714285714286	0.310344827586207	0.2	0.5	0.695652173913043	0.346153846153846	0.739130434782609	0.8	0.576923076923077	0.36	0.576923076923077	0.72	0.769230769230769	0.826086956521739	0.416666666666667	0.68	0.2	0.233333333333333	0.48	0.214285714285714	0.354838709677419	0.692307692307692	0.869565217391304	0.791666666666667	0.76	0.407407407407407	0.56	0.739130434782609	0.916666666666667	0.206896551724138	0.303030303030303	0.375	0.214285714285714	0.3	0.275862068965517	0.172413793103448	0.1	0.392857142857143	0.178571428571429	0.275862068965517	0.64	0.172413793103448	0.269230769230769	0.3	0.241379310344828	0.259259259259259	0.72	0.1	0.392857142857143	0.535714285714286	0.375	0.214285714285714	0.346153846153846	0.444444444444444	0.346153846153846	0.275862068965517	0.666666666666667	0.72	0.178571428571429	0.214285714285714	0.178571428571429	0.5	0.307692307692308	0.275862068965517	0.653846153846154	0.826086956521739	0.137931034482759	0.172413793103448	0.166666666666667	0.416666666666667	0.36	0.375	0.583333333333333	0.32	0.608695652173913	0.583333333333333	0.434782608695652	0.32	0.75	0.269230769230769	0.32	0.75	0.708333333333333
