gene	22Dipyridyl	24Dimethylimidazole	26Dimethylpyrazine	2Methylimidazole	45Methylimidazole	4OHAcetophenone	4OHBenzaldehyde	4OHBenzoicAcid	Acetamide	AcetoSyringone	Acetovanillone	AzelaicAcid	BMIMCl	Benomyl	BenzoicAcid	CV	CaffeicAcid	CinnamicAcid	CoumaricAcid	CoumaroylAmide	DMSO	EMIMCl	EtOH	FerulicAcid	FeruloylAmide	Furfural	GVL	Isobutanol	LevulinicAcid	MBO	Methylglyoxal	Mycobutanil	NAO	SinapicAcid	SodiumGlyoxylate	Syringaldehyde	SyringicAcid	VanillicAcid	Vanillin	5HMF
1	YAL002W	-1.63829410552095	-1.46653661038424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.18773641139317	-1.63633155287632	NA	-1.7834939411977	NA	NA	NA	NA	NA	-1.41342946531069	-1.60058883558177	NA	NA	-1.51396169314368	-1.62712526264489	-1.6404204252016	2.22348044800074	-1.55055011087426	NA	-1.93750597771768	-1.89797612827172	NA	-1.31283630124978	NA	NA	NA	NA	NA
2	YAL004W	0.235778291579587	-0.0212068083839039	0.649959456407446	-0.118717136685319	0.0877650505861125	-0.38141126104808	-0.489643730070607	0.174476285525778	0.0214742771272353	-0.957754586493769	-0.517671293233149	-0.504281067969838	-0.215619755524793	-0.182980557587412	0.244496288182631	0.77764425547717	-0.103608827942243	0.496815132544241	-0.313307996106194	0.173592526843936	-0.0207080393852703	-0.773955399238048	1.15042989179564	-0.383941052589128	0.274030164156923	-0.171538455860413	0.0996210328377521	-0.294540769309312	0.307845229281592	-0.802685010927588	-0.426393722083259	0.160083981119787	-0.316974666648209	-0.308840337391656	0.294576322860523	0.844756786256639	0.646005657674527	0.14290806736092	0.0224260300878919	-0.0148935827658685
3	YAL005C	0.206967115117385	-0.00322127036794813	0.717080482408537	0.292140265826949	0.0922342881930345	-0.413953481768152	-0.183956741558828	0.251798532462766	0.166197568813836	-0.914086763811446	-0.581577843579694	-0.249132478875682	-0.342136959802054	0.00306474618292659	0.283488711824769	-0.516379058765837	0.23127994729542	0.37440741751331	-0.260027010342707	0.310788836412281	0.086540274703086	-0.79655494021752	1.40393815499439	-0.305818052403863	0.35160453372437	-0.116216741329463	0.265921330612347	-0.602497463386052	0.302929993590156	-0.895335489258238	-0.323137511834546	0.00636901689437722	-0.427237319789382	-0.225862395809169	0.0557956826592712	0.940300272385518	1.03147836272606	0.451559346714223	-0.0395184417523447	-0.013594214560342
4	YAL008W	0.0992006666373065	-0.0383985680972032	0.157677317823046	0.00730170016883067	-0.0221476238358299	-0.0524208346019365	0.0764302313809134	-0.0339503657328888	-0.0904921628339064	-0.473781717390214	-0.239941729081016	0.0585301249803258	0.238970448136986	-0.0691710753504924	0.112286081328508	-0.869301096998944	0.0144563569857943	0.429443184875003	-0.182328196705218	0.13672289395546	-0.237462103802194	-0.150414125369013	0.388212059786758	-0.224719538037994	-0.0590198278273924	0.0629656535548329	-0.197352318728541	-0.208847503506403	-0.00744934555062757	-0.237428169807921	0.2474073474028	0.231127713431412	-0.376799526637739	-0.127722603977582	0.0374634242741991	0.0839806673396931	0.302087627956806	0.0301968841509108	-0.148986777781241	-0.139199857126987
5	YAL010C	0.55324859702819	0.0222961178747926	-2.12599117649236	0.137909379354033	-0.182575818241996	-0.303032962538362	-0.851690979945917	-0.0447962223360539	-0.0015709310245708	1.2603504660609	0.40670430744466	-0.978442973006916	-0.774699472614963	-0.171421537105509	-0.376019349974379	-3.79654824373411	-0.0619724218009993	0.696031727587188	0.744184704106539	-0.736360017294935	0.160862083944142	0.215050566084159	-0.28808575941231	1.75358886948304	0.375505724724425	0.242421271995135	-4.97071146121385	-5.17813174635692	0.645278573907351	-4.26611692281704	0.605842293276848	0.168547759493289	-0.319270999990567	0.49964535926017	0.182253270039399	1.4009444944852	-0.460733317152738	0.268831378696105	-0.00310483880510037	1.26745030131083
6	YAL011W	0.0516701566645777	0.190401852704602	-0.837312118981386	0.0741997763425998	-0.0467876683010014	-2.42099103526001	-0.345657652291083	0.114463526038949	-0.636721599697411	-4.71795374529327	-5.89366817667332	-0.487368045815268	-0.295462906518811	0.120084052939534	0.203783495709329	-0.738581287430533	-0.597293724737982	0.552777603920339	-0.126547966068161	-1.89873646659361	-2.50174687413837	-0.0346060735550429	-0.350287795246447	0.104097776714718	-6.94118923573868	-0.0639585084790407	-0.309233485477531	0.217267045279284	-0.143141173750662	0.0413362434330719	0.419309154727528	0.151802785098062	-0.627562514507165	-0.704401942765324	0.178835741109138	-0.48739198988872	-0.488248931907987	-0.131869698820173	-0.656789176568943	-0.20144160653547
7	YAL013W	-0.284945960316757	-0.0735322568922382	-0.851260168965295	0.341469894232393	-0.129432415304317	0.0790911022413435	-0.362531775518059	-0.293989730943584	-0.0984634363233615	0.056504241297284	0.440654164614467	-0.891983615827709	0.241839361173572	0.0617988665396146	-0.262300609842365	0.44688341460851	-0.409751122499145	-1.40131903759743	-0.181819982312637	-0.41335080038684	0.521435928651112	0.753202625469555	-0.318682591143007	0.0838613368988665	-0.00602294099880566	0.235584869963296	-0.306330536643918	-1.3215652596004	-0.0155847368967047	-1.04661423607744	-0.0267587488353179	-0.428009392152367	1.62661940142219	0.0355335384172519	0.159232596857663	0.315099583906802	-0.416192348224533	-1.78643189344955	-0.141141795756605	-0.168409824989795
8	YAL014C	0.0695294027993558	-0.0512123098515035	0.459619308254222	0.0865464240681271	0.00871460809339846	-0.348722258561326	-0.027327499978905	-0.027139431173814	-0.0405648036787211	-0.631645595278998	-0.628366329476727	-0.426040805653399	0.0379430661822223	-0.0372127057613288	-0.175645445177098	-0.26907820932172	-0.201296125698002	0.234310259174936	0.0180196427128846	-0.0220283259934866	-0.363237949970285	-0.635982998855575	0.779589981815324	0.346353590896672	-0.396327923904468	-0.035426290381544	0.191997460699793	-0.11523990116872	0.0232810573646589	0.208890553327869	-0.135559854055082	0.149177527554525	0.085470545925057	-0.306924330347264	0.139689125068755	0.509469748064855	-0.037295699033776	-0.118920628682682	-0.0687466599708189	0.00883765669606403
9	YAL015C	0.220464220318209	0.0259171620318385	-0.0249666902853692	0.15624683748061	0.088223402907781	0.0388638069848471	-0.413558753592951	-0.00378076912749353	-0.184710711888934	-0.199942316059252	-0.171648998904057	-0.290914029583745	0.41546841525131	0.236604711680735	-0.0422934146605947	-0.02301264962108	-0.351473986630129	-0.114418960774845	0.0539959718585387	0.0375983956102107	-0.246503990223743	-0.176115969755973	0.463325251586033	0.0645760643386215	-0.159224421971758	-0.0345394042208267	-0.216878084354773	-0.128032581619554	-0.143468122719428	-0.0158727635712746	0.084195298271422	0.0832456513486098	-0.0106445239054242	-0.210510998242003	0.0735164212736133	-0.558807815836059	-0.31514693912065	-0.532024603562932	-0.307058739372624	-0.245826321912929
10	YAL017W	0.390668876259198	-0.0230375072458699	-0.166520251461355	0.0271702954926848	-0.0409650362949379	0.0270712932017993	-0.178158440054738	0.0263925983746338	-0.216244488791025	0.174303438239143	-0.121116280977981	-0.212571818187469	0.0353326715472343	0.134496563655307	-0.0386984868617832	-0.648696580547546	-0.117453582958005	-0.106615833589555	0.129462745204233	-0.00093311863087498	0.0467924786415469	-0.234656501064943	0.671447858718799	0.114006816292167	-0.104778335271237	0.133195141629572	0.208389550970478	-0.133648033592488	-0.281277966919646	0.0166652556177991	0.0223927054346207	0.315795254166821	-0.189843885095999	-0.0533777325135905	0.0209049503158876	0.133761063785796	0.253565938294862	0.0625860591785858	-0.253784390084056	-0.321016190728841
