ID	Inhibitor.1	Inhibitor.2	Pearson.cor.coef	p.value	Bonf_adj_p.value	class_comparison	sign	all_same.	observed	possible	obs_poss
42	Cationic toxin/IL - Phenolic amide	Phenolic amide	Cationic toxin/IL	-0.3551122	1.45e-09	2.47e-07	Interclass	TRUE	mixed	6	8	6/8
43	Cationic toxin/IL - Phenolic amide	Phenolic amide	Cationic toxin/IL	-0.4429617	5.28e-13	8.98e-11	Interclass	TRUE	mixed	6	8	6/8
44	Cationic toxin/IL - Phenolic amide	Cationic toxin/IL	Phenolic amide	-0.3984196	3.33e-12	5.65e-10	Interclass	TRUE	mixed	6	8	6/8
45	Cationic toxin/IL - Phenolic amide	Phenolic amide	Cationic toxin/IL	0.4265378	1.63e-14	2.76e-12	Interclass	FALSE	mixed	6	8	6/8
46	Cationic toxin/IL - Phenolic amide	Phenolic amide	Cationic toxin/IL	-0.4532877	3.3e-13	5.62e-11	Interclass	TRUE	mixed	6	8	6/8
47	Cationic toxin/IL - Phenolic amide	Phenolic amide	Cationic toxin/IL	0.5178827	1.42e-21	2.41e-19	Interclass	FALSE	mixed	6	8	6/8
48	Cationic toxin/IL - Phenone	Cationic toxin/IL	Phenone	0.4209354	1.55e-13	2.63e-11	Interclass	FALSE	same	3	12	3/12
49	Cationic toxin/IL - Phenone	Cationic toxin/IL	Phenone	0.6180185	3.76e-32	6.4e-30	Interclass	FALSE	same	3	12	3/12
50	Cationic toxin/IL - Phenone	Cationic toxin/IL	Phenone	0.4487942	2.78e-15	4.73e-13	Interclass	FALSE	same	3	12	3/12
51	Fungicide - Phenone	Fungicide	Phenone	-0.35966	6.21e-08	1.05e-05	Interclass	TRUE	same	1	6	1/6
52	Iron chelator - Phenolic acid	Phenolic acid	Iron chelator	-0.5161696	1.25e-18	2.13e-16	Interclass	TRUE	same	4	10	4/10
53	Iron chelator - Phenolic acid	Phenolic acid	Iron chelator	-0.4759123	2.29e-15	3.9e-13	Interclass	TRUE	same	4	10	4/10
54	Iron chelator - Phenolic acid	Phenolic acid	Iron chelator	-0.5494155	1.01e-20	1.72e-18	Interclass	TRUE	same	4	10	4/10
55	Iron chelator - Phenolic acid	Phenolic acid	Iron chelator	-0.5905223	2.68e-26	4.56e-24	Interclass	TRUE	same	4	10	4/10
56	Iron chelator - Phenolic aldehyde	Phenolic aldehyde	Iron chelator	-0.3776801	4.64e-11	7.89e-09	Interclass	TRUE	same	2	3	2/3
57	Iron chelator - Phenolic aldehyde	Phenolic aldehyde	Iron chelator	-0.416882	4.51e-13	7.67e-11	Interclass	TRUE	same	2	3	2/3
58	Iron chelator - Phenolic amide	Phenolic amide	Iron chelator	-0.5528185	2.99e-23	5.09e-21	Interclass	TRUE	same	2	2	2/2
59	Iron chelator - Phenolic amide	Phenolic amide	Iron chelator	-0.4960281	4.81e-19	8.18e-17	Interclass	TRUE	same	2	2	2/2
60	Iron chelator - Phenone	Phenone	Iron chelator	-0.3789749	6.33e-11	1.08e-08	Interclass	TRUE	same	1	3	1/3
61	Phenolic acid - Phenolic aldehyde	Phenolic acid	Phenolic aldehyde	0.7542891	9.9e-44	1.68e-41	Interclass	FALSE	same	16	30	16/30
62	Phenolic acid - Phenolic aldehyde	Phenolic aldehyde	Phenolic acid	0.4863394	2.24e-17	3.8e-15	Interclass	FALSE	same	16	30	16/30
63	Phenolic acid - Phenolic aldehyde	Phenolic aldehyde	Phenolic acid	0.4486494	2.19e-13	3.72e-11	Interclass	FALSE	same	16	30	16/30
64	Phenolic acid - Phenolic aldehyde	Phenolic acid	Phenolic aldehyde	0.3896596	5.76e-11	9.79e-09	Interclass	FALSE	same	16	30	16/30
65	Phenolic acid - Phenolic aldehyde	Phenolic acid	Phenolic aldehyde	0.3783237	1.01e-09	1.72e-07	Interclass	FALSE	same	16	30	16/30
66	Phenolic acid - Phenolic aldehyde	Phenolic aldehyde	Phenolic acid	0.4555289	1.81e-14	3.08e-12	Interclass	FALSE	same	16	30	16/30
67	Phenolic acid - Phenolic aldehyde	Phenolic aldehyde	Phenolic acid	0.4132349	5.59e-12	9.5e-10	Interclass	FALSE	same	16	30	16/30
68	Phenolic acid - Phenolic aldehyde	Phenolic aldehyde	Phenolic acid	0.4199308	8.69e-13	1.48e-10	Interclass	FALSE	same	16	30	16/30
69	Phenolic acid - Phenolic aldehyde	Phenolic aldehyde	Phenolic acid	0.3204496	6.17e-08	1.05e-05	Interclass	FALSE	same	16	30	16/30
70	Phenolic acid - Phenolic aldehyde	Phenolic acid	Phenolic aldehyde	0.3456683	6.95e-08	1.18e-05	Interclass	FALSE	same	16	30	16/30
