"gene"	"Dipyridyl22"	"Dimethylimidazole24"	"Dimethylpyrazine26"	"Methylimidazole2"	"Methylimidazole45"	"OHAcetophenone4"	"OHBenzaldehyde4"	"OHBenzoicAcid4"	"Acetamide"	"AcetoSyringone"	"Acetovanillone"	"AzelaicAcid"	"BMIMCl"	"Benomyl"	"BenzoicAcid"	"CV"	"CaffeicAcid"	"CinnamicAcid"	"CoumaricAcid"	"CoumaroylAmide"	"DMSO"	"EMIMCl"	"EtOH"	"FerulicAcid"	"FeruloylAmide"	"Furfural"	"GVL"	"Isobutanol"	"LevulinicAcid"	"MBO"	"Methylglyoxal"	"Mycobutanil"	"NAO"	"SinapicAcid"	"SodiumGlyoxylate"	"Syringaldehyde"	"SyringicAcid"	"VanillicAcid"	"Vanillin"	"HMF5"
"3"	"YAL005C"	0.206967115117385	-0.00322127036794813	0.717080482408537	0.292140265826949	0.0922342881930345	-0.413953481768152	-0.183956741558828	0.251798532462766	0.166197568813836	-0.914086763811446	-0.581577843579694	-0.249132478875682	-0.342136959802054	0.00306474618292659	0.283488711824769	-0.516379058765837	0.23127994729542	0.37440741751331	-0.260027010342707	0.310788836412281	0.086540274703086	-0.79655494021752	1.40393815499439	-0.305818052403863	0.35160453372437	-0.116216741329463	0.265921330612347	-0.602497463386052	0.302929993590156	-0.895335489258238	-0.323137511834546	0.00636901689437722	-0.427237319789382	-0.225862395809169	0.0557956826592712	0.940300272385518	1.03147836272606	0.451559346714223	-0.0395184417523447	-0.013594214560342
"5"	"YAL010C"	0.55324859702819	0.0222961178747926	-2.12599117649236	0.137909379354033	-0.182575818241996	-0.303032962538362	-0.851690979945917	-0.0447962223360539	-0.0015709310245708	1.2603504660609	0.40670430744466	-0.978442973006916	-0.774699472614963	-0.171421537105509	-0.376019349974379	-3.79654824373411	-0.0619724218009993	0.696031727587188	0.744184704106539	-0.736360017294935	0.160862083944142	0.215050566084159	-0.28808575941231	1.75358886948304	0.375505724724425	0.242421271995135	-4.97071146121385	-5.17813174635692	0.645278573907351	-4.26611692281704	0.605842293276848	0.168547759493289	-0.319270999990567	0.49964535926017	0.182253270039399	1.4009444944852	-0.460733317152738	0.268831378696105	-0.00310483880510037	1.26745030131083
"6"	"YAL011W"	0.0516701566645777	0.190401852704602	-0.837312118981386	0.0741997763425998	-0.0467876683010014	-2.42099103526001	-0.345657652291083	0.114463526038949	-0.636721599697411	-4.71795374529327	-5.89366817667332	-0.487368045815268	-0.295462906518811	0.120084052939534	0.203783495709329	-0.738581287430533	-0.597293724737982	0.552777603920339	-0.126547966068161	-1.89873646659361	-2.50174687413837	-0.0346060735550429	-0.350287795246447	0.104097776714718	-6.94118923573868	-0.0639585084790407	-0.309233485477531	0.217267045279284	-0.143141173750662	0.0413362434330719	0.419309154727528	0.151802785098062	-0.627562514507165	-0.704401942765324	0.178835741109138	-0.48739198988872	-0.488248931907987	-0.131869698820173	-0.656789176568943	-0.20144160653547
"7"	"YAL013W"	-0.284945960316757	-0.0735322568922382	-0.851260168965295	0.341469894232393	-0.129432415304317	0.0790911022413435	-0.362531775518059	-0.293989730943584	-0.0984634363233615	0.056504241297284	0.440654164614467	-0.891983615827709	0.241839361173572	0.0617988665396146	-0.262300609842365	0.44688341460851	-0.409751122499145	-1.40131903759743	-0.181819982312637	-0.41335080038684	0.521435928651112	0.753202625469555	-0.318682591143007	0.0838613368988665	-0.00602294099880566	0.235584869963296	-0.306330536643918	-1.3215652596004	-0.0155847368967047	-1.04661423607744	-0.0267587488353179	-0.428009392152367	1.62661940142219	0.0355335384172519	0.159232596857663	0.315099583906802	-0.416192348224533	-1.78643189344955	-0.141141795756605	-0.168409824989795
"12"	"YAL019W"	0.320528299986033	0.0124890086721584	-0.459133264445629	-0.0166123853190874	0.00102129351716824	-0.290001168856318	-0.266113390762742	0.191585114563259	0.064279842478861	-0.648794816324163	-0.422881329528448	0.00478096491661261	0.376915662137885	0.413028719031855	-0.0102073329458836	-0.282232880686304	-0.151065616590861	-0.0665375729242651	-0.470716015357232	-0.392375082198068	0.145330190029717	0.29899824354341	-0.070227844062015	-0.951221394256247	-0.274656930627801	-0.476684397083246	-0.605261739552318	-0.190073917646155	-0.0541482004577089	-0.258064548843545	0.193311016696777	0.381341350917343	0.0408359400043742	-0.523839031431973	0.239526162637226	-0.091823246658108	0.179881822672008	-0.127194527494883	-0.40582907021454	-0.804796583437896
"15"	"YAL023C"	0.383374009726051	0.082359995503269	0.127429457269343	-0.0485980168985995	0.171630711628538	0.332763797289153	-0.133279007667268	0.0121814049740485	1.01582479180081	0.611955274384741	0.226416640791461	-1.49541881938598	1.21547637491636	-0.166055875411073	-0.462555282392559	1.07670490302978	-1.11155129298335	-0.620847011429671	-0.971188208912534	-0.609958291441508	0.641282007021061	0.758223731510082	-0.126251143560119	-0.7948522418917	0.113696215837713	-0.208104827036039	-1.01679401818107	-0.173231444279185	-0.701977211714772	-0.625787696578897	0.304431854411973	-0.652738267833587	0.964947316163989	-0.903735752283294	-0.31188694035954	-0.463388397610529	-1.59895129681597	-1.22926540416505	-0.396615543144299	0.298453640866317
"16"	"YAL024C"	-0.0332084335877426	-0.0875364923012161	0.206135546512133	0.108567948588943	0.0910644419675464	-1.10623546206445	-0.732995969813017	0.0532577821037572	-0.175997545104216	-2.64413130702483	-1.28560798873185	-0.36484737921231	-0.0931090409916407	-0.13826274221252	0.233105045131662	-0.284325926454616	-0.235784381843956	0.461416356884602	-0.481671493844914	-1.07515618224568	-0.721897341177752	0.193891288974511	0.0203244778155281	-0.486216659654496	-2.60653259749068	-0.0475468338793393	-6.07030842014703	-1.15016399978726	0.0222479997568639	-1.878815170187	0.00582191140253675	-0.171060323053921	0.356056740388357	-0.088764659236121	-0.0458403415281944	0.338640138982479	0.118543941994951	-0.312349716139256	-0.104611872894713	-0.282397473742756
"17"	"YAL026C"	0.152802866319394	0.11279704125686	-0.0646337164978641	0.0414055154260031	0.300625485205763	0.373276809434636	-2.76045807062922	-0.177568677171049	0.0940633896974694	0.36914295759589	0.26020303669574	-0.78786729160396	0.569821449592213	-0.172444911848605	-0.182017557256119	0.448654611024847	-0.772435873167681	-0.360510477825194	-1.62355594624836	-8.62864588212586	0.13267188885436	0.309806932475427	0.501702277738896	-2.5052722736803	-3.71725463424969	0.398151738825843	-0.495408503439966	-0.407950341559528	-0.336944576815944	-2.16903657691023	-0.775014651412521	-0.519808108001056	1.30337369067649	-1.29899035308984	0.0769431128471575	0.235977258336215	-0.00530409492173196	-3.66986908885633	-0.745572314081046	-0.118927511084769
"27"	"YAL042W"	0.391626461624182	-0.00918827751602106	0.428585112562429	-0.0435431775235344	-0.0263688965690246	-0.156793347180561	-0.398784498040155	-0.215409119400552	0.158228170671014	-0.281391493851291	-0.0980829172441413	-0.305161370793339	0.102999508209256	0.222609888509491	-0.170676781890978	0.681416887324595	-0.341913883168128	-0.364895670900396	-0.309717755403917	-0.336098458752142	0.337380246117817	-0.886828314455045	0.703969024096553	-0.717797634270746	-0.0435163094797869	0.127085719936053	-0.599400124692253	-0.707940878953947	-0.164410342525963	-1.39175589727428	-0.216348060155682	0.0447601597414853	0.649675688939032	-0.481903860497403	0.147799879294276	-0.494630170401165	-0.318532277369632	-0.654505835424313	-0.674305720077236	-0.0930584714935936
"35"	"YAL054C"	2.19824508898342	1.59143363984169	1.1691196649963	-0.546909200472444	-0.453630085947481	-0.0843313125392968	0.683945484684746	-0.701086488847214	0.772395087364151	0.971508165338156	-1.13350202805027	-0.787852218649608	0.976295160430024	2.30060732312498	1.01391520197066	-2.18709588442215	-2.00807017258079	-0.18273184137243	0.390362628857693	-0.689894181154902	1.31386735495026	0.363695974737836	-1.77510001868368	-0.305980926131685	-0.93484729933742	1.82166951008368	0.337796379931511	0.772533943628412	2.21592922415126	0.906107151978917	0.94583111562384	0.446010309640196	-0.211072183498778	0.263909674144203	1.4442627227713	-0.281790996784597	-3.30873758336468	-1.11579470191064	0.547646138162232	-0.317067076312298
