"gene"	"CV"
"1"	"YAL002W"	-1.7834939411977
"2"	"YAL004W"	0.77764425547717
"3"	"YAL005C"	-0.516379058765837
"4"	"YAL008W"	-0.869301096998944
"5"	"YAL010C"	-3.79654824373411
"6"	"YAL011W"	-0.738581287430533
"7"	"YAL013W"	0.44688341460851
"8"	"YAL014C"	-0.26907820932172
"9"	"YAL015C"	-0.02301264962108
"10"	"YAL017W"	-0.648696580547546
"11"	"YAL018C"	-0.0840407710486128
"12"	"YAL019W"	-0.282232880686304
"13"	"YAL020C"	-0.302993812076365
"14"	"YAL022C"	-1.24267710364847
"15"	"YAL023C"	1.07670490302978
"16"	"YAL024C"	-0.284325926454616
"17"	"YAL026C"	0.448654611024847
"18"	"YAL027W"	-1.11892135416905
"19"	"YAL028W"	-1.09737914088052
"20"	"YAL029C"	0.660900893073432
"21"	"YAL030W"	-1.827045741738
"22"	"YAL031C"	0.122301421278189
"23"	"YAL034C"	-2.22538968412619
"24"	"YAL036C"	-0.04895467124079
"25"	"YAL037W"	-0.0317307130313723
"26"	"YAL040C"	-2.47322691774498
"27"	"YAL042W"	0.681416887324595
"28"	"YAL043C-A"	0.264223492100196
"29"	"YAL045C"	0.544759623859785
"30"	"YAL046C"	0.353037261998747
"31"	"YAL048C"	0.542796039136624
"32"	"YAL049C"	0.233390538195619
"33"	"YAL051W"	0.0949660716136823
"34"	"YAL053W"	-0.0852490902986142
"35"	"YAL054C"	-2.18709588442215
"36"	"YAL055W"	0.312045154536954
"37"	"YAL056W"	0.195743288824965
"38"	"YAL058C-A"	-1.88206091603218
"39"	"YAL059W"	0.452141070224301
"40"	"YAL060W"	-0.72949863284222
"41"	"YAL061W"	-1.02224067848574
"42"	"YAL062W"	0.699315072416837
"43"	"YAL064C-A"	0.280467338268903
"44"	"YAL065C"	0.598971591605203
"45"	"YAL066W"	0.221413656178385
"46"	"YAL067C"	-0.0452133570949059
"47"	"YAL068C"	-0.36647733041249
"48"	"YAR002C-A"	-0.334958825213273
"49"	"YAR002W"	0.362402029493967
"50"	"YAR003W"	-0.0304882044225592
"51"	"YAR014C"	-3.50160744484957
"52"	"YAR015W"	0.282817128271082
"53"	"YAR020C"	-0.0120330767134197
"54"	"YAR023C"	-0.177729140179469
"55"	"YAR027W"	-0.195379178390931
"56"	"YAR028W"	-0.50586136381762
"57"	"YAR029W"	-2.93662382652445
"58"	"YAR030C"	-0.0803201336321255
"59"	"YAR031W"	-1.20317379659485
"60"	"YAR035W"	0.27581297026024
"61"	"YAR037W"	-0.31547518919126
"62"	"YAR040C"	-0.94061734791762
"63"	"YAR043C"	0.580743202087684
"64"	"YAR044W"	1.00147579295177
"65"	"YAR047C"	0.704439981140602
"66"	"YBL001C"	4.18537235784122
"67"	"YBL003C"	8.27589513317421
"68"	"YBL005W"	7.6128931488715
"69"	"YBL007C"	6.35655322513196
