"gene"	"DMSO"
"1"	"YAL004W"	-0.0207080393852703
"2"	"YAL005C"	0.086540274703086
"3"	"YAL008W"	-0.237462103802194
"4"	"YAL010C"	0.160862083944142
"5"	"YAL011W"	-2.50174687413837
"6"	"YAL013W"	0.521435928651112
"7"	"YAL014C"	-0.363237949970285
"8"	"YAL015C"	-0.246503990223743
"9"	"YAL017W"	0.0467924786415469
"10"	"YAL018C"	-0.221409226207966
"11"	"YAL019W"	0.145330190029717
"12"	"YAL020C"	-0.156415581824065
"13"	"YAL022C"	0.0465476341309465
"14"	"YAL023C"	0.641282007021061
"15"	"YAL024C"	-0.721897341177752
"16"	"YAL026C"	0.13267188885436
"17"	"YAL027W"	-0.0455155825421323
"18"	"YAL028W"	0.00358605990653826
"19"	"YAL029C"	0.262063303532427
"20"	"YAL030W"	-0.345214955570615
"21"	"YAL031C"	-0.16338071139677
"22"	"YAL034C"	0.126776433426102
"23"	"YAL036C"	-0.269348774846186
"24"	"YAL037W"	-0.189465403614966
"25"	"YAL040C"	-2.80788314388988
"26"	"YAL042W"	0.337380246117817
"27"	"YAL043C-A"	0.4571247877416
"28"	"YAL045C"	-0.225069378859258
"29"	"YAL046C"	-0.0814130127151497
"30"	"YAL048C"	-0.229138291368812
"31"	"YAL049C"	-0.223425504074334
"32"	"YAL051W"	-0.45582170896422
"33"	"YAL053W"	0.173205260595171
"34"	"YAL054C"	1.31386735495026
"35"	"YAL055W"	-0.0487048099087293
"36"	"YAL056W"	-0.323400930467145
"37"	"YAL058C-A"	-0.181801184733148
"38"	"YAL059W"	-0.168676595916477
"39"	"YAL060W"	-0.0358230587381572
"40"	"YAL061W"	-0.192300215823902
"41"	"YAL062W"	-0.267941295247146
"42"	"YAL064C-A"	-0.11550708725786
"43"	"YAL065C"	-0.227449091270014
"44"	"YAL066W"	-0.357763482888562
"45"	"YAL067C"	-0.249459416100613
"46"	"YAL068C"	-0.0790831109383916
"47"	"YAR002C-A"	-0.0555905521857936
"48"	"YAR002W"	-1.09607121795459
"49"	"YAR003W"	-0.610405805669665
"50"	"YAR014C"	0.279780590513685
"51"	"YAR015W"	0.0162223987642132
"52"	"YAR020C"	-0.344487679864543
"53"	"YAR023C"	-0.43722144159391
"54"	"YAR027W"	-0.402852432460669
"55"	"YAR028W"	1.08574546881879
"56"	"YAR029W"	0.0377002331098021
"57"	"YAR030C"	-0.185609981157381
"58"	"YAR031W"	3.98591920299939e-05
"59"	"YAR035W"	-0.502917969293017
"60"	"YAR037W"	-0.482214054476424
"61"	"YAR040C"	-0.179320179293647
"62"	"YAR043C"	-0.295094176698035
"63"	"YAR044W"	-0.100096076469632
"64"	"YAR047C"	-0.1232932872677
"65"	"YBL003C"	0.0329603421429399
"66"	"YBL005W"	0.87016437848337
"67"	"YBL007C"	-0.200885739174997
"68"	"YBL009W"	0.246027876003809
"69"	"YBL010C"	-0.28152351464276
"70"	"YBL015W"	-0.283880693983014
"71"	"YBL017C"	3.1548032749847
"72"	"YBL019W"	-0.0739448442178042
"73"	"YBL021C"	-0.211197771211739
"74"	"YBL024W"	0.175661305402632
"75"	"YBL027W"	-0.615206911225841
"76"	"YBL028C"	-0.116601973147959
"77"	"YBL029W"	-0.483082725299507
"78"	"YBL031W"	-0.196305895436654
"79"	"YBL032W"	-0.411414967228017
"80"	"YBL036C"	0.179930123567666
"81"	"YBL037W"	-1.18020099256635
"82"	"YBL039C"	0.221124638901858
"83"	"YBL042C"	-0.268725086980264
"84"	"YBL043W"	2.57856916349425
"85"	"YBL046W"	-0.221848242957608
