"gene"	"Methylimidazole2"
"133"	"YBR001C"	0.0347002753213954
"134"	"YBR005W"	-0.148647302412677
"135"	"YBR006W"	-0.0284807382226586
"136"	"YBR007C"	0.086200497978947
"137"	"YBR008C"	0.11822855304692
"138"	"YBR009C"	-0.00522091281796361
"139"	"YBR010W"	0.0115467497031523
"140"	"YBR012C"	-0.0437134178578163
"141"	"YBR013C"	-0.037781537134953
"142"	"YBR014C"	0.218304450072469
"143"	"YBR015C"	0.19837840698282
"144"	"YBR016W"	0.763238311991915
"145"	"YBR018C"	-0.0245277467425874
"146"	"YBR022W"	0.00553126559444445
"147"	"YBR024W"	0.181003763103459
"148"	"YBR025C"	-0.137274071608176
"149"	"YBR026C"	0.0756313322068335
"150"	"YBR027C"	0.105208196221297
"151"	"YBR028C"	-0.130792570973003
"152"	"YBR030W"	0.181072236783563
"153"	"YBR031W"	-0.0116528109771359
"154"	"YBR032W"	0.0832349060031881
"155"	"YBR033W"	0.0788752582702159
"156"	"YBR034C"	0.0418011092674429
"157"	"YBR036C"	0.0223674446446448
"158"	"YBR040W"	0.022882170785565
"159"	"YBR041W"	-0.109115736183777
"160"	"YBR042C"	-1.41813170951347
"161"	"YBR043C"	-0.165259815498564
"162"	"YBR044C"	-0.558212396462173
"163"	"YBR045C"	0.288935214743899
"164"	"YBR047W"	-0.0486709446729853
"165"	"YBR048W"	-0.171234406280979
"166"	"YBR052C"	0.096818964788147
"167"	"YBR053C"	0.161768254221508
"168"	"YBR054W"	-0.0992691431798079
"169"	"YBR056W"	0.0195406260504162
"170"	"YBR057C"	0.122639938063644
"171"	"YBR058C"	-0.00971365060124512
"172"	"YBR059C"	0.0713426790278319
"173"	"YBR061C"	0.120157409407649
"174"	"YBR062C"	0.259549433068447
"175"	"YBR063C"	-0.0569897833965369
"176"	"YBR064W"	0.0528093329069407
"177"	"YBR065C"	0.0332715383481422
"178"	"YBR068C"	0.445727369216717
"179"	"YBR069C"	0.225158743989847
"180"	"YBR071W"	0.266689284759862
"181"	"YBR072W"	-0.170410481062468
"182"	"YBR073W"	-0.192474420070836
"183"	"YBR074W"	-0.19105837026884
"184"	"YBR075W"	0.118297640298488
"185"	"YBR076W"	-0.0508398989929423
"186"	"YBR077C"	-0.0573690386523343
"187"	"YBR078W"	0.076848367898508
"188"	"YBR082C"	0.190148523302789
"189"	"YBR083W"	-0.0312947912053723
"190"	"YBR084C-A"	0.0864804117552478
"191"	"YBR084W"	0.0676319214491324
"192"	"YBR085W"	-0.00408197296172158
"193"	"YBR086C"	-0.016942378136516
"194"	"YBR090C-A"	0.259692114024836
"195"	"YBR090C"	0.174217716646361
"196"	"YBR092C"	-0.145078862297479
"197"	"YBR095C"	0.0545922971917787
"198"	"YBR098W"	-0.0565308001610897
"199"	"YBR099C"	0.0981606597657304
"200"	"YBR100W"	0.0118416109137379
"201"	"YBR104W"	0.0371201432985481
"202"	"YBR105C"	0.0834258942221208
"203"	"YBR107C"	-0.199358143410594
"204"	"YBR108W"	-2.1706227897953
"205"	"YBR111C"	0.0511946304758291
"206"	"YBR113W"	-0.217428682667773
"207"	"YBR114W"	-0.581393933414946
"208"	"YBR115C"	-0.332394517218159
"209"	"YBR116C"	-0.158211047420217
"210"	"YBR118W"	-0.211933028494588
"211"	"YBR119W"	0.115595973382206
"212"	"YBR125C"	-0.128155727290425
"213"	"YBR126C"	0.198089386750025
"214"	"YBR128C"	0.175664654985062
"215"	"YBR129C"	0.245957268857826
"216"	"YBR130C"	0.0720293947427757
"217"	"YBR132C"	0.156316390278347
"218"	"YBR134W"	-0.327027195223885
"219"	"YBR137W"	-0.039652370848642
"220"	"YBR138C"	-0.0588879857227161
"221"	"YBR141C"	-0.0659383682287756
"222"	"YBR144C"	-0.77141993629006
"223"	"YBR145W"	0.0699117363176726
"224"	"YBR147W"	0.133541048738911
"225"	"YBR148W"	-0.145879208945214
"226"	"YBR150C"	-0.596042350589303
"227"	"YBR151W"	-0.185986841863959
"228"	"YBR156C"	0.308044095728382
"229"	"YBR157C"	-0.00819744131859483
"230"	"YBR161W"	0.0140055886436851
"231"	"YBR162C"	-0.076921631393875
"232"	"YBR162W-A"	-0.108236618143348
"233"	"YBR164C"	0.0779907855145719
"234"	"YBR165W"	-0.0784042056921509
"235"	"YBR166C"	0.680023507769051
"236"	"YBR168W"	0.115867602728604
"237"	"YBR171W"	-1.69921281971913
"238"	"YBR172C"	-0.0629432875793764
"239"	"YBR174C"	-0.0816123150410117
"240"	"YBR175W"	-0.00650817358002473
"241"	"YBR176W"	0.017748436557353
"242"	"YBR177C"	0.010432760222622
"243"	"YBR178W"	0.188235304120646
"244"	"YBR180W"	0.0789496452415498
"245"	"YBR183W"	2.60566131384551
"246"	"YBR184W"	-0.252828081368422
"247"	"YBR185C"	-0.0577579395547223
"248"	"YBR186W"	-0.092458847781937
"249"	"YBR197C"	0.0460216733332882
"250"	"YBR199W"	0.011233553341391
"251"	"YBR200W"	0.286857249198916
"252"	"YBR203W"	0.059206392196991
"253"	"YBR204C"	-0.149503740927697
"254"	"YBR205W"	-0.0854105567034189
"255"	"YBR206W"	0.0253527727693078
"256"	"YBR207W"	-0.19689389257451
"257"	"YBR208C"	0.0348714366330578
"258"	"YBR209W"	0.0557706733349482
"259"	"YBR210W"	0.434121712829127
"260"	"YBR214W"	-0.0157415544467037
"261"	"YBR215W"	-1.27694183957131
"262"	"YBR216C"	-0.0966878715662532
"263"	"YBR217W"	-0.034812490207455
"264"	"YBR218C"	-0.19575722461497
"265"	"YBR219C"	0.101639147581057
"266"	"YBR220C"	-0.00274480482864581
"267"	"YBR221C"	-4.03112750119478
"268"	"YBR222C"	-1.22200040531853
"269"	"YBR223C"	0.00257445456428704
"270"	"YBR224W"	-0.102624459546065
