"gene"	"BenzoicAcid"
"254"	"YBR206W"	-0.00127807915700666
"255"	"YBR207W"	-0.306387912322994
"256"	"YBR208C"	-0.171854342814763
"257"	"YBR209W"	-0.496268029286207
"258"	"YBR210W"	0.535075546617643
"259"	"YBR214W"	0.0375753049167517
"260"	"YBR215W"	1.93137299459619
"261"	"YBR216C"	-0.037976959768683
"262"	"YBR217W"	-0.00234100017852774
"263"	"YBR218C"	0.116075912323355
"264"	"YBR219C"	-0.293188775440149
"265"	"YBR220C"	0.00471162652286586
"266"	"YBR221C"	-1.56991433286406
"267"	"YBR222C"	-1.07453842961459
"268"	"YBR223C"	0.0758856599068842
"269"	"YBR224W"	-0.228588411437448
"270"	"YBR225W"	-0.045048906498501
"271"	"YBR226C"	0.24582280513976
"272"	"YBR229C"	-0.203474087139686
"273"	"YBR231C"	0.0604724468134778
"274"	"YBR232C"	-0.131698106870148
"275"	"YBR233W"	-0.409559245394257
"276"	"YBR235W"	-0.234920510251579
"277"	"YBR239C"	0.0390682558547001
"278"	"YBR240C"	-0.0145847355274304
"279"	"YBR241C"	-0.0283110561604525
"280"	"YBR245C"	-0.0610514544264094
"281"	"YBR248C"	0.28890348865967
"282"	"YBR250W"	0.202883438946407
"283"	"YBR255W"	0.191901604658036
"284"	"YBR258C"	0.301785248222476
"285"	"YBR259W"	0.075462748461768
"286"	"YBR260C"	0.06285564392311
"287"	"YBR261C"	-0.046322730062017
"288"	"YBR262C"	-0.0360587869551269
"289"	"YBR263W"	0.328940467377542
"290"	"YBR264C"	0.06436161417134
"291"	"YBR266C"	0.170601773802571
"292"	"YBR267W"	0.0247120648065985
"293"	"YBR269C"	0.0172583407916508
"294"	"YBR270C"	-0.074639120279241
"295"	"YBR271W"	0.0779657790630843
"296"	"YBR274W"	-0.0526906718506106
"297"	"YBR275C"	0.28618137414289
"298"	"YBR276C"	-0.0925230099682145
"299"	"YBR277C"	-0.150234333944633
"300"	"YBR278W"	-0.0422229793914645
"301"	"YBR280C"	-0.103415013193173
