"gene"	"OHBenzaldehyde4"
"1"	"YAL004W"	-0.489643730070607
"2"	"YAL005C"	-0.183956741558828
"3"	"YAL008W"	0.0764302313809134
"4"	"YAL010C"	-0.851690979945917
"5"	"YAL011W"	-0.345657652291083
"6"	"YAL013W"	-0.362531775518059
"7"	"YAL014C"	-0.027327499978905
"8"	"YAL015C"	-0.413558753592951
"9"	"YAL017W"	-0.178158440054738
"10"	"YAL018C"	-0.242009087816536
"11"	"YAL019W"	-0.266113390762742
"12"	"YAL020C"	-0.0015607577348453
"13"	"YAL022C"	-0.0696802558131892
"14"	"YAL023C"	-0.133279007667268
"15"	"YAL024C"	-0.732995969813017
"16"	"YAL026C"	-2.76045807062922
"17"	"YAL027W"	-0.151476713803212
"18"	"YAL028W"	-0.0913947018572053
"19"	"YAL029C"	-0.534481302717706
"20"	"YAL030W"	-0.012672070266366
"21"	"YAL031C"	-0.0524133591466124
"22"	"YAL034C"	-0.236613811633006
"23"	"YAL036C"	-0.212700740126877
"24"	"YAL037W"	-0.217525832821847
"25"	"YAL040C"	-1.17734008083497
"26"	"YAL042W"	-0.398784498040155
"27"	"YAL043C-A"	0.616110311624498
"28"	"YAL045C"	0.00314046262173029
"29"	"YAL046C"	-0.135599184467515
"30"	"YAL048C"	-0.00448631597980167
"31"	"YAL049C"	-0.179057987521694
"32"	"YAL051W"	-0.0693678958550964
"33"	"YAL053W"	0.0599825339578345
"34"	"YAL054C"	0.683945484684746
"35"	"YAL055W"	-0.240764104401919
"36"	"YAL056W"	-0.540017154108816
"37"	"YAL058C-A"	-0.19699419800506
"38"	"YAL059W"	-0.0292942142418811
"39"	"YAL060W"	-0.215079111439554
"40"	"YAL061W"	-0.130749050719346
"41"	"YAL062W"	-0.116902617221504
"42"	"YAL064C-A"	-0.0176844389414588
"43"	"YAL065C"	-0.15966793661914
"44"	"YAL066W"	-0.019523887601248
"45"	"YAL067C"	0.121112167173159
"46"	"YAL068C"	-0.0631137577032502
"47"	"YAR002C-A"	0.0667035823369977
"48"	"YAR002W"	0.907438945440738
"49"	"YAR003W"	0.900948118764349
"50"	"YAR014C"	1.98103322589698
"51"	"YAR015W"	0.0553140561277633
"52"	"YAR020C"	-0.0362696559971853
