"gene"	"CaffeicAcid"
"85"	"YBL043W"	-3.1452325899883
"86"	"YBL046W"	-0.0782013524604141
"87"	"YBL048W"	-0.121677359577758
"88"	"YBL049W"	-0.108196222477201
"89"	"YBL051C"	0.397236444532324
"90"	"YBL052C"	-0.246244688797204
"91"	"YBL053W"	-0.081868514125072
"92"	"YBL054W"	-0.0787010502148935
"93"	"YBL055C"	0.195685455645934
"94"	"YBL056W"	-0.125609794582771
"95"	"YBL057C"	0.0123113333368458
"96"	"YBL059W"	-0.19531853363004
"97"	"YBL060W"	-0.133753925110927
"98"	"YBL061C"	-0.112739824491494
"99"	"YBL062W"	0.182142548694765
"100"	"YBL063W"	-0.175054935247861
"101"	"YBL064C"	-0.270917913025605
"102"	"YBL065W"	-0.261543966562403
"103"	"YBL066C"	0.0447951400158885
"104"	"YBL067C"	-0.125618380940698
"105"	"YBL068W"	-0.113235024121368
"106"	"YBL069W"	-0.0302389992643561
"107"	"YBL070C"	-0.314612154938655
"108"	"YBL071C"	-0.154469903052183
"109"	"YBL072C"	-0.251502125128222
"110"	"YBL075C"	0.225343641246766
"111"	"YBL078C"	-0.353735287360307
"112"	"YBL079W"	0.00827211154821982
"113"	"YBL081W"	-0.029505504280138
"114"	"YBL082C"	-0.364239045412363
"115"	"YBL083C"	-0.135139506038438
"116"	"YBL085W"	-0.0996245007309883
"117"	"YBL086C"	-0.372193520152429
"118"	"YBL087C"	0.0610068572541451
"119"	"YBL088C"	-0.121861890731363
"120"	"YBL089W"	0.0848230402617749
"121"	"YBL091C-A"	0.0392625487032672
"122"	"YBL091C"	-0.304214597832048
"123"	"YBL094C"	-0.133725387773776
"124"	"YBL095W"	-0.206734455895567
"125"	"YBL096C"	-0.243796830600655
"126"	"YBL098W"	-0.196088022414693
"127"	"YBL101C"	-0.256598404902415
"128"	"YBL102W"	-0.282404642168862
"129"	"YBL103C"	-0.159215002203312
"130"	"YBL104C"	-0.300852480866043
"131"	"YBL106C"	0.3921931947904
"132"	"YBL107C"	-0.106375591845
"133"	"YBR001C"	-0.0850355027289546
"134"	"YBR005W"	0.0530842803533506
"135"	"YBR006W"	0.408762064983416
"136"	"YBR007C"	0.309503323079995
"137"	"YBR008C"	-0.0160214666489496
"138"	"YBR009C"	0.255848603800668
"139"	"YBR010W"	0.291941458941104
"140"	"YBR012C"	0.232907219676761
"141"	"YBR013C"	0.120706301613578
"142"	"YBR014C"	-0.0980944410193151
"143"	"YBR015C"	-1.19489052891733
"144"	"YBR016W"	-0.161140678314454
"145"	"YBR018C"	0.0549380813419099
"146"	"YBR022W"	0.375073355693121
"147"	"YBR024W"	-8.45964217734298e-05
"148"	"YBR025C"	0.230547650150844
"149"	"YBR026C"	-3.95748702906312
"150"	"YBR027C"	-0.113673800930695
"151"	"YBR028C"	0.0640287375594279
"152"	"YBR030W"	0.082931984670443
"153"	"YBR031W"	0.0907225372067965
"154"	"YBR032W"	0.00821213673186148
"155"	"YBR033W"	-0.0450206781918838
"156"	"YBR034C"	0.433245463781531
"157"	"YBR036C"	-0.0309980666008814
"158"	"YBR040W"	0.207327445590508
"159"	"YBR041W"	0.194423681820456
"160"	"YBR042C"	-2.1435084358894
"161"	"YBR043C"	0.357017188585802
"162"	"YBR044C"	-0.822257485018411
"163"	"YBR045C"	0.387909374535345
"164"	"YBR047W"	0.100953381499547
"165"	"YBR048W"	0.485858331642124
"166"	"YBR052C"	-0.267224352752373
"167"	"YBR053C"	0.0768500827224664
"168"	"YBR054W"	-0.087964356728829
"169"	"YBR056W"	0.110632934483587
"170"	"YBR057C"	0.189394179969476
"171"	"YBR058C"	-0.0576037254063386
"172"	"YBR059C"	-0.171687934469915
"173"	"YBR061C"	0.151552406287169
"174"	"YBR062C"	0.0874713028678153
"175"	"YBR063C"	0.123626966800259
"176"	"YBR064W"	-0.105185184481524
"177"	"YBR065C"	0.0622959419969739
"178"	"YBR068C"	-0.0115411819268343
"179"	"YBR069C"	-0.146613151583699
"180"	"YBR071W"	0.343015170384789
"181"	"YBR072W"	-0.183607956902177
"182"	"YBR073W"	0.0711047312526124
"183"	"YBR074W"	0.273582970095807
"184"	"YBR075W"	0.172913616117968
"185"	"YBR076W"	0.220205973243337
"186"	"YBR077C"	0.319814521382155
"187"	"YBR078W"	0.0253763263384083
"188"	"YBR082C"	-0.289382405093446
"189"	"YBR083W"	0.419975091698312
"190"	"YBR084C-A"	0.578577494083684
"191"	"YBR084W"	0.0178076266677444
"192"	"YBR085W"	-0.036491746633996
"193"	"YBR086C"	-0.135783595267483
"194"	"YBR090C-A"	0.293182730784975
"195"	"YBR090C"	0.209533268555523
"196"	"YBR092C"	-0.208874556168764
"197"	"YBR095C"	0.11399545020042
"198"	"YBR098W"	-0.0831216884204303
"199"	"YBR099C"	0.165812634684502
"200"	"YBR100W"	-0.235122818793289
"201"	"YBR104W"	0.501716067601964
"202"	"YBR105C"	0.175270785861344
"203"	"YBR107C"	-0.151510104396895
"204"	"YBR108W"	-2.77243356930275
"205"	"YBR111C"	-0.376744734775105
"206"	"YBR113W"	-0.0750809266259466
"207"	"YBR114W"	-0.646988187709244
"208"	"YBR115C"	0.0956405998863649
"209"	"YBR116C"	0.130485589460008
"210"	"YBR118W"	-0.109505517125256
"211"	"YBR119W"	-0.143050407618284
"212"	"YBR125C"	0.113716940330925
"213"	"YBR126C"	0.135395155636664
"214"	"YBR128C"	0.617690640671093
"215"	"YBR129C"	0.108925896971485
"216"	"YBR130C"	-0.226795339022574
"217"	"YBR132C"	0.060219454342485
"218"	"YBR134W"	-0.43442382928665
"219"	"YBR137W"	0.0162786344037011
"220"	"YBR138C"	0.000848747926225919
"221"	"YBR141C"	0.264477168994785
"222"	"YBR144C"	-1.95502986079688
"223"	"YBR145W"	0.212239077098192
"224"	"YBR147W"	0.327630868111712
"225"	"YBR148W"	-0.0221631619595597
"226"	"YBR150C"	-0.831989968625949
"227"	"YBR151W"	0.0706443616131677
"228"	"YBR156C"	-1.13062688648631
"229"	"YBR157C"	0.0076433445763387
"230"	"YBR161W"	-0.14738468677319
"231"	"YBR162C"	-0.315659146163824
"232"	"YBR162W-A"	0.0594065190984483
"233"	"YBR164C"	-0.151656380346113
"234"	"YBR165W"	-0.0811349500780627
"235"	"YBR166C"	1.03563033023651
"236"	"YBR168W"	-0.101971500250914
"237"	"YBR171W"	-2.27301148207231
"238"	"YBR172C"	-0.348144478182688
"239"	"YBR174C"	0.0114491704764232
"240"	"YBR175W"	0.142009220869006
"241"	"YBR176W"	0.0394569414863555
"242"	"YBR177C"	0.132025463408456
"243"	"YBR178W"	-1.95556496926361
"244"	"YBR180W"	0.116400731309879
"245"	"YBR183W"	2.14750771514544
"246"	"YBR184W"	0.00643434630622231
"247"	"YBR185C"	-0.0586190436101649
"248"	"YBR186W"	0.0532955455106734
"249"	"YBR197C"	0.295814147137762
"250"	"YBR199W"	-0.0861489431416722
"251"	"YBR200W"	-0.153192322464151
"252"	"YBR203W"	0.165223159487928
"253"	"YBR204C"	-0.203097857762812
"254"	"YBR205W"	-0.695236465590441
"255"	"YBR206W"	-0.0326438346085494
"256"	"YBR207W"	-0.0401685537426034
"257"	"YBR208C"	0.0456829954043473
"258"	"YBR209W"	-0.454345811959678
"259"	"YBR210W"	0.237262417262688
"260"	"YBR214W"	-0.176108267897361
"261"	"YBR215W"	-0.739426968061333
"262"	"YBR216C"	0.118410316788488
"263"	"YBR217W"	0.0913617214382032
"264"	"YBR218C"	0.284120668967803
"265"	"YBR219C"	0.148200209070358
"266"	"YBR220C"	-0.0366947888051734
"267"	"YBR221C"	-2.37519326413412
"268"	"YBR222C"	-1.27398044177142
"269"	"YBR223C"	0.165802453815265
"270"	"YBR224W"	0.150028868124456
"271"	"YBR225W"	0.436961243679433
"272"	"YBR226C"	0.302362903452307
"273"	"YBR229C"	-0.333166584826026
"274"	"YBR231C"	-0.342078366776432
"275"	"YBR232C"	-0.152276744913349
"276"	"YBR233W"	-1.81912701512441
"277"	"YBR235W"	-0.574551411100265
"278"	"YBR239C"	-0.0271345765178516
"279"	"YBR240C"	1.3051472538837
"280"	"YBR241C"	-0.0108986763271888
"281"	"YBR245C"	0.0143040125169833
"282"	"YBR248C"	0.298298163217676
"283"	"YBR250W"	0.108511165539148
"284"	"YBR255W"	0.155450919432552
"285"	"YBR258C"	-0.113802405633494
"286"	"YBR259W"	-0.124091577184422
"287"	"YBR260C"	-0.122379660252094
"288"	"YBR261C"	-0.111628398862063
"289"	"YBR262C"	0.0833050615824278
"290"	"YBR263W"	0.213718021455206
"291"	"YBR264C"	-0.0986190067073467
"292"	"YBR266C"	0.329496394366906
"293"	"YBR267W"	0.199132830251316
"294"	"YBR269C"	0.0511342577163684
"295"	"YBR270C"	-0.155354320793691
