"gene"	"VanillicAcid"
"1"	"YAL004W"	0.14290806736092
"2"	"YAL005C"	0.451559346714223
"3"	"YAL008W"	0.0301968841509108
"4"	"YAL010C"	0.268831378696105
"5"	"YAL011W"	-0.131869698820173
"6"	"YAL013W"	-1.78643189344955
"7"	"YAL014C"	-0.118920628682682
"8"	"YAL015C"	-0.532024603562932
"9"	"YAL017W"	0.0625860591785858
"10"	"YAL018C"	0.178271223031788
"11"	"YAL019W"	-0.127194527494883
"12"	"YAL020C"	0.0808930730440634
"13"	"YAL022C"	-0.0828536411844311
"14"	"YAL023C"	-1.22926540416505
"15"	"YAL024C"	-0.312349716139256
"16"	"YAL026C"	-3.66986908885633
"17"	"YAL027W"	-0.140993542655502
"18"	"YAL028W"	-0.0344283587090586
"19"	"YAL029C"	-0.0549997872654985
"20"	"YAL030W"	-0.0519883570245086
"21"	"YAL031C"	-0.0626140555978449
"22"	"YAL034C"	0.244993855736897
"23"	"YAL036C"	-0.0197883991473293
"24"	"YAL037W"	-0.216295973957867
"25"	"YAL040C"	1.73779835744697
"26"	"YAL042W"	-0.654505835424313
"27"	"YAL043C-A"	-0.368983951588411
"28"	"YAL045C"	-0.0233285027980275
"29"	"YAL046C"	0.166603564143082
"30"	"YAL048C"	-0.12578077088146
"31"	"YAL049C"	-0.157888553178616
"32"	"YAL051W"	-0.0791635573650637
"33"	"YAL053W"	0.340573880260263
"34"	"YAL054C"	-1.11579470191064
"35"	"YAL055W"	0.0708573312363576
"36"	"YAL056W"	-0.817786964933804
"37"	"YAL058C-A"	-0.291322106914994
"38"	"YAL059W"	0.262639406009774
"39"	"YAL060W"	0.314743806391891
"40"	"YAL061W"	0.119714896334454
"41"	"YAL062W"	-0.0461500313037699
"42"	"YAL064C-A"	0.188318811119768
"43"	"YAL065C"	-0.0464594542653355
"44"	"YAL066W"	-0.249497084264104
"45"	"YAL067C"	0.081481974023764
"46"	"YAL068C"	-0.0424166978113524
"47"	"YAR002C-A"	0.0216672423685112
"48"	"YAR002W"	0.162715410235222
"49"	"YAR003W"	-0.718872029227457
"50"	"YAR014C"	-3.9878233501173
"51"	"YAR015W"	0.111826094924153
"52"	"YAR020C"	-0.2124349288403
"53"	"YAR023C"	-0.137539329224058
"54"	"YAR027W"	-0.448685630621718
"55"	"YAR028W"	-0.252029103761
"56"	"YAR029W"	0.00763542856028582
"57"	"YAR030C"	-0.21040313324399
"58"	"YAR031W"	0.0880221170487525
"59"	"YAR035W"	-0.966443943901984
"60"	"YAR037W"	-0.330142574911242
"61"	"YAR040C"	0.119797788503355
"62"	"YAR043C"	-0.14877384923217
"63"	"YAR044W"	-0.211358323994403
"64"	"YAR047C"	-0.182084273638515
"65"	"YBL003C"	0.0461949062278632
"66"	"YBL005W"	0.68298828936544
"67"	"YBL007C"	-1.30662250811019
"68"	"YBL009W"	0.1887908215374
"69"	"YBL010C"	-0.059356615304718
"70"	"YBL015W"	-0.136948702494397
"71"	"YBL016W"	-0.36760421258816
"72"	"YBL017C"	1.2899515298302
"73"	"YBL019W"	-0.000437948857545665
"74"	"YBL021C"	-0.363174219627574
"75"	"YBL024W"	0.457901183086573
"76"	"YBL027W"	-0.124631157430523
"77"	"YBL028C"	0.116521434911784
"78"	"YBL029W"	-0.887407689944515
"79"	"YBL031W"	0.371551443319572
"80"	"YBL032W"	-0.168946029879038
"81"	"YBL036C"	0.091605106235854
"82"	"YBL037W"	-4.47487529443054
"83"	"YBL039C"	0.0784345496593021
"84"	"YBL042C"	-0.0800443662882121
"85"	"YBL043W"	-1.78008723643355
"86"	"YBL046W"	-0.580988228320489
"87"	"YBL048W"	-0.0688419666641931
"88"	"YBL049W"	0.0850178704462741
"89"	"YBL051C"	0.632578970147371
