"gene"	"Mycobutanil"
"1"	"YAL002W"	-1.93750597771768
"2"	"YAL004W"	0.160083981119787
"3"	"YAL005C"	0.00636901689437722
"4"	"YAL008W"	0.231127713431412
"5"	"YAL010C"	0.168547759493289
"6"	"YAL011W"	0.151802785098062
"7"	"YAL013W"	-0.428009392152367
"8"	"YAL014C"	0.149177527554525
"9"	"YAL015C"	0.0832456513486098
"10"	"YAL017W"	0.315795254166821
"11"	"YAL018C"	-0.00179636242375005
"12"	"YAL019W"	0.381341350917343
"13"	"YAL020C"	0.381443432522824
"14"	"YAL022C"	0.238120791012927
"15"	"YAL023C"	-0.652738267833587
"16"	"YAL024C"	-0.171060323053921
"17"	"YAL026C"	-0.519808108001056
"18"	"YAL027W"	0.0622940925099439
"19"	"YAL028W"	-0.0348331628872209
"20"	"YAL029C"	0.100195785204052
"21"	"YAL030W"	-0.0313021768225503
"22"	"YAL031C"	0.0309490714210491
"23"	"YAL034C"	0.0660261526336642
"24"	"YAL036C"	0.128554190206648
"25"	"YAL037W"	0.101266102385747
"26"	"YAL040C"	0.692126160930645
"27"	"YAL042W"	0.0447601597414853
"28"	"YAL043C-A"	-0.543403522581467
"29"	"YAL045C"	0.2674120615313
"30"	"YAL046C"	0.0733002898618049
"31"	"YAL048C"	0.0249125744763834
"32"	"YAL049C"	0.14360649671487
"33"	"YAL051W"	0.0513897414540119
"34"	"YAL053W"	0.220503920449635
"35"	"YAL054C"	0.446010309640196
"36"	"YAL055W"	0.0178848029598168
"37"	"YAL056W"	0.0488624695284587
"38"	"YAL058C-A"	0.0128882368058437
"39"	"YAL059W"	-0.0262234139705166
"40"	"YAL060W"	0.0451238051115084
"41"	"YAL061W"	0.0548401143909744
"42"	"YAL062W"	0.155887673171983
"43"	"YAL064C-A"	0.0738933307335263
"44"	"YAL065C"	0.00760473799080548
"45"	"YAL066W"	-0.0402823576426392
"46"	"YAL067C"	0.0789820972529488
"47"	"YAL068C"	-0.123668887123766
"48"	"YAR002C-A"	0.134490320037523
"49"	"YAR002W"	0.260226551508008
"50"	"YAR003W"	-1.0729183778182
"51"	"YAR014C"	-4.23059228245315
"52"	"YAR015W"	0.215357482384078
"53"	"YAR020C"	0.13677372623336
"54"	"YAR023C"	-0.0328905718369843
"55"	"YAR027W"	-0.095904152694913
"56"	"YAR028W"	0.0319107877029319
"57"	"YAR029W"	0.220070820350368
"58"	"YAR030C"	0.0201811211763153
"59"	"YAR031W"	0.169992383445598
"60"	"YAR035W"	0.0435854333829046
"61"	"YAR037W"	0.074304892025769
"62"	"YAR040C"	0.0811365394152915
"63"	"YAR043C"	0.143530090484147
"64"	"YAR044W"	0.225541020498056
"65"	"YAR047C"	0.251596790619948
