"gene"	"Vanillin"
"1"	"YAL004W"	0.0224260300878919
"2"	"YAL005C"	-0.0395184417523447
"3"	"YAL008W"	-0.148986777781241
"4"	"YAL010C"	-0.00310483880510037
"5"	"YAL011W"	-0.656789176568943
"6"	"YAL013W"	-0.141141795756605
"7"	"YAL014C"	-0.0687466599708189
"8"	"YAL015C"	-0.307058739372624
"9"	"YAL017W"	-0.253784390084056
"10"	"YAL018C"	0.0834442987002948
"11"	"YAL019W"	-0.40582907021454
"12"	"YAL020C"	-0.0526124682603893
"13"	"YAL022C"	-0.11418372210573
"14"	"YAL023C"	-0.396615543144299
"15"	"YAL024C"	-0.104611872894713
"16"	"YAL026C"	-0.745572314081046
"17"	"YAL027W"	0.0927873526807759
"18"	"YAL028W"	0.000714419445804541
"19"	"YAL029C"	-0.223332075927412
"20"	"YAL030W"	-0.0617397132135368
"21"	"YAL031C"	-0.0286097679458799
"22"	"YAL034C"	-0.00373050367232343
"23"	"YAL036C"	-0.186243683971325
"24"	"YAL037W"	0.129359032339706
"25"	"YAL040C"	2.02164773743047
"26"	"YAL042W"	-0.674305720077236
"27"	"YAL043C-A"	-0.385202739657733
"28"	"YAL045C"	0.0894007041203303
"29"	"YAL046C"	-0.0544059562081723
"30"	"YAL048C"	-0.0568734960944393
"31"	"YAL049C"	-0.268767454652695
"32"	"YAL051W"	-0.0814311058486383
"33"	"YAL053W"	0.227868537869133
"34"	"YAL054C"	0.547646138162232
"35"	"YAL055W"	-0.232742519170442
"36"	"YAL056W"	-0.968133522375275
"37"	"YAL058C-A"	-0.386561598191501
"38"	"YAL059W"	-0.0142204989369673
"39"	"YAL060W"	0.000193199357055395
"40"	"YAL061W"	-0.0550342829612123
"41"	"YAL062W"	-0.00668518331489106
"42"	"YAL064C-A"	0.068449315129065
"43"	"YAL065C"	-0.00813150616407418
"44"	"YAL066W"	-0.0151591525924892
"45"	"YAL067C"	0.0755240436438017
"46"	"YAL068C"	0.19278988650048
"47"	"YAR002C-A"	-0.00843808429764512
"48"	"YAR002W"	0.375903635698012
"49"	"YAR003W"	0.616799531340606
"50"	"YAR014C"	3.37311634705951
"51"	"YAR015W"	0.0885471598006295
"52"	"YAR020C"	-0.223820281023944
"53"	"YAR023C"	0.0525757540590717
"54"	"YAR027W"	-0.10623732117113
"55"	"YAR028W"	0.0620755166591311
"56"	"YAR029W"	-0.419092656279165
"57"	"YAR030C"	-0.10752225231301
"58"	"YAR031W"	0.136619407104567
"59"	"YAR035W"	-0.827693010321631
"60"	"YAR037W"	-0.195251389748771
"61"	"YAR040C"	-0.00207890404810681
"62"	"YAR043C"	0.124304802385345
"63"	"YAR044W"	-0.0144040655682735
"64"	"YAR047C"	-0.0391423857258307
"65"	"YBL003C"	0.50844754476526
"66"	"YBL005W"	0.963778696059381
"67"	"YBL007C"	-0.548223828854213
"68"	"YBL009W"	0.681724922344392
"69"	"YBL010C"	-0.284303882495378
"70"	"YBL015W"	-0.203554136480472
"71"	"YBL016W"	0.792891474298866
"72"	"YBL017C"	2.08170351177919
"73"	"YBL019W"	-0.0187569916176224
"74"	"YBL021C"	-0.0361083195777691
"75"	"YBL024W"	0.167915612765728
"76"	"YBL027W"	0.264042258014869
"77"	"YBL028C"	-0.378988675677795
"78"	"YBL029W"	-0.614930213226505
"79"	"YBL031W"	-0.0644301110450271
"80"	"YBL032W"	-0.657697608733489
"81"	"YBL036C"	-0.112445427066265
"82"	"YBL037W"	0.959687472481162
"83"	"YBL039C"	0.0891194379281335
"84"	"YBL042C"	-0.133919766574862
"85"	"YBL043W"	0.774630843226486
"86"	"YBL046W"	-0.660181260097046
"87"	"YBL048W"	-0.182850149732105
"88"	"YBL049W"	-0.232924309080505
"89"	"YBL051C"	0.723360017614888
"90"	"YBL052C"	0.132446856498351
"91"	"YBL053W"	-0.0696007541772654
"92"	"YBL054W"	0.195446979519518
"93"	"YBL055C"	-0.214454368735348
"94"	"YBL056W"	-0.201803281799636
"95"	"YBL057C"	-0.0545257156512945
"96"	"YBL059W"	0.202166048367588
"97"	"YBL060W"	0.135030709754718
"98"	"YBL061C"	0.227501321321299
"99"	"YBL062W"	0.321448936767736
"100"	"YBL063W"	-0.0695332319758891
"101"	"YBL064C"	-0.891301682976939
"102"	"YBL065W"	-0.0791366556374404
"103"	"YBL066C"	-0.0734551907410947
"104"	"YBL067C"	-0.00687031935005202
"105"	"YBL068W"	-0.0196298975018692
"106"	"YBL069W"	0.511890955922469
"107"	"YBL070C"	-0.55058993981404
"108"	"YBL071C"	0.254014981920952
"109"	"YBL072C"	0.108842717935516
"110"	"YBL075C"	-0.0213331564091148
"111"	"YBL078C"	0.505872345391166
