"gene"	"GVL"
"134"	"YBR001C"	-1.24228315229025
"135"	"YBR005W"	-1.01761180849629
"136"	"YBR006W"	0.758023040994688
"137"	"YBR007C"	0.191139123678999
"138"	"YBR008C"	-0.500052734944188
"139"	"YBR009C"	0.0436886618418377
"140"	"YBR010W"	0.866914228986804
"141"	"YBR012C"	0.727235398816674
"142"	"YBR013C"	-0.0402474250528963
"143"	"YBR014C"	-0.0702400105237637
"144"	"YBR015C"	0.49456290861038
"145"	"YBR016W"	-6.49945739053678
"146"	"YBR018C"	-0.49093401223555
"147"	"YBR022W"	0.834485206242607
"148"	"YBR024W"	-0.141340093549747
"149"	"YBR025C"	1.24618141878999
"150"	"YBR026C"	1.16909643696895
"151"	"YBR027C"	-0.0212981429599704
"152"	"YBR028C"	-0.330167477009521
"153"	"YBR030W"	-0.70282375802347
"154"	"YBR031W"	0.170501723363424
"155"	"YBR032W"	-0.415148795224593
"156"	"YBR033W"	-0.0587460137897257
"157"	"YBR034C"	0.809658633995701
"158"	"YBR036C"	-1.96007594123847
"159"	"YBR040W"	-0.91302965188122
"160"	"YBR041W"	-0.583624995198726
"161"	"YBR042C"	1.06915789839155
"162"	"YBR043C"	0.977780319863973
"163"	"YBR044C"	0.969999843244686
"164"	"YBR045C"	-0.970820830954021
"165"	"YBR047W"	0.606075611781625
"166"	"YBR048W"	0.461006172162308
"167"	"YBR052C"	-0.0447549079634614
"168"	"YBR053C"	0.420681228953303
"169"	"YBR054W"	-0.0596176594377337
"170"	"YBR056W"	-0.847427566331309
"171"	"YBR057C"	-0.250991262159538
"172"	"YBR058C"	-0.570437246331096
"173"	"YBR059C"	-0.837168826724087
"174"	"YBR061C"	0.122873260035581
"175"	"YBR062C"	0.085151110665759
"176"	"YBR063C"	0.391995260567879
"177"	"YBR064W"	-0.224180844797656
"178"	"YBR065C"	-0.76554501380722
"179"	"YBR068C"	-1.17810442721889
"180"	"YBR069C"	0.234616833197065
"181"	"YBR071W"	-0.877940437725156
"182"	"YBR072W"	-0.221963167732837
"183"	"YBR073W"	0.697905493786846
"184"	"YBR074W"	0.743076161105942
"185"	"YBR075W"	-0.00664635974606318
"186"	"YBR076W"	0.299150920724277
"187"	"YBR077C"	-0.531819857837689
"188"	"YBR078W"	-2.33007111704358
"189"	"YBR082C"	-0.260740645560573
"190"	"YBR083W"	0.393744305444952
"191"	"YBR084C-A"	1.34663088052101
"192"	"YBR084W"	-0.605685350519677
"193"	"YBR085W"	0.538104947146983
"194"	"YBR086C"	-0.0772241623875015
"195"	"YBR090C-A"	-0.0354374753474708
"196"	"YBR090C"	0.509961480502191
"197"	"YBR092C"	0.15930858886863
"198"	"YBR095C"	0.248254356839826
"199"	"YBR098W"	0.7245621889221
"200"	"YBR099C"	0.64478309106194
"201"	"YBR100W"	0.0607615022775569
"202"	"YBR104W"	-0.0397349870733856
"203"	"YBR105C"	0.0465064214762689
"204"	"YBR107C"	-1.01428370539898
"205"	"YBR108W"	0.0896696938456313
"206"	"YBR111C"	0.123305312706391
"207"	"YBR113W"	-0.890845573456378
"208"	"YBR114W"	1.58618039646085
"209"	"YBR115C"	-0.802068518159949
"210"	"YBR116C"	-0.117987529337293
"211"	"YBR118W"	0.714309116276744
"212"	"YBR119W"	-0.0318142485581965
"213"	"YBR125C"	0.438925247147952
"214"	"YBR126C"	-1.42003248972752
