"gene"	"HMF5"
"107"	"YBL070C"	0.0463575176962646
"108"	"YBL071C"	-0.105923913190869
"109"	"YBL072C"	0.271862118180378
"110"	"YBL075C"	0.0495484996993646
"111"	"YBL078C"	0.26718381766755
"112"	"YBL079W"	-0.136641490240347
"113"	"YBL081W"	0.467538300807628
"114"	"YBL082C"	0.260579370803353
"115"	"YBL083C"	0.555820178731311
"116"	"YBL085W"	-0.267791031439406
"117"	"YBL086C"	0.0310279085307802
"118"	"YBL087C"	-0.12001216376173
"119"	"YBL088C"	-0.00252168797412378
"120"	"YBL089W"	-0.369236331441002
"121"	"YBL091C-A"	-0.0134294697896512
"122"	"YBL091C"	-0.004152432079114
"123"	"YBL094C"	-0.203427737289402
"124"	"YBL095W"	-0.0616912662748525
"125"	"YBL096C"	-0.105871468411148
"126"	"YBL098W"	-0.104822117739914
"127"	"YBL101C"	-0.039609004370043
"128"	"YBL102W"	0.147065721584844
"129"	"YBL103C"	-0.203219922530538
"130"	"YBL104C"	0.0132128618030593
"131"	"YBL106C"	-0.259795332434205
"132"	"YBL107C"	-0.102204854311327
"133"	"YBR001C"	0.337939025654281
"134"	"YBR005W"	0.402627207475099
"135"	"YBR006W"	0.0175415434619925
"136"	"YBR007C"	0.346605853771627
"137"	"YBR008C"	-0.0712777923989248
"138"	"YBR009C"	0.17217764959051
"139"	"YBR010W"	0.220094732896536
"140"	"YBR012C"	0.0514641767788623
"141"	"YBR013C"	-0.0150641273770211
"142"	"YBR014C"	-0.13391919377512
"143"	"YBR015C"	0.708728996000085
"144"	"YBR016W"	0.594357049955108
"145"	"YBR018C"	-0.34297248432516
"146"	"YBR022W"	0.236429363150077
"147"	"YBR024W"	-0.0447071657898635
"148"	"YBR025C"	-1.50855406413993
"149"	"YBR026C"	2.19758031831321
"150"	"YBR027C"	-0.169478039535563
"151"	"YBR028C"	-0.224417585322548
"152"	"YBR030W"	-0.277268396907577
"153"	"YBR031W"	-0.293740986668887
"154"	"YBR032W"	-0.047561129184282
"155"	"YBR033W"	-0.0592910717388894
"156"	"YBR034C"	0.0561752616204032
"157"	"YBR036C"	-0.0328105360696301
"158"	"YBR040W"	0.0692928734641966
"159"	"YBR041W"	0.0848180610814948
"160"	"YBR042C"	1.76415235067342
"161"	"YBR043C"	0.128543183334581
"162"	"YBR044C"	0.644154928719877
"163"	"YBR045C"	-0.576569642903833
"164"	"YBR047W"	0.215762737425309
"165"	"YBR048W"	0.631036611815081
"166"	"YBR052C"	-0.0121524147978525
"167"	"YBR053C"	0.14643849592487
"168"	"YBR054W"	-0.196918957095934
"169"	"YBR056W"	-0.321941633290874
"170"	"YBR057C"	-0.0430924802394718
"171"	"YBR058C"	-0.146649756008179
"172"	"YBR059C"	-0.424420530685846
"173"	"YBR061C"	-0.711666209164899
"174"	"YBR062C"	0.0377473570814545
"175"	"YBR063C"	0.0760628897843221
"176"	"YBR064W"	-0.0377318089320312
"177"	"YBR065C"	-0.227025940795129
"178"	"YBR068C"	0.211086075690327
"179"	"YBR069C"	-0.251187862788801
"180"	"YBR071W"	0.00657827177878792
"181"	"YBR072W"	-0.183646697864578
"182"	"YBR073W"	-0.0138353068975965
"183"	"YBR074W"	0.0405092325710228
"184"	"YBR075W"	-0.178276829673168
"185"	"YBR076W"	-0.10097695193691
"186"	"YBR077C"	0.289229546040984
"187"	"YBR078W"	0.189974800374166
"188"	"YBR082C"	0.163254100806152
"189"	"YBR083W"	-0.135816595542442
"190"	"YBR084C-A"	0.201443462716379
"191"	"YBR084W"	0.172348974889277
"192"	"YBR085W"	0.223755614775473
"193"	"YBR086C"	-0.303970572312708
"194"	"YBR090C-A"	-0.266788646327313
"195"	"YBR090C"	0.155799429469619
"196"	"YBR092C"	0.0373235868746889
"197"	"YBR095C"	0.109060412442682
"198"	"YBR098W"	-0.117278313180129
"199"	"YBR099C"	-0.104443931526112
"200"	"YBR100W"	-0.0789305593988588
"201"	"YBR104W"	-0.158058930097624
"202"	"YBR105C"	-0.0227423965950466
"203"	"YBR107C"	0.308864185231382
"204"	"YBR108W"	1.12970028226028
"205"	"YBR111C"	0.203816358243057
"206"	"YBR113W"	-0.112951342315908
"207"	"YBR114W"	0.543070291928538
"208"	"YBR115C"	0.191143154133293
"209"	"YBR116C"	-0.212128072796501
"210"	"YBR118W"	0.222894493937054
"211"	"YBR119W"	-0.128997997378392
"212"	"YBR125C"	0.0875592378639874
"213"	"YBR126C"	0.316890428206513
"214"	"YBR128C"	0.195356060752415
"215"	"YBR129C"	-0.140100259101818
"216"	"YBR130C"	0.171796934083855
"217"	"YBR132C"	-0.17161112893626
"218"	"YBR134W"	0.286998726895018
"219"	"YBR137W"	0.0198675525724938
"220"	"YBR138C"	-0.173286565451608
"221"	"YBR141C"	-0.0153487707312274
"222"	"YBR144C"	0.475252501526973
"223"	"YBR145W"	-0.0619364812344336
"224"	"YBR147W"	-0.274395571887037
"225"	"YBR148W"	0.0584739133147577
"226"	"YBR150C"	0.657716085390041
"227"	"YBR151W"	0.138626622915386
"228"	"YBR156C"	1.64601961599116
"229"	"YBR157C"	-0.0817769827404014
"230"	"YBR161W"	-0.145729024318492
"231"	"YBR162C"	0.191588615420309
"232"	"YBR162W-A"	-0.304358546046147
"233"	"YBR164C"	-0.246087583426517
"234"	"YBR165W"	0.13108499527325
"235"	"YBR166C"	-2.65775330122618
"236"	"YBR168W"	-0.52439778907558
"237"	"YBR171W"	-3.27727950869603
"238"	"YBR172C"	-0.0988276699053137
"239"	"YBR174C"	0.0951005935779021
"240"	"YBR175W"	0.0885960678309554
"241"	"YBR176W"	0.240450566186524
"242"	"YBR177C"	0.0565427686775241
"243"	"YBR180W"	-0.00495285278502764
"244"	"YBR183W"	0.130582568373402
"245"	"YBR184W"	-0.0671560884354423
"246"	"YBR185C"	-0.0358322827741936
"247"	"YBR186W"	-0.0611000649855674
"248"	"YBR197C"	0.06914446826801
"249"	"YBR199W"	0.0209665208016648
"250"	"YBR200W"	0.137354546876914
"251"	"YBR203W"	0.622319579268404
"252"	"YBR204C"	0.3319672329022
"253"	"YBR205W"	0.118591611806568
"254"	"YBR206W"	0.24558136060436
"255"	"YBR207W"	-0.127181509778521
"256"	"YBR208C"	0.19409109366571
"257"	"YBR209W"	0.0368849312523089
"258"	"YBR210W"	0.387555893909248
"259"	"YBR212W"	-1.21153617443301
"260"	"YBR214W"	0.402079848774328
"261"	"YBR215W"	1.16497951304515
"262"	"YBR216C"	0.342959194590859
"263"	"YBR217W"	0.0476364262979596
"264"	"YBR218C"	0.145339176028849
"265"	"YBR219C"	-0.141380629222474
"266"	"YBR220C"	0.099603513295722
"267"	"YBR221C"	-1.1144283520868
"268"	"YBR223C"	0.102296413423717
"269"	"YBR224W"	-0.27895511190834
"270"	"YBR225W"	0.179671567798423
"271"	"YBR226C"	0.180318170251247
"272"	"YBR229C"	-0.094757608765428
"273"	"YBR231C"	0.152006927111781
"274"	"YBR232C"	-0.141231761445944
"275"	"YBR233W"	0.949195824374028
"276"	"YBR235W"	0.392940496710485
"277"	"YBR239C"	-0.0358245670699094
"278"	"YBR240C"	0.31484370608404
"279"	"YBR241C"	-0.18783006839794
"280"	"YBR245C"	-0.00675586588591281
"281"	"YBR248C"	0.062746081248905
"282"	"YBR250W"	0.115407897807001
"283"	"YBR255W"	0.106255765282593
"284"	"YBR258C"	-0.351734787394474
"285"	"YBR259W"	0.013846154277962
"286"	"YBR260C"	-0.117850111992462
"287"	"YBR261C"	-0.0744105165942835
"288"	"YBR262C"	0.335972140565182
"289"	"YBR263W"	0.17130526921721
"290"	"YBR264C"	0.142083757553272
"291"	"YBR266C"	0.371367752630864
"292"	"YBR267W"	0.40206356757771
"293"	"YBR269C"	-0.00476281867939105
"294"	"YBR270C"	0.280830139386098
"295"	"YBR271W"	0.329776774773463
"296"	"YBR274W"	0.382896985501022
"297"	"YBR275C"	0.42874507132695
"298"	"YBR276C"	0.00938452839650262
"299"	"YBR277C"	-0.0354386979845595
"300"	"YBR278W"	-0.028335887118708
"301"	"YBR280C"	0.440723564987071
"302"	"YBR281C"	-0.00731675184316353
"303"	"YBR283C"	0.256145747246691
"304"	"YBR284W"	-0.219428225093871
"305"	"YBR285W"	-0.173094479947235
"306"	"YBR286W"	0.0621298963940737
"307"	"YBR287W"	-0.0336508269654892
"308"	"YBR289W"	0.476033647091334
"309"	"YBR290W"	0.294561666044414
"310"	"YBR291C"	0.224082391294624
"311"	"YBR292C"	-0.212077602682558
"312"	"YBR293W"	0.0750076487342041
"313"	"YBR294W"	-0.295243038496685
"314"	"YBR295W"	-0.120933547513672
"315"	"YBR296C"	-0.208445496743652
"316"	"YBR297W"	-0.104590031458968
"317"	"YBR298C"	-0.0926759697578091
"318"	"YBR301W"	-0.117856813803227
"319"	"YCL001W-A"	0.91191002872025
"320"	"YCL001W"	-0.0275190021221114
"321"	"YCL006C"	-0.0970252148570991
"322"	"YCL010C"	-0.23733491650181
"323"	"YCL011C"	-0.178610139871852
"324"	"YCL012W"	-0.159748224472796
"325"	"YCL013W"	-0.297337267926313
"326"	"YCL014W"	-0.306352914077761
"327"	"YCL016C"	-1.21153617443301
"328"	"YCL022C"	0.1345336944682
"329"	"YCL023C"	-0.215325182669133
"330"	"YCL024W"	0.153252580314128
"331"	"YCL025C"	-0.365388384962356
"332"	"YCL026C-A"	0.0677681775071716
"333"	"YCL026C"	0.0527591818317977
"334"	"YCL027W"	0.0604233001050945
"335"	"YCL028W"	-0.0692255902612638
"336"	"YCL029C"	0.718145931311135
"337"	"YCL034W"	1.25226452718402
"338"	"YCL035C"	-0.087032018485283
"339"	"YCL038C"	-0.536412683439782
"340"	"YCL039W"	-0.185817199646055
"341"	"YCL042W"	1.16537191226981
"342"	"YCL046W"	-0.26017415182807
"343"	"YCL048W"	-0.133202335118243
"344"	"YCL049C"	-0.462453747763616
"345"	"YCL050C"	-0.0623640162599022
"346"	"YCL051W"	-0.000184858093390532
"347"	"YCL055W"	-0.0796257294537947
"348"	"YCL057W"	-0.228732982921047
"349"	"YCL061C"	-0.0857888964798691
"350"	"YCL062W"	-0.0947047373066095
"351"	"YCL063W"	-0.0472356261194943
"352"	"YCL064C"	-0.348756451355139
"353"	"YCL069W"	-0.302518615685831
"354"	"YCL074W"	0.124454483908162
"355"	"YCL075W"	0.184216531019367
"356"	"YCL076W"	0.0241335693688198
"357"	"YCR001W"	-0.170457151394012
"358"	"YCR005C"	-0.201799924922345
"359"	"YCR006C"	0.0724621058242902
"360"	"YCR007C"	-0.578474082871356
"361"	"YCR008W"	-0.108187077544269
"362"	"YCR009C"	0.325229948683513
"363"	"YCR010C"	0.102400829718765
"364"	"YCR011C"	-0.300248327359902
"365"	"YCR014C"	-0.0202300960250208
"366"	"YCR015C"	-0.372336207212754
"367"	"YCR016W"	0.0485896730047177
"368"	"YCR017C"	-0.0942358259439021
"369"	"YCR019W"	-0.285671628319956
"370"	"YCR020C-A"	1.03739271232399
"371"	"YCR020C"	-0.213264103740634
"372"	"YCR021C"	-0.253253504211402
"373"	"YCR022C"	-0.00683814763583889
"374"	"YCR023C"	-0.113803740515539
"375"	"YCR024C-A"	-0.176991493088126
"376"	"YCR025C"	-0.219469596521412
"377"	"YCR027C"	-0.36231136845483
"378"	"YCR028C-A"	-0.657860362414935
"379"	"YCR030C"	0.0157138107969471
"380"	"YCR031C"	-0.149981419973417
"381"	"YCR032W"	-0.292034142625219
"382"	"YCR033W"	-0.260966364442065
"383"	"YCR034W"	0.109024824845032
"384"	"YCR036W"	-0.103546517629764
"385"	"YCR037C"	0.0910659873936116
"386"	"YCR043C"	-0.195796945598954
"387"	"YCR044C"	0.559760398395851
"388"	"YCR045C"	-0.302685372787544
"389"	"YCR048W"	0.173251118702658
"390"	"YCR049C"	-0.100401204697043
"391"	"YCR050C"	-0.149863681687108
"392"	"YCR051W"	-0.19107292803678
"393"	"YCR053W"	-0.37431533703981
"394"	"YCR059C"	-0.277058953326126
"395"	"YCR060W"	-0.131188333452807
"396"	"YCR061W"	0.0883564860577328
"397"	"YCR062W"	-0.452274357726568
"398"	"YCR065W"	0.122213214338657
"399"	"YCR068W"	-0.318303090091555
"400"	"YCR069W"	-0.0901118673934736
"401"	"YCR071C"	-0.29811816887248
"402"	"YCR073C"	-0.072477645005293
"403"	"YCR073W-A"	-0.076086361889733
"404"	"YCR075C"	-0.265673186724923
"405"	"YCR076C"	-0.506957970403599
"406"	"YCR077C"	0.00748129930794655
"407"	"YCR079W"	0.145041055147912
"408"	"YCR081W"	0.512932401786671
"409"	"YCR082W"	-0.301885380452266
"410"	"YCR085W"	-0.19094436470503
"411"	"YCR086W"	0.444487825731587
"412"	"YCR087C-A"	-0.253629214821168
"413"	"YCR087W"	-0.367686123951635
"414"	"YCR088W"	-0.0583962367824347
"415"	"YCR090C"	-0.422124626621043
"416"	"YCR092C"	-0.240031145554995
"417"	"YCR095C"	-0.46818026364925
"418"	"YCR098C"	-0.152020821848751
"419"	"YCR099C"	-0.0469617563880679
"420"	"YCR100C"	0.0382009383198965
"421"	"YCR101C"	-0.360938538592305
"422"	"YCR102C"	-0.207733411108995
"423"	"YCR102W-A"	-0.163436391976705
"424"	"YCR105W"	-0.136237614103247
"425"	"YCR106W"	-0.0705595367629974
"426"	"YCR107W"	-0.0372447394873853
"427"	"YDL001W"	-0.309038895006415
"428"	"YDL002C"	-0.0947814068618478
"429"	"YDL006W"	-0.132323555073039
"430"	"YDL010W"	-0.045529388538279
"431"	"YDL011C"	-0.25621919138917
"432"	"YDL012C"	-0.234790630588945
"433"	"YDL013W"	0.413132480714695
"434"	"YDL018C"	-0.162944591443123
"435"	"YDL019C"	0.159180463791881
"436"	"YDL020C"	-0.820564412138583
"437"	"YDL024C"	0.364880946319391
