"gene"	"EtOH"
"1"	"YAL002W"	-1.60058883558177
"2"	"YAL004W"	1.15042989179564
"3"	"YAL005C"	1.40393815499439
"4"	"YAL008W"	0.388212059786758
"5"	"YAL010C"	-0.28808575941231
"6"	"YAL011W"	-0.350287795246447
"7"	"YAL013W"	-0.318682591143007
"8"	"YAL014C"	0.779589981815324
"9"	"YAL015C"	0.463325251586033
"10"	"YAL017W"	0.671447858718799
"11"	"YAL018C"	0.476047893015365
"12"	"YAL019W"	-0.070227844062015
"13"	"YAL020C"	0.998292646951146
"14"	"YAL022C"	0.592024026185509
"15"	"YAL023C"	-0.126251143560119
"16"	"YAL024C"	0.0203244778155281
"17"	"YAL026C"	0.501702277738896
"18"	"YAL027W"	0.543152710575064
"19"	"YAL028W"	0.679614870986721
"20"	"YAL029C"	-0.00501819983850896
"21"	"YAL030W"	0.277716750558942
"22"	"YAL031C"	-0.00047389976417246
"23"	"YAL034C"	0.941840655646478
"24"	"YAL036C"	1.04147164817844
"25"	"YAL037W"	-0.172496494265552
"26"	"YAL040C"	0.443861468673995
"27"	"YAL042W"	0.703969024096553
"28"	"YAL043C-A"	-0.507075053070445
"29"	"YAL045C"	-0.152232994914501
"30"	"YAL046C"	0.0374486626110714
"31"	"YAL048C"	-0.555716980147739
"32"	"YAL049C"	-0.0842913155489401
"33"	"YAL051W"	0.863812761041364
"34"	"YAL053W"	-0.190096071786511
"35"	"YAL054C"	-1.77510001868368
"36"	"YAL055W"	-1.42408864668524
"37"	"YAL056W"	1.05456200956908
"38"	"YAL058C-A"	0.800193701200121
"39"	"YAL059W"	0.989266311372667
"40"	"YAL060W"	0.193052055384038
"41"	"YAL061W"	0.182353850905595
"42"	"YAL062W"	0.180588553967241
"43"	"YAL064C-A"	-0.153795864616608
"44"	"YAL065C"	-0.240976638750795
"45"	"YAL066W"	-0.181435679212509
"46"	"YAL067C"	-0.15613791863772
"47"	"YAL068C"	-0.23092488021099
"48"	"YAR002C-A"	0.538778857633174
"49"	"YAR002W"	0.159512479609434
"50"	"YAR003W"	-1.25429557531141
"51"	"YAR014C"	-1.72806383210564
"52"	"YAR015W"	-0.311835384417972
"53"	"YAR020C"	-0.0549293202845051
"54"	"YAR023C"	-0.1930983877703
"55"	"YAR027W"	-0.280982049959743
"56"	"YAR028W"	-0.254039360313138
"57"	"YAR029W"	-0.176146416201528
"58"	"YAR030C"	-0.105812044333804
"59"	"YAR031W"	0.506257750373123
"60"	"YAR035W"	0.636813660957681
"61"	"YAR037W"	-0.406481329973911
"62"	"YAR040C"	0.427870288983908
"63"	"YAR043C"	0.809453756043088
"64"	"YAR044W"	-0.261579873500635
"65"	"YAR047C"	-0.205202681870563
"66"	"YBL003C"	-0.856421097362572
"67"	"YBL005W"	0.54934876417458
"68"	"YBL007C"	-1.78243060461341
"69"	"YBL009W"	0.377308472203014
"70"	"YBL010C"	-0.419785121805358
"71"	"YBL015W"	-0.600550859102855
"72"	"YBL016W"	0.737525117577436
"73"	"YBL017C"	1.58956939894159
"74"	"YBL019W"	-0.0714194661177638
"75"	"YBL021C"	-0.557019240455117
"76"	"YBL024W"	0.22110432142404
"77"	"YBL027W"	0.912201314677144
"78"	"YBL028C"	-0.358602859189792
"79"	"YBL029W"	-0.743152653898399
"80"	"YBL031W"	-0.0354132662596543
"81"	"YBL032W"	-0.305017190466139
"82"	"YBL036C"	-0.360773437387166
"83"	"YBL037W"	-2.12749462694969
"84"	"YBL039C"	-0.29257864594316
"85"	"YBL042C"	-0.819977782664256
"86"	"YBL043W"	2.32113554276767
"87"	"YBL046W"	-0.791277759330006
"88"	"YBL048W"	-0.255203403108253
"89"	"YBL049W"	-0.496372178738102
