"gene"	"FerulicAcid"
"1"	"YAL004W"	-0.383941052589128
"2"	"YAL005C"	-0.305818052403863
"3"	"YAL008W"	-0.224719538037994
"4"	"YAL010C"	1.75358886948304
"5"	"YAL011W"	0.104097776714718
"6"	"YAL013W"	0.0838613368988665
"7"	"YAL014C"	0.346353590896672
"8"	"YAL015C"	0.0645760643386215
"9"	"YAL017W"	0.114006816292167
"10"	"YAL018C"	-0.219977349013618
"11"	"YAL019W"	-0.951221394256247
"12"	"YAL020C"	-0.475554959633482
"13"	"YAL022C"	0.0303653463211123
"14"	"YAL023C"	-0.7948522418917
"15"	"YAL024C"	-0.486216659654496
"16"	"YAL026C"	-2.5052722736803
"17"	"YAL027W"	0.279528948996901
"18"	"YAL028W"	0.0838625282943217
"19"	"YAL029C"	-0.0118017495114359
"20"	"YAL030W"	-0.0288401638938476
"21"	"YAL031C"	0.0604556560365747
"22"	"YAL034C"	0.166107286276167
"23"	"YAL036C"	-0.418140571962646
"24"	"YAL037W"	0.117253163941513
"25"	"YAL040C"	1.51906501541586
"26"	"YAL042W"	-0.717797634270746
"27"	"YAL043C-A"	0.263294714047066
"28"	"YAL045C"	0.0857908072349284
"29"	"YAL046C"	0.208352687965666
"30"	"YAL048C"	0.332335477636495
"31"	"YAL049C"	0.0129215784433042
"32"	"YAL051W"	-0.282878305908431
"33"	"YAL053W"	0.0323236481860751
"34"	"YAL054C"	-0.305980926131685
"35"	"YAL055W"	0.0789467733310456
"36"	"YAL056W"	-0.23225415630624
"37"	"YAL058C-A"	0.0601752056413622
"38"	"YAL058W"	1.54737554848904
"39"	"YAL059W"	0.209404577882135
"40"	"YAL060W"	0.414816254947011
"41"	"YAL061W"	0.135492560216458
"42"	"YAL062W"	0.118487189784726
"43"	"YAL064C-A"	0.0580649922988125
"44"	"YAL065C"	0.196493863511524
"45"	"YAL066W"	0.201774452989804
"46"	"YAL067C"	0.0641594958442305
"47"	"YAL068C"	0.0939077202614737
