"gene"	"CinnamicAcid"
"1"	"YAL004W"	0.496815132544241
"2"	"YAL005C"	0.37440741751331
"3"	"YAL008W"	0.429443184875003
"4"	"YAL010C"	0.696031727587188
"5"	"YAL011W"	0.552777603920339
"6"	"YAL013W"	-1.40131903759743
"7"	"YAL014C"	0.234310259174936
"8"	"YAL015C"	-0.114418960774845
"9"	"YAL017W"	-0.106615833589555
"10"	"YAL018C"	0.350909474061158
"11"	"YAL019W"	-0.0665375729242651
"12"	"YAL020C"	0.373279720573042
"13"	"YAL022C"	-0.188696993978876
"14"	"YAL023C"	-0.620847011429671
"15"	"YAL024C"	0.461416356884602
"16"	"YAL026C"	-0.360510477825194
"17"	"YAL027W"	-0.307710191454238
"18"	"YAL028W"	0.204340704782214
"19"	"YAL029C"	0.0641482404103244
"20"	"YAL030W"	0.205331884551301
"21"	"YAL031C"	0.0745423100043412
"22"	"YAL034C"	0.0911044298334476
"23"	"YAL036C"	0.315398142626172
"24"	"YAL037W"	-0.00698608962362104
"25"	"YAL040C"	0.633170580111699
"26"	"YAL042W"	-0.364895670900396
"27"	"YAL043C-A"	0.164564849375319
"28"	"YAL045C"	0.326472400670687
"29"	"YAL046C"	-0.0323998340379372
"30"	"YAL048C"	-0.148327662174521
"31"	"YAL049C"	-0.0477946156609711
"32"	"YAL051W"	0.434995241636538
"33"	"YAL053W"	0.308105990540791
"34"	"YAL054C"	-0.18273184137243
"35"	"YAL055W"	-0.0319255862268299
"36"	"YAL056W"	-0.157663756572163
"37"	"YAL058C-A"	-0.177776951330202
"38"	"YAL059W"	0.44480583204126
"39"	"YAL060W"	0.215175017423365
"40"	"YAL061W"	-0.00959637105137563
"41"	"YAL062W"	0.128033030534691
"42"	"YAL064C-A"	-0.124112493519018
"43"	"YAL065C"	-0.0121826335260951
"44"	"YAL066W"	0.128109117151607
"45"	"YAL067C"	-0.0734435230542442
"46"	"YAL068C"	0.11908491002882
"47"	"YAR002C-A"	-0.0227753196204356
"48"	"YAR002W"	2.35936694723907
"49"	"YAR003W"	1.15316645268621
"50"	"YAR014C"	1.90189524780447
"51"	"YAR015W"	-0.100408668134337
"52"	"YAR020C"	0.118045495016308
"53"	"YAR023C"	0.120508040668863
"54"	"YAR027W"	-0.00116173870918563
"55"	"YAR028W"	-0.759060870424114
"56"	"YAR029W"	-0.213586570190805
"57"	"YAR030C"	0.139653526727183
