"gene"	"FeruloylAmide"
"1"	"YAL004W"	0.274030164156923
"2"	"YAL005C"	0.35160453372437
"3"	"YAL008W"	-0.0590198278273924
"4"	"YAL010C"	0.375505724724425
"5"	"YAL011W"	-6.94118923573868
"6"	"YAL013W"	-0.00602294099880566
"7"	"YAL014C"	-0.396327923904468
"8"	"YAL015C"	-0.159224421971758
"9"	"YAL017W"	-0.104778335271237
"10"	"YAL018C"	-0.108637866212611
"11"	"YAL019W"	-0.274656930627801
"12"	"YAL020C"	-0.135235009262628
"13"	"YAL022C"	-0.152587229668479
"14"	"YAL023C"	0.113696215837713
"15"	"YAL024C"	-2.60653259749068
"16"	"YAL026C"	-3.71725463424969
"17"	"YAL027W"	-0.0047483049776405
"18"	"YAL028W"	0.214740402393118
"19"	"YAL029C"	-0.104795934208975
"20"	"YAL030W"	-0.240694674408716
"21"	"YAL031C"	-0.225541542866006
"22"	"YAL034C"	0.124343432320335
"23"	"YAL036C"	0.0687531943871773
"24"	"YAL037W"	-0.13652041943373
"25"	"YAL040C"	0.672906195673742
"26"	"YAL042W"	-0.0435163094797869
"27"	"YAL043C-A"	0.565854868146486
"28"	"YAL045C"	-0.229817939587556
"29"	"YAL046C"	-0.0636672728012934
"30"	"YAL048C"	0.178831713478799
"31"	"YAL049C"	-0.438973592755912
"32"	"YAL051W"	-0.247321119028213
"33"	"YAL053W"	0.0064477943399835
"34"	"YAL054C"	-0.93484729933742
"35"	"YAL055W"	-0.242440622357999
"36"	"YAL056W"	-0.209855886304502
"37"	"YAL058C-A"	-0.0125370514929282
"38"	"YAL059W"	0.0212131073604528
"39"	"YAL060W"	-0.105073837619454
"40"	"YAL061W"	-0.136739264450237
"41"	"YAL062W"	-0.552313214819863
"42"	"YAL064C-A"	-0.117338540425201
"43"	"YAL065C"	-0.0719917844430924
"44"	"YAL066W"	-0.235637381366332
"45"	"YAL067C"	-0.162034052698593
"46"	"YAL068C"	-0.165380531634271
"47"	"YAR002C-A"	0.345166502522859
"48"	"YAR002W"	0.903270195844754
"49"	"YAR003W"	0.219935612988265
"50"	"YAR014C"	1.50617444089885
"51"	"YAR015W"	0.0513746707465986
"52"	"YAR020C"	-0.125273771696254
"53"	"YAR023C"	-0.361753765773261
"54"	"YAR027W"	-0.263352921695843
"55"	"YAR028W"	0.376867722345107
"56"	"YAR029W"	0.0542742215936009
"57"	"YAR030C"	-0.331599420965332
"58"	"YAR031W"	0.231213265815101
"59"	"YAR035W"	-0.330189897098087
"60"	"YAR037W"	-0.33050620194954
"61"	"YAR040C"	-0.320644655377903
"62"	"YAR043C"	0.210371432728352
"63"	"YAR044W"	0.0240766153514473
"64"	"YAR047C"	-0.241525630499575
"65"	"YBL003C"	0.634565116843563
