"gene"	"Isobutanol"
"134"	"YBR001C"	-0.56557501516545
"135"	"YBR005W"	-0.061793835885514
"136"	"YBR006W"	0.0271712569996533
"137"	"YBR007C"	-0.0719588179804124
"138"	"YBR008C"	0.0273296892614979
"139"	"YBR009C"	0.397861792353805
"140"	"YBR010W"	0.21959089712095
"141"	"YBR012C"	-0.0867644745660975
"142"	"YBR013C"	0.357291692829546
"143"	"YBR014C"	-0.00461189225241725
"144"	"YBR015C"	0.0173919644280713
"145"	"YBR016W"	-1.10748226697325
"146"	"YBR018C"	-0.603388273045934
"147"	"YBR022W"	-0.032028890939697
"148"	"YBR024W"	0.286227549543155
"149"	"YBR025C"	0.0826825927042799
"150"	"YBR026C"	-0.408293866884947
"151"	"YBR027C"	0.0974204413067419
"152"	"YBR028C"	-0.226207830791214
"153"	"YBR030W"	-0.281887401860836
"154"	"YBR031W"	0.474387130155214
"155"	"YBR032W"	0.0949196416448603
"156"	"YBR033W"	0.171525411110178
"157"	"YBR034C"	0.124714579568163
"158"	"YBR036C"	-0.212800763901584
"159"	"YBR040W"	-0.175178172032116
"160"	"YBR041W"	-0.681914795643963
"161"	"YBR042C"	-2.04190000631682
"162"	"YBR043C"	0.0724867488349935
"163"	"YBR044C"	-0.641505570707674
"164"	"YBR045C"	-0.0282284921200981
"165"	"YBR047W"	0.0224592175531224
"166"	"YBR048W"	0.369070616556074
"167"	"YBR052C"	0.273329077381205
"168"	"YBR053C"	-0.138996103257086
"169"	"YBR054W"	0.21479531317953
"170"	"YBR056W"	-0.481035215792147
"171"	"YBR057C"	0.0562015946686125
"172"	"YBR058C"	-0.547992280599659
"173"	"YBR059C"	0.0776461199580166
"174"	"YBR061C"	-0.0804340970737478
"175"	"YBR062C"	-0.0313780289821907
"176"	"YBR063C"	-0.134218730507505
"177"	"YBR064W"	0.111146480929358
"178"	"YBR065C"	0.211464692100204
"179"	"YBR068C"	-0.413876986903415
"180"	"YBR069C"	-0.473164037054308
"181"	"YBR071W"	-0.369597657804561
"182"	"YBR072W"	0.0981076319496824
"183"	"YBR073W"	-0.188493517114674
"184"	"YBR074W"	0.0707290872937323
"185"	"YBR075W"	0.177787880916094
"186"	"YBR076W"	0.0338659104054656
"187"	"YBR077C"	-0.948451345243579
"188"	"YBR078W"	-0.733867340264015
"189"	"YBR082C"	-0.00203378466540127
"190"	"YBR083W"	-0.437155647489258
"191"	"YBR084C-A"	-0.132934871841598
"192"	"YBR084W"	-0.143609893587253
"193"	"YBR085W"	-0.241856662208563
"194"	"YBR086C"	0.0709218134322226
"195"	"YBR090C-A"	-0.216305215108794
"196"	"YBR090C"	-0.0887480772122782
"197"	"YBR092C"	-0.17996986377224
"198"	"YBR095C"	0.0239928743179025
"199"	"YBR098W"	0.223591278583706
"200"	"YBR099C"	0.103909332129862
"201"	"YBR100W"	-0.112098681204123
"202"	"YBR104W"	0.135055926827947
"203"	"YBR105C"	-0.577611157872437
"204"	"YBR107C"	-0.57093771035499
"205"	"YBR108W"	-2.40418516381276
"206"	"YBR111C"	-0.0458800488178054
"207"	"YBR113W"	-0.505604538164793
"208"	"YBR114W"	-1.07128483044637
"209"	"YBR115C"	-0.263610210380294
"210"	"YBR116C"	0.211355256255068
"211"	"YBR118W"	-1.1893344273023
"212"	"YBR119W"	0.221267469090205
"213"	"YBR125C"	-0.0433710708926531
"214"	"YBR126C"	0.149129902171846
"215"	"YBR128C"	-0.157364382194396
"216"	"YBR129C"	0.209886376460318
"217"	"YBR130C"	-1.15521772920958
"218"	"YBR132C"	0.108253674556368
"219"	"YBR134W"	-1.4943477178603
"220"	"YBR137W"	0.0208616976252212
"221"	"YBR138C"	0.122832912296883
"222"	"YBR141C"	0.137884057642303
"223"	"YBR144C"	-1.04125695197868
"224"	"YBR145W"	0.227726638415076
"225"	"YBR147W"	-0.0698361545858634
"226"	"YBR148W"	0.0120312419377325
"227"	"YBR150C"	-0.222774049865307
"228"	"YBR151W"	0.0889634389862743
"229"	"YBR156C"	-0.287946886515892
"230"	"YBR157C"	0.291532141291298
"231"	"YBR161W"	-0.0929076605733355
"232"	"YBR162C"	-0.00361982629823822
"233"	"YBR162W-A"	-0.185971698391849
"234"	"YBR164C"	-0.520714493814762
"235"	"YBR165W"	0.0360189247282257
"236"	"YBR166C"	-3.26916327829572
"237"	"YBR168W"	-0.297883911700456
"238"	"YBR171W"	-4.55413991924572
"239"	"YBR172C"	-0.582753597531456
"240"	"YBR174C"	-0.469408646929228
"241"	"YBR175W"	-0.273783116926996
"242"	"YBR176W"	-0.106227379982905
"243"	"YBR177C"	0.151310851697856
"244"	"YBR180W"	0.0521117740360706
"245"	"YBR183W"	0.820507043826824
"246"	"YBR184W"	-0.114894183272755
"247"	"YBR185C"	-0.00735721855415498
"248"	"YBR186W"	0.185439786491306
"249"	"YBR197C"	-0.116871194976134
"250"	"YBR199W"	-0.0408230273672662
"251"	"YBR200W"	-1.1379226659689
"252"	"YBR203W"	-0.844317561902141
"253"	"YBR204C"	0.385783588399215
"254"	"YBR205W"	-1.69551013368423
"255"	"YBR206W"	0.124959268155131
"256"	"YBR207W"	0.163077151473026
"257"	"YBR208C"	-0.168065913630952
"258"	"YBR209W"	-0.535962491651089
"259"	"YBR210W"	-0.739999345023845
"260"	"YBR212W"	-1.20316896525983
"261"	"YBR214W"	-0.279127008950121
"262"	"YBR215W"	-0.538280984884663
"263"	"YBR216C"	-0.149998338100723
"264"	"YBR217W"	0.283275285022014
"265"	"YBR218C"	-0.153372667385567
"266"	"YBR219C"	0.284030984290511
"267"	"YBR220C"	0.128222393813378
"268"	"YBR221C"	-1.59679029019096
"269"	"YBR223C"	-0.0441178228110098
"270"	"YBR224W"	0.26232565008858
"271"	"YBR225W"	-0.0153513167188404
"272"	"YBR226C"	-0.258462996795567
"273"	"YBR229C"	-0.0825867107249422
"274"	"YBR231C"	0.347476498845799
"275"	"YBR232C"	0.154084578075712
"276"	"YBR233W"	-0.859286553690996
"277"	"YBR235W"	0.13251259567298
"278"	"YBR239C"	-0.00353286041959559
"279"	"YBR240C"	-0.837705585997245
"280"	"YBR241C"	0.302002494912082
"281"	"YBR245C"	-0.0349382865178978
"282"	"YBR248C"	-0.198379284754911
"283"	"YBR250W"	-0.0149601958236372
"284"	"YBR255W"	0.24670180748808
"285"	"YBR258C"	0.0134010566091964
"286"	"YBR259W"	0.050964030775651
"287"	"YBR260C"	0.111126225046692
"288"	"YBR261C"	0.0497202890783677
"289"	"YBR262C"	0.0530760777752936
"290"	"YBR263W"	-0.237941483001846
"291"	"YBR264C"	0.185023741946947
"292"	"YBR266C"	0.545004297046934
"293"	"YBR267W"	-0.801301294491387
"294"	"YBR269C"	0.0852311863200145
"295"	"YBR270C"	-0.329068650088657
"296"	"YBR271W"	0.0808707532403888
"297"	"YBR274W"	0.25275932479882
"298"	"YBR275C"	0.0818816338559511
"299"	"YBR276C"	0.0925490226568183
"300"	"YBR277C"	0.479991607870675
"301"	"YBR278W"	-0.0977598218714002
"302"	"YBR280C"	-0.138701593287512
"303"	"YBR281C"	0.369382800161865
"304"	"YBR283C"	-1.36097000929444
"305"	"YBR284W"	0.0879488793411098
"306"	"YBR285W"	0.260634926454723
"307"	"YBR286W"	0.0311484966142129
"308"	"YBR287W"	0.222551802701252
"309"	"YBR289W"	-0.300017367876093
"310"	"YBR290W"	-0.0837455011270615
"311"	"YBR291C"	1.4953798176987
"312"	"YBR292C"	0.465265835096759
"313"	"YBR293W"	-0.504994454073713
"314"	"YBR294W"	-0.0582437611397998
"315"	"YBR295W"	0.0708316709590778
"316"	"YBR296C"	0.17906907153334
"317"	"YBR297W"	-0.615288090168056
"318"	"YBR298C"	0.158602028950175
"319"	"YBR301W"	0.370685225771021
"320"	"YCL001W-A"	-1.34671462948412
"321"	"YCL001W"	-0.681240827337655
"322"	"YCL006C"	-0.477205602051196
"323"	"YCL010C"	-0.00979993432303644
"324"	"YCL011C"	-0.520375687116051
"325"	"YCL012W"	-0.316441015577495
"326"	"YCL013W"	-0.187108323021669
"327"	"YCL014W"	-0.0553446564257175
"328"	"YCL016C"	-1.20316896525983
"329"	"YCL022C"	-0.470966130405528
"330"	"YCL023C"	-0.379475169101733
"331"	"YCL024W"	-0.722211343237887
"332"	"YCL025C"	0.000873716757113458
"333"	"YCL026C-A"	-0.0178235136094712
"334"	"YCL026C"	-0.0730410702366538
"335"	"YCL027W"	-0.921253725142846
"336"	"YCL028W"	-0.197994463175224
"337"	"YCL029C"	-3.90927400731453
"338"	"YCL034W"	-0.93844720872449
"339"	"YCL035C"	-0.0776069253076799
"340"	"YCL038C"	-0.779488903280156
"341"	"YCL039W"	-0.822805685399926
"342"	"YCL042W"	-0.11178052208747
"343"	"YCL046W"	0.165322174773125
"344"	"YCL048W"	0.0455823702895088
"345"	"YCL049C"	-0.0460260103143679
"346"	"YCL050C"	-0.0786773042170495
"347"	"YCL051W"	-0.215616775912679
"348"	"YCL055W"	0.0575480068711698
"349"	"YCL057W"	-0.0810497662372492
"350"	"YCL061C"	-0.0255144966312326
"351"	"YCL062W"	-0.0415140339847852
"352"	"YCL063W"	-1.48285856160942
"353"	"YCL064C"	-0.565168010715667
