gene	22Dipyridyl	24Dimethylimidazole	26Dimethylpyrazine	2Methylimidazole	45Methylimidazole	4OHAcetophenone	4OHBenzaldehyde	4OHBenzoicAcid	5HMF	Acetamide	AcetoSyringone	Acetovanillone	AzelaicAcid	BMIMCl	Benomyl	BenzoicAcid	CV	CaffeicAcid	CinnamicAcid	CoumaricAcid	CoumaroylAmide	DMSO	EMIMCl	EtOH	FerulicAcid	FeruloylAmide	Furfural	GVL	Isobutanol	LevulinicAcid	MBO	Methylglyoxal	Mycobutanil	NAO	SinapicAcid	SodiumGlyoxylate	Syringaldehyde	SyringicAcid	VanillicAcid	Vanillin	SodiumAcetate	SodiumButyrate
1	YAL002W	-1.6382941040437	-1.46653661040633	0	0	0	0	0	0	0	0	0	0	0	-1.18773701590074	-1.63633155290639	0	-1.78349394119876	0	0	0	0	0	-1.41342946525747	-1.60058883569898	0	0	-1.51396176817609	-1.62712526311467	-1.64042042518953	2.22348044811147	-1.55055011092635	0	-1.93750597750043	-1.89797612827042	0	-1.31283630155032	0	0	0	0	0	-1.89837326681234
2	YAL004W	0.235778291579551	-0.0212068083839372	0.649959456409369	-0.118717136870134	0.0877650505864021	-0.381411261049676	-0.48964373006962	0.174476285529799	-0.0148935826935838	0.021474277126792	-0.957754586492303	-0.517671293233123	-0.504281067937117	-0.215619755564164	-0.182980557587407	0.244496288038921	0.777644255476337	-0.1036088279423	0.496815132545815	-0.313307995930751	0.17359252480515	-0.020708039384973	-0.773955399238038	1.1504298917959	-0.383941052589172	0.274030164156482	-0.171538455948464	0.0996210328355251	-0.294540769310676	0.307845229281005	-0.802685010929095	-0.426393722083641	0.160083981119831	-0.316974666647697	-0.308840337530638	0.294576322860461	0.844756786256656	0.646005657674451	0.142908067361337	0.0224260300883455	-0.129204337901384	-0.00572448107365478
3	YAL005C	0.206967115116367	-0.00322127036773542	0.717080482407353	0.292140265556353	0.0922342881936047	-0.413953481768816	-0.18395674150602	0.251798532479828	-0.013594214633457	0.166197568812934	-0.914086763810249	-0.581577843579722	-0.249132478908122	-0.342136959853319	0.00306474618298553	0.283488711555157	-0.516379058769243	0.231279947295438	0.374407417515408	-0.260027009909266	0.310788835649324	0.086540274702881	-0.796554940217526	1.40393815499219	-0.305818052403856	0.351604533723987	-0.116216741117081	0.26592133061062	-0.602497463390593	0.302929993590696	-0.895335489258645	-0.323137511830087	0.00636901689449511	-0.427237319789141	-0.225862396184039	0.0557956826591739	0.94030027238552	1.03147836272596	0.451559346714323	-0.0395184417521448	-0.122112456144928	-0.0644650590364846
4	YAL007C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	YAL008W	0.0992006666362801	-0.0383985680971878	0.157677317822984	0.00730169975717499	-0.0221476238354058	-0.0524208346046274	0.0764302314012705	-0.0339503656996719	-0.139199857052056	-0.0904921628344061	-0.473781717386448	-0.239941729081216	0.0585301249582785	0.238970448185906	-0.0691710753504834	0.112286081064577	-0.86930109699999	0.0144563569857341	0.429443184875323	-0.182328195342632	0.13672288989708	-0.237462103802118	-0.150414125369013	0.388212059785896	-0.224719538037931	-0.0590198278277986	0.0629656536281773	-0.197352318728372	-0.208847503506394	-0.00744934555128619	-0.237428169808033	0.247407347401172	0.23112771343139	-0.376799526636757	-0.127722604068579	0.0374634242740928	0.0839806673396995	0.30208762795677	0.030196884151713	-0.148986777780983	-0.0965441343406333	0.108168346896203
6	YAL010C	0.553248597089042	0.022296117875054	-2.12599117647612	0.13790938237164	-0.182575818285709	-0.30303296245913	-0.851690980260726	-0.0447962223928801	1.26745030397509	-0.00157093101932743	1.26035046606103	0.40670430745128	-0.978442963530849	-0.774699473243777	-0.171421537111337	-0.376019341251092	-3.79654824373729	-0.0619724218011505	0.696031727586173	0.744184693024482	-0.736360056353254	0.160862083943397	0.215050566086104	-0.288085759343244	1.75358886948324	0.37550572472443	0.242421250084835	-4.97071146123461	-5.17813174635268	0.645278573907259	-4.26611692283894	0.605842293060721	0.168547759491577	-0.319270999994617	0.499645361015578	0.182253270033425	1.40094449448517	-0.460733317150283	0.268831378696825	-0.00310483883687836	0.886829530690492	-0.738891971855916
7	YAL011W	0.0516701566642446	0.190401852704625	-0.837312118982412	0.0741997762344034	-0.0467876682993458	-2.42099103531163	-0.345657651941554	0.114463526028664	-0.201441606524163	-0.636721599697478	-4.71795374529401	-5.89366817672283	-0.487368045565918	-0.29546290670331	0.120084052940221	0.203783495355604	-0.738581287461296	-0.597293724737974	0.5527776039203	-0.126547966152991	-1.89873648642323	-2.50174687414133	-0.0346060735550583	-0.350287795242164	0.104097776714715	-6.94118923573991	-0.063958508622485	-0.3092334854832	0.21726704527698	-0.143141173750677	0.0413362434328182	0.419309154729169	0.151802785098128	-0.627562514507554	-0.704401944539795	0.178835741109133	-0.487391989888689	-0.48824893190802	-0.131869698819912	-0.656789176568349	-0.577892311540133	0.127668688943441
8	YAL013W	-0.28494596031725	-0.0735322568922382	-0.851260168965485	0.341469894196327	-0.129432415304324	0.0790911022416946	-0.362531775508484	-0.293989730944135	-0.16840982499687	-0.098463436323364	0.056504241296856	0.440654164615069	-0.891983616020589	0.241839361365265	0.0617988665396684	-0.262300609884983	0.446883414601611	-0.409751122499125	-1.40131903759744	-0.181819982706366	-0.413350800356102	0.521435928651099	0.753202625469624	-0.318682591142281	0.0838613368985564	-0.00602294099885435	0.235584869434956	-0.306330536644297	-1.32156525963238	-0.0155847368967047	-1.04661423607738	-0.0267587488341416	-0.428009392152347	1.62661940142245	0.0355335384162396	0.159232596857655	0.315099583906804	-0.41619234822452	-1.78643189344876	-0.141141795756795	-0.264071391789368	-0.195583881900351
9	YAL014C	0.0695294028017084	-0.0512123098515112	0.459619308254587	0.086546424491697	0.00871460809276803	-0.348722258560795	-0.0273275000157188	-0.0271394311848978	0.0088376566031339	-0.0405648036778933	-0.631645595277029	-0.628366329476526	-0.426040805991445	0.0379430660251442	-0.0372127057614915	-0.175645444904485	-0.269078209325851	-0.201296125698086	0.234310259174374	0.018019642410494	-0.0220283229053207	-0.363237949970262	-0.63598299885551	0.779589981818768	0.346353590896602	-0.396327923904464	-0.0354262906664593	0.1919974606989	-0.115239901168346	0.0232810573646961	0.208890553328482	-0.135559854051801	0.149177527554699	0.0854705459250544	-0.306924330414652	0.139689125068727	0.509469748064847	-0.0372956990337401	-0.118920628682979	-0.0687466599708676	-0.144261391281568	0.0171560118424327
10	YAL015C	0.220464220317702	0.0259171620319128	-0.024966690286047	0.156246837352165	0.0882234029075299	0.0388638069805135	-0.413558753416919	-0.00378076912245262	-0.245826321805618	-0.18471071188963	-0.199942316053805	-0.17164899890403	-0.290914029485779	0.41546841525559	0.236604711680817	-0.042293414804695	-0.0230126496219463	-0.351473986630037	-0.114418960774329	0.0539959712543136	0.0375983907076201	-0.246503990223241	-0.176115969756017	0.463325251585037	0.0645760643387074	-0.159224421972171	-0.0345394041022256	-0.216878084357217	-0.128032581619566	-0.143468122719293	-0.0158727635712336	0.0841952982778365	0.0832456513484663	-0.0106445239054421	-0.210510998579193	0.0735164212736197	-0.558807815836066	-0.31514693912066	-0.532024603562412	-0.30705873937215	-0.15188180455799	0.256318042166606
