"gene"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"1"	"YAL002W"	0	0	0	0	0
"2"	"YAL004W"	0.174476285529799	8.19081320856991	1.6888803280239	0.20275362434263	0.753080232289163
"3"	"YAL005C"	0.251798532479828	8.27402993360656	3.81504531383119	0.0593161204167359	0.538644836618993
"4"	"YAL007C"	0	0	0	0	0
"5"	"YAL008W"	-0.0339503656996719	8.55369785946837	0.0549627732407373	0.816090748476089	0.977134611078839
"6"	"YAL010C"	-0.0447962223928801	4.46738425605404	0.00714890631496076	0.933129027673181	0.991736129593224
"7"	"YAL011W"	0.114463526028664	6.33444703212196	0.164187350473824	0.687945012399346	0.953527817209475
"8"	"YAL013W"	-0.293989730944135	6.76101323431718	1.46748770617409	0.234345559091154	0.781821745902399
"9"	"YAL014C"	-0.0271394311848978	9.94376534999951	0.0639523345351895	0.801923374930693	0.975336277005518
"10"	"YAL015C"	-0.00378076912245262	8.61360396524702	0.000939413702452843	0.975733392463823	0.996090219457209
"11"	"YAL017W"	0.0263925983731256	9.12118996154003	0.0620247517382542	0.804867372235936	0.975632865442178
"12"	"YAL018C"	0.0273968548924839	9.09379965917623	0.0569847171520838	0.812802960680666	0.976557263485896
"13"	"YAL019W"	0.191585114569885	8.99069125733215	2.33152830285059	0.136305549577599	0.695371651818843
"14"	"YAL020C"	0.00578714719454347	9.05766484921269	0.00298437492218051	0.9567630695505	0.991736129593224
"15"	"YAL022C"	-0.08623643532243	8.75726225013458	0.661456380435508	0.42187530944388	0.893265326220237
"16"	"YAL023C"	0.0121814049742112	9.17824658727719	0.0122864065431548	0.912411372298828	0.991736129593224
"17"	"YAL024C"	0.0532577820969698	9.23884150725656	0.190960750237413	0.664964320323945	0.949734125487867
"18"	"YAL026C"	-0.17756867715666	8.47824666133108	1.51721806362323	0.226745848573415	0.77878477990792
"19"	"YAL027W"	0.0433017964708352	8.6999873043047	0.137196822391267	0.713450580811496	0.953527817209475
"20"	"YAL028W"	0.0450740505947892	8.75933401568316	0.183207625326073	0.671411472368426	0.949734125487867
"21"	"YAL029C"	-0.0226837758955179	8.7679836804665	0.0357621619358173	0.85116571938025	0.985993460823669
"22"	"YAL030W"	-0.0219636384039665	8.77276402118593	0.0443092961572356	0.834573506511494	0.983051515983944
"23"	"YAL031C"	0.0234592157393838	8.55922993293534	0.0355504925545107	0.851601469913429	0.985993460823669
"24"	"YAL034C"	-0.03718475297499	9.48122044151239	0.113631963467053	0.73818098281633	0.964314411681132
"25"	"YAL036C"	0.054346825266952	8.92932092304337	0.269815572515883	0.606922044177923	0.941842283438011
"26"	"YAL037W"	0.0119735953820005	8.66514564652696	0.0107635070136646	0.917997791656741	0.991736129593224
"27"	"YAL040C"	-1.16299134341178	0.280085383029321	0.325293729809835	0.572836092538907	0.934751266582446
"28"	"YAL042W"	-0.215409119405147	8.62430672802301	3.98704240178233	0.0541538610691638	0.51999352618025
"29"	"YAL043C-A"	0.327487910868357	6.16627192287687	0.952025059309722	0.336302634366927	0.848956190783507
"30"	"YAL045C"	0.175470250656601	8.4670633255262	1.80784990600361	0.187935518958192	0.747558261837418
"31"	"YAL046C"	-0.0911773667079121	9.34320936271491	0.75514928171217	0.391126957623288	0.875171607987884
"32"	"YAL048C"	-0.0137014819906819	9.06146228441635	0.0171582101719227	0.896578987336674	0.991736129593224
"33"	"YAL049C"	-0.163555837256297	8.7675684706636	2.07295843015845	0.159349589022062	0.727175138475123
"34"	"YAL051W"	0.0463084212123348	8.85772505778628	0.17906593303743	0.674922133109729	0.95067439226496
"35"	"YAL053W"	0.0485940336389121	7.95295832114806	0.111623432390547	0.74041726363515	0.964539430010575
"36"	"YAL054C"	-0.701086488872836	0.782395443236211	0.100047625794021	0.753892390530737	0.969716823541877
"37"	"YAL055W"	-0.260496785770388	8.16646476095562	3.7798993076005	0.0604370755874749	0.539703084996151
"38"	"YAL056W"	-0.00478292256780751	8.9166912438633	0.0017869018967523	0.966536775475632	0.99269489893567
"39"	"YAL058C-A"	-0.133183617561832	9.54769985695054	1.75469566324479	0.194387551015	0.752156475496942
"40"	"YAL058W"	0	0	0	0	0
"41"	"YAL059W"	0.120090133165314	8.6785824274135	1.33911121689666	0.255498091057206	0.795172951720888
"42"	"YAL060W"	0.0667689150217158	9.11915901975	0.379395524823844	0.542152198175949	0.9257385628601
"43"	"YAL061W"	0.00573701773981025	8.91464856798646	0.00239384650829909	0.961272422293626	0.991736129593224
"44"	"YAL062W"	-0.0444260029599644	8.69669905509564	0.140698610411694	0.709987415490075	0.953527817209475
"45"	"YAL064C-A"	-0.0281878608082345	9.04648461544185	0.0513297376101928	0.82216285157489	0.98055616221219
"46"	"YAL065C"	-0.0561709350270247	8.84093063235579	0.273686027907432	0.604364921180481	0.941842283438011
"47"	"YAL066W"	0.0473421416095168	8.86340436899645	0.207162083229166	0.651981180427676	0.949734125487867
"48"	"YAL067C"	-0.0288965666250742	8.81546384584754	0.06123725133523	0.80608411423965	0.975632865442178
"49"	"YAL068C"	-0.0434843805969428	8.6370708324171	0.171142458133646	0.681774609478054	0.953322065587943
"50"	"YAR002C-A"	0.00602317001749415	8.87250006284439	0.00333247231171008	0.954313752178087	0.991736129593224
"51"	"YAR002W"	1.16310251223133	2.51024358410786	1.3864888598537	0.247421062120327	0.787689869780576
"52"	"YAR003W"	1.06894599478942	6.60727229841332	8.99444916535548	0.00511908607240009	0.247099668251529
"53"	"YAR014C"	1.21697542415709	0.62308865263725	0.29925779898196	0.588533073449761	0.93938091196505
"54"	"YAR015W"	-0.13183155975056	8.34726136800844	1.09763890272781	0.302397490051512	0.828218892635248
"55"	"YAR018C"	0	0	0	0	0
"56"	"YAR020C"	0.0791658219866907	8.89779662197839	0.392360509531104	0.535370205551432	0.924253558518295
"57"	"YAR023C"	-0.0809732444717851	8.7865109989992	0.537871380573109	0.468494342798697	0.911891928925517
"58"	"YAR027W"	0.141896165664457	8.27856661987057	1.57957872070888	0.21764430743577	0.771153084426185
"59"	"YAR028W"	-0.188464692123285	9.06933868779384	2.34811575937294	0.134965704018062	0.695371651818843
"60"	"YAR029W"	-0.0369851273221655	9.11356801209777	0.110012794413647	0.742226789773179	0.964539430010575
"61"	"YAR030C"	-0.0938350401615739	8.77886701601686	0.628912021572589	0.433419326480091	0.896975202878521
"62"	"YAR031W"	0.0165792619898063	8.78390285945738	0.0187244767930269	0.891990697852868	0.991736129593224
"63"	"YAR035W"	-0.258952523202878	8.61338007929357	4.82464424710564	0.0351874592794722	0.448017698985806
"64"	"YAR037W"	0.103615248482699	8.86157634330832	0.866095054147544	0.358796769463455	0.868896312219296
"65"	"YAR040C"	-0.0512057385307504	9.22677031227192	0.232941091279806	0.632537683717589	0.9471295825258
"66"	"YAR042W"	0	0	0	0	0
"67"	"YAR043C"	-0.196156273177129	8.71044349187571	3.22174414287455	0.0818301150721551	0.584247974963902
"68"	"YAR044W"	0.0492667154311265	8.52574197377462	0.175478142599985	0.678002337376332	0.952349331147566
"69"	"YAR047C"	-0.00486871441642535	9.08031941663093	0.0014963289857317	0.969376654020118	0.993292291161542
"70"	"YAR050W"	0	0	0	0	0
"71"	"YBL001C"	0	0	0	0	0
"72"	"YBL003C"	0.0700241580538841	7.96066931391048	0.278500952739311	0.601215907855292	0.941842283438011
"73"	"YBL005W"	0.118662202364088	7.76585293272971	0.647358035111101	0.426817266077564	0.894814066315568
"74"	"YBL007C"	-0.060925005867097	5.01454905904388	0.0187648945784393	0.891874937012219	0.991736129593224
"75"	"YBL008W"	0	0	0	0	0
"76"	"YBL009W"	0.0265689449852974	8.47159398948003	0.0587806365682765	0.8099341080143	0.976090208073765
