	ChemGen004_LevulinicAcid_log2_ratio	ChemGen005_LevulinicAcid_log2_ratio	ChemGen006_LevulinicAcid_log2_ratio	ChemGen006_QUADRIS1_log2_ratio	ChemGen006_QUADRIS1_log2_ratio.1	ChemGen006_QUADRIS1_log2_ratio.2	ChemGen003_CaffeicAcid_log2_ratio	ChemGen004_CaffeicAcid_log2_ratio	ChemGen005_CaffeicAcid_log2_ratio	ChemGen003_24Dimethylimidazole_log2_ratio	ChemGen004_24Dimethylimidazole_log2_ratio	ChemGen005_24Dimethylimidazole_log2_ratio	ChemGen004_SodiumAcetate_log2_ratio	ChemGen005_SodiumAcetate_log2_ratio	ChemGen006_SodiumAcetate_log2_ratio	ChemGen003_Benomyl_log2_ratio	ChemGen004_Benomyl_log2_ratio	ChemGen005_Benomyl_log2_ratio	ChemGen004_Acetamide_log2_ratio	ChemGen005_Acetamide_log2_ratio	ChemGen006_Acetamide_log2_ratio	ChemGen004_4OHBenzoicAcid_log2_ratio	ChemGen005_4OHBenzoicAcid_log2_ratio	ChemGen006_4OHBenzoicAcid_log2_ratio	ChemGen004_5HMF_log2_ratio	ChemGen005_5HMF_log2_ratio	ChemGen006_5HMF_log2_ratio	ChemGen004_BenzoicAcid_log2_ratio	ChemGen005_BenzoicAcid_log2_ratio	ChemGen006_BenzoicAcid_log2_ratio	ChemGen003_SinapicAcid_log2_ratio	ChemGen004_SinapicAcid_log2_ratio	ChemGen005_SinapicAcid_log2_ratio	ChemGen006_MMS-BC_log2_ratio	ChemGen006_MMS-BC_log2_ratio.1	ChemGen003_22Dipyridyl_log2_ratio	ChemGen004_22Dipyridyl_log2_ratio	ChemGen005_22Dipyridyl_log2_ratio	ChemGen004_CoumaricAcid_log2_ratio	ChemGen005_CoumaricAcid_log2_ratio	ChemGen006_CoumaricAcid_log2_ratio	ChemGen003_BMIMCl_log2_ratio	ChemGen004_BMIMCl_log2_ratio	ChemGen005_BMIMCl_log2_ratio	ChemGen004_4OHBenzaldehyde_log2_ratio	ChemGen005_4OHBenzaldehyde_log2_ratio	ChemGen006_4OHBenzaldehyde_log2_ratio	ChemGen004_DMSO_log2_ratio	ChemGen005_DMSO_log2_ratio	ChemGen006_DMSO_log2_ratio	ChemGen003_Vanillin_log2_ratio	ChemGen004_Vanillin_log2_ratio	ChemGen005_Vanillin_log2_ratio	ChemGen003_Isobutanol_log2_ratio	ChemGen004_Isobutanol_log2_ratio	ChemGen005_Isobutanol_log2_ratio	ChemGen003_Furfural_log2_ratio	ChemGen004_Furfural_log2_ratio	ChemGen005_Furfural_log2_ratio	ChemGen004_CinnamicAcid_log2_ratio	ChemGen005_CinnamicAcid_log2_ratio	ChemGen006_CinnamicAcid_log2_ratio	ChemGen003_VanillicAcid_log2_ratio	ChemGen004_VanillicAcid_log2_ratio	ChemGen005_VanillicAcid_log2_ratio	ChemGen004_4OHAcetophenone_log2_ratio	ChemGen005_4OHAcetophenone_log2_ratio	ChemGen006_4OHAcetophenone_log2_ratio	ChemGen005_MMS-A_log2_ratio	ChemGen004_Syringaldehyde_log2_ratio	ChemGen005_Syringaldehyde_log2_ratio	ChemGen006_Syringaldehyde_log2_ratio	ChemGen004_Methylglyoxal_log2_ratio	ChemGen005_Methylglyoxal_log2_ratio	ChemGen006_Methylglyoxal_log2_ratio	ChemGen003_AzelaicAcid_log2_ratio	ChemGen004_AzelaicAcid_log2_ratio	ChemGen005_AzelaicAcid_log2_ratio	ChemGen004_CoumaroylAmide_log2_ratio	ChemGen005_CoumaroylAmide_log2_ratio	ChemGen006_CoumaroylAmide_log2_ratio	ChemGen004_FeruloylAmide_log2_ratio	ChemGen005_FeruloylAmide_log2_ratio	ChemGen006_FeruloylAmide_log2_ratio	ChemGen003_SyringicAcid_log2_ratio	ChemGen004_SyringicAcid_log2_ratio	ChemGen005_SyringicAcid_log2_ratio	ChemGen003_MBO_log2_ratio	ChemGen004_MBO_log2_ratio	ChemGen005_MBO_log2_ratio	ChemGen004_Acetovanillone_log2_ratio	ChemGen005_Acetovanillone_log2_ratio	ChemGen006_Acetovanillone_log2_ratio	ChemGen003_EMIMCl_log2_ratio	ChemGen004_EMIMCl_log2_ratio	ChemGen005_EMIMCl_log2_ratio	ChemGen004_FerulicAcid_log2_ratio	ChemGen005_FerulicAcid_log2_ratio	ChemGen006_FerulicAcid_log2_ratio	ChemGen003_AcetoSyringone_log2_ratio	ChemGen004_AcetoSyringone_log2_ratio	ChemGen005_AcetoSyringone_log2_ratio	ChemGen003_NAO_log2_ratio	ChemGen004_NAO_log2_ratio	ChemGen005_NAO_log2_ratio	ChemGen004_26Dimethylpyrazine_log2_ratio	ChemGen005_26Dimethylpyrazine_log2_ratio	ChemGen006_26Dimethylpyrazine_log2_ratio	ChemGen003_GVL_log2_ratio	ChemGen004_GVL_log2_ratio	ChemGen005_GVL_log2_ratio	ChemGen003_CV_log2_ratio	ChemGen004_CV_log2_ratio	ChemGen005_CV_log2_ratio	ChemGen003_EtOH_log2_ratio	ChemGen004_EtOH_log2_ratio	ChemGen005_EtOH_log2_ratio
YAL004W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.310197340040043	0.537480242589352	0.5316030470236479	NA	NA	NA	NA	NA	NA	NA	0.979444883088518	1.1232816395272	0.296959495303833	NA	NA	NA	-0.509801585213775	-0.48640092343946795	-0.5765829294045209	NA	NA	NA	NA	NA	NA	0.8095218775763671	0.638179692030233	0.410286625388043	-0.39320071804216794	-1.1422670458981399	-0.8545297073106191	-0.870335084958667	-0.6833478806865129	-0.15564437216226998	-1.17110249363629	-0.7034607597739639	-0.597517656903694	NA	NA	NA	-0.724331507251091	-1.27943144583135	-1.09899109272132	NA	NA	NA	0.655276546936219	0.714353372698616	0.571624579043209	NA	NA	NA	0.581534631191719	0.110556113325575	1.1520281038833	0.9408966166696291	1.07137309802308	1.31262592265218
YAL005C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.76194397381015	-1.0870644741939102	0.06147425736014799	NA	NA	NA	NA	NA	NA	0.247312264687744	0.36792326756616706	0.738418097114702	NA	NA	NA	NA	0.871815638385004	1.4352344995315802	0.37513083246878104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3582624465247	0.7865260285961451	0.8571902352200159	-0.612251917755109	-0.980749206098469	-1.03795826813143	-0.9579629640697909	-0.205244467130998	-0.736476466277788	-1.33258270869896	-0.36796335164289706	-0.852668760549278	NA	NA	NA	-0.7547735011421659	-1.25759527285855	-0.949043049545255	-0.317023253902059	-0.6141160281531279	-0.652627763515261	0.8927263631757809	0.756251997382325	0.49441016023653606	NA	NA	NA	NA	NA	NA	0.8620134876854759	2.12445980109198	1.03327478554318
YAL008W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.307005010727543	-0.80686405384083	-0.538278321381072	-0.26672577602129804	-0.773876217970106	-0.40793542123444393	NA	NA	NA	NA	NA	NA	-0.5400508073417679	-1.12910028605319	-1.47061660715529	0.234127968547263	0.6067397875891078	0.206075412566197
YAL010C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.465533646062469	NA	-3.7322625120151205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.06392321636781	NA	-3.61003106609276	NA	NA	NA	NA	NA	NA	1.11554630151508	1.7312095713435	2.26301951783113	NA	NA	NA	NA	NA	NA	-3.1002824031639804	-2.06347998052589	-1.5305745771076797	NA	-2.48002096995757	NA	-3.37235991853879	NA	NA	NA	NA	NA
YAL011W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.9717016666281297	-3.2231112685607703	-2.46317574985775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.31595575676834	-2.510483870268	-1.3470034420863302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.90710370975045	-1.47154803536172	-2.45424150294344	NA	NA	-5.42586592579924	NA	NA	NA	NA	NA	NA	-7.78744590312811	-4.49866977406006	NA	NA	NA	NA	NA	NA	NA	-4.459418157523911	-6.10017386952855	-4.2972496422067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL013W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.810003334829472	-2.06793848123444	-1.15365622497552	NA	NA	NA	-0.8496843883913628	-1.37275060485078	-2.16999977306306	-1.39639368005965	-1.32444414949258	-2.85543990054959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.9889997279967672	-0.727668677265134	-1.00709514406238	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.4639275820984599	-0.8141618441208192	-0.8205279965545429	NA	NA	NA	0.717514560662442	1.08821183520986	0.32646075713197703	NA	NA	NA	NA	NA	NA	1.1870630946718101	2.4847371572770696	0.786512664141677	-0.883440531715518	-0.673414373095945	-1.01334072098308	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL014C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7018028691487889	0.6710773238556539	0.044905116856457004	NA	NA	NA	-0.333168449838291	-0.45296407365373903	-0.549283472839132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.8284906878185649	-0.7407489582618231	-0.43589939359508595	-1.01706850564635	-0.234991372663128	-0.798502083566346	NA	NA	NA	-0.359887691825355	-1.15761309246968	-0.619056018879193	NA	NA	NA	0.7484790202288729	0.224428246959441	0.38891260590045296	NA	NA	NA	NA	NA	NA	0.388022866865089	1.25054254566004	0.545570397517777
YAL015C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.353065795031201	-0.6471445740396371	-0.590313797257959	NA	NA	NA	NA	-0.890670329875937	-0.26922197009509896	-0.610611534749218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.34225411818449497	0.6052398622357541	0.330423308334118
YAL017W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.503425144599833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.1755223964411998	-1.24063247849612	-0.05760620088654799	0.5168127765023329	0.545710995282019	0.827345625952577
YAL018C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.3528666663329221	-0.523293807149849	-0.169352891571261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6170496272741701	0.37276716925502396	0.08977309945753001	-0.38600416185992703	-0.292478318479544	-0.40333387558171707	NA	NA	NA	-0.589335042579478	-0.3155701457427931	-0.5625412191044841	NA	NA	NA	-0.088620642901257	-1.15324728463114	-0.648941557221735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.447512552802478	0.22277265117370001	0.6292927078943349
