	ChemGen004_LevulinicAcid_log2_ratio	ChemGen005_LevulinicAcid_log2_ratio	ChemGen006_LevulinicAcid_log2_ratio	ChemGen006_QUADRIS1_log2_ratio	ChemGen006_QUADRIS1_log2_ratio.1	ChemGen006_QUADRIS1_log2_ratio.2	ChemGen003_CaffeicAcid_log2_ratio	ChemGen004_CaffeicAcid_log2_ratio	ChemGen005_CaffeicAcid_log2_ratio	ChemGen003_24Dimethylimidazole_log2_ratio	ChemGen004_24Dimethylimidazole_log2_ratio	ChemGen005_24Dimethylimidazole_log2_ratio	ChemGen004_SodiumAcetate_log2_ratio	ChemGen005_SodiumAcetate_log2_ratio	ChemGen006_SodiumAcetate_log2_ratio	ChemGen003_Benomyl_log2_ratio	ChemGen004_Benomyl_log2_ratio	ChemGen005_Benomyl_log2_ratio	ChemGen004_Acetamide_log2_ratio	ChemGen005_Acetamide_log2_ratio	ChemGen006_Acetamide_log2_ratio	ChemGen004_4OHBenzoicAcid_log2_ratio	ChemGen005_4OHBenzoicAcid_log2_ratio	ChemGen006_4OHBenzoicAcid_log2_ratio	ChemGen004_5HMF_log2_ratio	ChemGen005_5HMF_log2_ratio	ChemGen006_5HMF_log2_ratio	ChemGen004_BenzoicAcid_log2_ratio	ChemGen005_BenzoicAcid_log2_ratio	ChemGen006_BenzoicAcid_log2_ratio	ChemGen003_SinapicAcid_log2_ratio	ChemGen004_SinapicAcid_log2_ratio	ChemGen005_SinapicAcid_log2_ratio	ChemGen006_MMS-BC_log2_ratio	ChemGen006_MMS-BC_log2_ratio.1	ChemGen003_22Dipyridyl_log2_ratio	ChemGen004_22Dipyridyl_log2_ratio	ChemGen005_22Dipyridyl_log2_ratio	ChemGen004_CoumaricAcid_log2_ratio	ChemGen005_CoumaricAcid_log2_ratio	ChemGen006_CoumaricAcid_log2_ratio	ChemGen003_BMIMCl_log2_ratio	ChemGen004_BMIMCl_log2_ratio	ChemGen005_BMIMCl_log2_ratio	ChemGen004_4OHBenzaldehyde_log2_ratio	ChemGen005_4OHBenzaldehyde_log2_ratio	ChemGen006_4OHBenzaldehyde_log2_ratio	ChemGen004_DMSO_log2_ratio	ChemGen005_DMSO_log2_ratio	ChemGen006_DMSO_log2_ratio	ChemGen003_Vanillin_log2_ratio	ChemGen004_Vanillin_log2_ratio	ChemGen005_Vanillin_log2_ratio	ChemGen003_Isobutanol_log2_ratio	ChemGen004_Isobutanol_log2_ratio	ChemGen005_Isobutanol_log2_ratio	ChemGen003_Furfural_log2_ratio	ChemGen004_Furfural_log2_ratio	ChemGen005_Furfural_log2_ratio	ChemGen004_CinnamicAcid_log2_ratio	ChemGen005_CinnamicAcid_log2_ratio	ChemGen006_CinnamicAcid_log2_ratio	ChemGen003_VanillicAcid_log2_ratio	ChemGen004_VanillicAcid_log2_ratio	ChemGen005_VanillicAcid_log2_ratio	ChemGen004_4OHAcetophenone_log2_ratio	ChemGen005_4OHAcetophenone_log2_ratio	ChemGen006_4OHAcetophenone_log2_ratio	ChemGen005_MMS-A_log2_ratio	ChemGen004_Syringaldehyde_log2_ratio	ChemGen005_Syringaldehyde_log2_ratio	ChemGen006_Syringaldehyde_log2_ratio	ChemGen004_Methylglyoxal_log2_ratio	ChemGen005_Methylglyoxal_log2_ratio	ChemGen006_Methylglyoxal_log2_ratio	ChemGen003_AzelaicAcid_log2_ratio	ChemGen004_AzelaicAcid_log2_ratio	ChemGen005_AzelaicAcid_log2_ratio	ChemGen004_CoumaroylAmide_log2_ratio	ChemGen005_CoumaroylAmide_log2_ratio	ChemGen006_CoumaroylAmide_log2_ratio	ChemGen004_FeruloylAmide_log2_ratio	ChemGen005_FeruloylAmide_log2_ratio	ChemGen006_FeruloylAmide_log2_ratio	ChemGen003_SyringicAcid_log2_ratio	ChemGen004_SyringicAcid_log2_ratio	ChemGen005_SyringicAcid_log2_ratio	ChemGen003_MBO_log2_ratio	ChemGen004_MBO_log2_ratio	ChemGen005_MBO_log2_ratio	ChemGen004_Acetovanillone_log2_ratio	ChemGen005_Acetovanillone_log2_ratio	ChemGen006_Acetovanillone_log2_ratio	ChemGen003_EMIMCl_log2_ratio	ChemGen004_EMIMCl_log2_ratio	ChemGen005_EMIMCl_log2_ratio	ChemGen004_FerulicAcid_log2_ratio	ChemGen005_FerulicAcid_log2_ratio	ChemGen006_FerulicAcid_log2_ratio	ChemGen003_AcetoSyringone_log2_ratio	ChemGen004_AcetoSyringone_log2_ratio	ChemGen005_AcetoSyringone_log2_ratio	ChemGen003_NAO_log2_ratio	ChemGen004_NAO_log2_ratio	ChemGen005_NAO_log2_ratio	ChemGen004_26Dimethylpyrazine_log2_ratio	ChemGen005_26Dimethylpyrazine_log2_ratio	ChemGen006_26Dimethylpyrazine_log2_ratio	ChemGen003_GVL_log2_ratio	ChemGen004_GVL_log2_ratio	ChemGen005_GVL_log2_ratio	ChemGen003_CV_log2_ratio	ChemGen004_CV_log2_ratio	ChemGen005_CV_log2_ratio	ChemGen003_EtOH_log2_ratio	ChemGen004_EtOH_log2_ratio	ChemGen005_EtOH_log2_ratio
YAL004W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.509801585213775	-0.486400923439468	-0.5765829294045209	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.393200718042168	-1.14226704589814	-0.8545297073106191	-0.870335084958667	-0.6833478806865129	-0.15564437216226998	-1.17110249363629	-0.7034607597739639	-0.597517656903694	NA	NA	NA	-0.724331507251091	-1.27943144583135	-1.09899109272132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL005C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.76194397381015	-1.0870644741939102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.612251917755109	-0.980749206098469	-1.03795826813143	-0.9579629640697908	-0.205244467130998	-0.736476466277788	-1.33258270869896	-0.36796335164289706	-0.852668760549278	NA	NA	NA	-0.7547735011421659	-1.25759527285855	-0.949043049545255	-0.317023253902059	-0.6141160281531279	-0.652627763515261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL008W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.307005010727543	-0.80686405384083	-0.538278321381072	-0.26672577602129804	-0.773876217970106	-0.4079354212344439	NA	NA	NA	NA	NA	NA	-0.5400508073417679	-1.12910028605319	-1.47061660715529	NA	NA	NA
YAL010C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.465533646062468	NA	-3.732262512015121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.06392321636781	NA	-3.61003106609276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.1002824031639804	-2.06347998052589	-1.5305745771076795	NA	-2.48002096995757	NA	-3.37235991853879	NA	NA	NA	NA	NA
YAL011W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.9717016666281295	-3.2231112685607703	-2.46317574985775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.31595575676834	-2.510483870268	-1.3470034420863302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.90710370975045	-1.47154803536172	-2.45424150294344	NA	NA	-5.42586592579924	NA	NA	NA	NA	NA	NA	-7.78744590312811	-4.49866977406006	NA	NA	NA	NA	NA	NA	NA	-4.459418157523911	-6.10017386952855	-4.2972496422067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL013W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.810003334829472	-2.06793848123444	-1.15365622497552	NA	NA	NA	-0.8496843883913628	-1.37275060485078	-2.16999977306306	-1.39639368005965	-1.32444414949258	-2.85543990054959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.9889997279967672	-0.727668677265134	-1.00709514406238	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.46392758209846	-0.8141618441208192	-0.8205279965545429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.883440531715518	-0.673414373095945	-1.01334072098308	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL014C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.333168449838291	-0.452964073653739	-0.549283472839132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.8284906878185649	-0.7407489582618231	-0.435899393595086	-1.01706850564635	-0.234991372663128	-0.798502083566346	NA	NA	NA	-0.359887691825355	-1.15761309246968	-0.619056018879193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL015C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.353065795031201	-0.6471445740396371	-0.590313797257959	NA	NA	NA	NA	-0.890670329875937	-0.26922197009509896	-0.610611534749218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL017W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.1755223964411998	-1.24063247849612	-0.057606200886547984	NA	NA	NA
YAL018C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.3528666663329221	-0.523293807149849	-0.169352891571261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.38600416185992703	-0.292478318479544	-0.40333387558171707	NA	NA	NA	-0.589335042579478	-0.3155701457427931	-0.5625412191044841	NA	NA	NA	-0.088620642901257	-1.15324728463114	-0.648941557221735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
