"gene"	"LevulinicAcid"
"300"	"YBR278W"	-0.109639726956718
"301"	"YBR280C"	0.457192859624884
"302"	"YBR281C"	-0.0493430344458738
"303"	"YBR283C"	-0.314089088615249
"304"	"YBR284W"	0.176379725243019
"305"	"YBR285W"	0.0724239545293097
"306"	"YBR286W"	0.176097533328991
"307"	"YBR287W"	-0.146675611543297
"308"	"YBR289W"	-0.676441116655985
"309"	"YBR290W"	-0.231620961537108
"310"	"YBR291C"	0.446811291287239
"311"	"YBR292C"	0.00610372104509063
"312"	"YBR293W"	-0.382893909176633
"313"	"YBR294W"	0.0812184601433983
"314"	"YBR295W"	0.0323108135601817
"315"	"YBR296C"	-0.0609373445442896
"316"	"YBR297W"	-0.435951493206534
"317"	"YBR298C"	-0.00111668013266752
"318"	"YBR301W"	0.000163466850025872
"319"	"YCL001W-A"	0.89242182332242
"320"	"YCL001W"	-0.0655619009317466
"321"	"YCL006C"	-0.152108487948524
"322"	"YCL010C"	-0.514417250667997
"323"	"YCL011C"	-0.369663459727283
"324"	"YCL012W"	-0.201350979282877
"325"	"YCL013W"	-0.060652508849001
"326"	"YCL014W"	-0.435946203707512
"327"	"YCL016C"	-0.96280306452513
"328"	"YCL022C"	-0.0736683923644252
"329"	"YCL023C"	-0.229744683848823
"330"	"YCL024W"	-0.288227740179564
"331"	"YCL025C"	-0.181535671406162
"332"	"YCL026C-A"	0.0583348794056564
"333"	"YCL026C"	0.106533498114095
"334"	"YCL027W"	-0.511483798950787
"335"	"YCL028W"	-0.207561911263231
"336"	"YCL029C"	-0.148649401882322
"337"	"YCL034W"	1.77104401919513
"338"	"YCL035C"	-0.197701386741996
"339"	"YCL038C"	-0.101232451328663
"340"	"YCL039W"	-0.387203467264932
"341"	"YCL042W"	0.963132856811633
"342"	"YCL046W"	-0.205227694968344
"343"	"YCL048W"	-0.0529836868692581
"344"	"YCL049C"	-0.279550581345435
"345"	"YCL050C"	-0.186090782119907
"346"	"YCL051W"	-0.139253116427652
"347"	"YCL055W"	-0.12642709020762
"348"	"YCL057W"	0.101778372070799
"349"	"YCL061C"	-0.338207380290661
"350"	"YCL062W"	-0.305703767216508
"351"	"YCL063W"	-0.0144900582888753
"352"	"YCL064C"	0.227073565516882
"353"	"YCL069W"	-0.101289048936441
"354"	"YCL074W"	-0.043873231120007
"355"	"YCL075W"	-0.000903316642406172
"356"	"YCL076W"	-0.110619630466646
"357"	"YCR001W"	-0.556083578784793
"358"	"YCR005C"	0.183389054674051
"359"	"YCR006C"	0.394404751180665
"360"	"YCR007C"	-0.356269465864681
"361"	"YCR008W"	-0.303731516299965
"362"	"YCR009C"	-0.325689363648528
"363"	"YCR010C"	-0.38392582510105
"364"	"YCR011C"	0.0736586958229641
"365"	"YCR014C"	0.0750467744075873
"366"	"YCR015C"	-0.109744102925793
"367"	"YCR016W"	0.0950133843165744
"368"	"YCR017C"	0.125051893516093
"369"	"YCR019W"	-0.120299144529567
"370"	"YCR020C-A"	0.998605999010734
"371"	"YCR020C"	0.0966919481867231
"372"	"YCR021C"	-0.140449288458568
"373"	"YCR022C"	0.0806871934464352
"374"	"YCR023C"	0.0498607135008143
"375"	"YCR024C-A"	-0.101408382938081
"376"	"YCR025C"	0.106675382744267
"377"	"YCR027C"	-0.0135717162728496
"378"	"YCR028C-A"	0.213942439342982
"379"	"YCR030C"	-0.0675393719668244
"380"	"YCR031C"	-0.0144254424379224
"381"	"YCR032W"	-0.00788575553966175
"382"	"YCR033W"	-0.265268958303781
"383"	"YCR034W"	-0.986579938082852
"384"	"YCR036W"	-0.113301044755415
"385"	"YCR037C"	-0.0475928433185315
"386"	"YCR043C"	0.0790946594792468
"387"	"YCR044C"	-0.0415203105219439
"388"	"YCR045C"	-0.11863985241546
"389"	"YCR048W"	0.0646489612680284
"390"	"YCR049C"	0.196031597906992
"391"	"YCR050C"	-0.0147753131287807
"392"	"YCR051W"	-0.000864416088576276
"393"	"YCR053W"	-0.288275731379678
"394"	"YCR059C"	-0.0521489460752046
"395"	"YCR060W"	0.23192921046515
"396"	"YCR061W"	0.11125436296519
"397"	"YCR062W"	-0.895299527620163
"398"	"YCR065W"	-0.315354148665398
"399"	"YCR068W"	-0.194722942235061
"400"	"YCR069W"	-0.262247633893106
"401"	"YCR071C"	0.243674778380301
"402"	"YCR073C"	-0.16036680173162
"403"	"YCR073W-A"	-0.338719933381946
"404"	"YCR075C"	-0.0848511181642644
"405"	"YCR076C"	-0.261811790982693
"406"	"YCR077C"	-1.11960986183827
"407"	"YCR079W"	-0.834308449785541
"408"	"YCR081W"	-0.255572456161132
"409"	"YCR082W"	-0.492225997177701
"410"	"YCR085W"	-0.0169276353729114
"411"	"YCR086W"	-0.971342047976574
"412"	"YCR087C-A"	-0.102881359991049
"413"	"YCR087W"	0.0248986415885842
"414"	"YCR088W"	-0.156067412746736
"415"	"YCR090C"	-0.0644759755206849
"416"	"YCR092C"	-0.310584342387918
"417"	"YCR095C"	-0.254492547642792
"418"	"YCR098C"	-0.0851666833079009
"419"	"YCR099C"	-0.0248544689022878
"420"	"YCR100C"	0.0320699193394904
"421"	"YCR101C"	-0.12196604646294
"422"	"YCR102C"	-0.139675208998408
"423"	"YCR102W-A"	0.0769400931279929
"424"	"YCR105W"	-0.0309811482338737
"425"	"YCR106W"	0.222941971750077
"426"	"YCR107W"	-0.0176257142022934
"427"	"YDL001W"	0.714663970440979
"428"	"YDL002C"	0.292871775994557
"429"	"YDL006W"	0.146648633629547
"430"	"YDL010W"	0.180990392165216
"431"	"YDL011C"	-0.0692657041497393
"432"	"YDL012C"	0.274564918676706
"433"	"YDL013W"	-0.0551835161208317
"434"	"YDL018C"	-0.209017118921763
"435"	"YDL019C"	-0.156801272503272
"436"	"YDL020C"	-0.0356407851281059
"437"	"YDL024C"	0.249121216074827
"438"	"YDL025C"	-0.0553227128510737
"439"	"YDL026W"	-0.0912948096971028
"440"	"YDL035C"	0.420804050907998
"441"	"YDL036C"	-0.178850858083238
"442"	"YDL037C"	0.0387191626803663
"443"	"YDL038C"	-0.00732346657497327
"444"	"YDL039C"	0.0549386725072151
"445"	"YDL048C"	-0.208138256104083
"446"	"YDL050C"	-0.0804159051137405
"447"	"YDL051W"	0.161423799214046
"448"	"YDL052C"	0.18666634541193
"449"	"YDL054C"	0.0883009068436408
"450"	"YDL056W"	0.113466919660212
"451"	"YDL059C"	0.120672731260481
"452"	"YDL063C"	-0.0572626985437789
"453"	"YDL066W"	-0.0918120679766979
"454"	"YDL070W"	0.132688378978011
"455"	"YDL071C"	0.209365738002982
"456"	"YDL074C"	-0.595320499446578
"457"	"YDL076C"	-0.256409217918811
"458"	"YDL077C"	-0.394710704945549
"459"	"YDL078C"	-0.151383253736831
"460"	"YDL079C"	-0.0112141141344449
"461"	"YDL080C"	-0.413395810844037
"462"	"YDL081C"	0.405991332317961
"463"	"YDL082W"	0.174533834202149
"464"	"YDL083C"	-0.0278746858397422
"465"	"YDL085W"	0.364274218703858
"466"	"YDL086W"	0.22301119058957
"467"	"YDL088C"	0.232129495796238
"468"	"YDL089W"	0.222440003744831
"469"	"YDL091C"	-0.130394686756044
"470"	"YDL093W"	-0.0376133897102278
"471"	"YDL094C"	0.300089063167328
"472"	"YDL096C"	-1.70921569606282
"473"	"YDL100C"	1.88350120182385
"474"	"YDL106C"	-0.0352545020362418
"475"	"YDL109C"	-0.0667534903999192
"476"	"YDL110C"	0.0696290207995661
"477"	"YDL112W"	-0.771165599051884
"478"	"YDL114W"	-0.455564728986739
"479"	"YDL117W"	-1.20754929699983
"480"	"YDL119C"	-0.283354031355368
"481"	"YDL121C"	0.312781649929514
"482"	"YDL122W"	0.0205729269970067
"483"	"YDL123W"	-0.0420143289446022
"484"	"YDL127W"	-1.42831324149469
"485"	"YDL128W"	2.99827175345892
"486"	"YDL130W-A"	-0.183401324566507
"487"	"YDL130W"	-0.789795977476507
"488"	"YDL133C-A"	0.0758090763987327
"489"	"YDL134C"	0.0542219468046033
"490"	"YDL136W"	0.199625956905653
"491"	"YDL137W"	0.650913527880985
"492"	"YDL142C"	0.0145307367497543
"493"	"YDL144C"	0.124644702094478
"494"	"YDL149W"	0.0945704593744029
"495"	"YDL154W"	0.193165440862323
"496"	"YDL155W"	0.0933680416998076
"497"	"YDL156W"	0.115686539301512
"498"	"YDL161W"	-0.190290746566975
"499"	"YDL162C"	-0.365474408223174
"500"	"YDL168W"	-0.107492137134222
"501"	"YDL169C"	0.0320479952689229
"502"	"YDL170W"	-0.391191217324073
"503"	"YDL171C"	-0.202205929348239
"504"	"YDL172C"	0.036843775662305
"505"	"YDL173W"	0.0422004930323996
"506"	"YDL174C"	0.154294180874641
"507"	"YDL177C"	0.0872572390190241
"508"	"YDL178W"	0.00771731993467927
"509"	"YDL180W"	0.152932720830183
"510"	"YDL182W"	-0.0057129386612838
"511"	"YDL184C"	0.134404989027317
"512"	"YDL186W"	-0.195000003306238
"513"	"YDL187C"	0.169680612770086
"514"	"YDL188C"	0.164785317933971
"515"	"YDL189W"	-0.366905954035741
"516"	"YDL190C"	-0.24605738746257
"517"	"YDL191W"	-0.0787561870671456
"518"	"YDL194W"	1.63158362270145
"519"	"YDL197C"	2.59225030338434
"520"	"YDL199C"	0.0811481994284632
"521"	"YDL200C"	0.0907264671439134
"522"	"YDL201W"	0.140756352075683
"523"	"YDL203C"	0.117637820273791
"524"	"YDL204W"	-0.114632120468874
"525"	"YDL206W"	2.60802115686593
"526"	"YDL210W"	0.100187492978112
"527"	"YDL211C"	-0.0188820508424287
"528"	"YDL215C"	-0.325278860169381
"529"	"YDL218W"	-0.153076183084069
"530"	"YDL219W"	-0.71484157646774
"531"	"YDL223C"	-0.214974003166073
"532"	"YDL224C"	0.220344315477602
"533"	"YDL226C"	0.0856957623284038
"534"	"YDL227C"	0.1481671811077
"535"	"YDL229W"	0.0494843945380588
"536"	"YDL230W"	0.0126131041557548
"537"	"YDL231C"	-0.0320753504060278
"538"	"YDL233W"	-0.124498705693439
"539"	"YDL236W"	-0.0898366001804163
"540"	"YDL237W"	-1.62833182260795
"541"	"YDL239C"	0.102263296619236
"542"	"YDL240W"	0.00992097384297051
"543"	"YDL241W"	0.0308555671935716
"544"	"YDL242W"	0.219643590123912
"545"	"YDL243C"	0.138490459426506
"546"	"YDR001C"	0.105233555783687
"547"	"YDR004W"	0.31964416345795
"548"	"YDR005C"	0.213666919164899
"549"	"YDR006C"	-0.106891322008464
"550"	"YDR007W"	0.35437358791075
"551"	"YDR009W"	0.00986134336720428
"552"	"YDR010C"	0.160812765668226
"553"	"YDR011W"	-0.307666565308855
"554"	"YDR014W"	0.177753997917462
"555"	"YDR015C"	-0.0144372365933078
"556"	"YDR018C"	0.0352400547006495
"557"	"YDR019C"	0.343246618787396
"558"	"YDR020C"	-0.233004988282827
"559"	"YDR022C"	0.0738403954425176
"560"	"YDR024W"	0.202090174752473
"561"	"YDR025W"	-0.505315594561173
"562"	"YDR026C"	0.0128469310137854
"563"	"YDR030C"	0.00689261906213284
"564"	"YDR033W"	-0.307123206315423
"565"	"YDR035W"	-0.112644919107149
"566"	"YDR036C"	0.178331897188458
"567"	"YDR046C"	-0.0445203780145628
"568"	"YDR048C"	-0.141995469150467
"569"	"YDR049W"	0.0141337369505428
"570"	"YDR051C"	-0.164065914964893
"571"	"YDR055W"	-0.64789477370345
"572"	"YDR057W"	-0.298334882106841
"573"	"YDR058C"	-0.189489612806199
"574"	"YDR061W"	-0.152737240046309
"575"	"YDR063W"	-0.96280306452513
"576"	"YDR066C"	-0.0912531438393879
"577"	"YDR067C"	-0.0751193484936338
"578"	"YDR068W"	-0.171383934471845
"579"	"YDR070C"	-0.599801063053941
"580"	"YDR071C"	-0.216848340118952
"581"	"YDR072C"	-0.187874980715214
"582"	"YDR073W"	-0.265302749122575
"583"	"YDR074W"	-0.790774048903887
"584"	"YDR076W"	0.410259926830366
"585"	"YDR080W"	0.00365764518361173
"586"	"YDR083W"	-0.3317376914247
"587"	"YDR085C"	-0.212367620142045
"588"	"YDR089W"	-0.127905751948604
"589"	"YDR090C"	-0.250310459374143
"590"	"YDR092W"	2.70948995454884
"591"	"YDR093W"	-0.309623471061945
"592"	"YDR094W"	-0.91084357476717
"593"	"YDR095C"	-0.0726350024150769
"594"	"YDR097C"	-0.13526121833611
"595"	"YDR098C"	0.127996494529759
"596"	"YDR099W"	-0.0290880924835981
"597"	"YDR100W"	-0.293756371547358
"598"	"YDR101C"	-0.242922115670837
"599"	"YDR102C"	0.00581458879290235
"600"	"YDR104C"	0.026287016750249
"601"	"YDR108W"	-0.585311690953036
"602"	"YDR109C"	0.0167524164958825
"603"	"YDR110W"	0.102658235466484
"604"	"YDR111C"	-0.300594154491338
"605"	"YDR112W"	-0.0548228092294408
"606"	"YDR116C"	0.212480268600024
"607"	"YDR117C"	-0.509733328051809
"608"	"YDR119W"	-0.0347735366098809
"609"	"YDR120C"	0.270432443069528
"610"	"YDR121W"	-0.207969002085519
"611"	"YDR122W"	-0.0707171183301393
"612"	"YDR123C"	-0.360265907800338
"613"	"YDR124W"	-0.238050009323331
"614"	"YDR125C"	1.26520660482903
"615"	"YDR126W"	-0.228815520780309
"616"	"YDR127W"	-1.25681543865439
"617"	"YDR128W"	-0.364016238885296
"618"	"YDR130C"	-0.0864355449058357
"619"	"YDR131C"	0.158930655714234
"620"	"YDR132C"	-0.102613122543866
"621"	"YDR133C"	0.00202097963162536
"622"	"YDR134C"	-0.0998202305462293
"623"	"YDR135C"	0.167816211684957
"624"	"YDR139C"	-0.551473839738176
"625"	"YDR142C"	-0.31015965079118
"626"	"YDR143C"	-0.140140730518018
"627"	"YDR144C"	-0.0631499237951921
"628"	"YDR146C"	-0.215014379842774
"629"	"YDR147W"	0.0792674627230514
"630"	"YDR148C"	-0.271353508516399
"631"	"YDR149C"	0.131118274523869
"632"	"YDR150W"	-0.0239270011770227
"633"	"YDR153C"	0.0615675966223709
"634"	"YDR154C"	0.099977941835392
"635"	"YDR155C"	0.220032780629479
"636"	"YDR156W"	-0.0342610464132624
"637"	"YDR157W"	-0.0130540990605472
"638"	"YDR158W"	-0.28431879744517
"639"	"YDR159W"	-0.15094962300017
"640"	"YDR161W"	-0.0548951529687453
"641"	"YDR162C"	-0.274965215667763
"642"	"YDR163W"	-0.435159072973663
"643"	"YDR165W"	0.51690794283408
"644"	"YDR169C"	-0.0651448132774631
"645"	"YDR171W"	-0.192823371093166
"646"	"YDR174W"	-0.281414043114301
"647"	"YDR181C"	-0.247223715250193
"648"	"YDR184C"	-0.0395303810910197
"649"	"YDR185C"	-0.253773912964263
"650"	"YDR186C"	0.199315724202751
"651"	"YDR191W"	-0.0620162193370112
"652"	"YDR192C"	-0.272939176527373
"653"	"YDR193W"	1.48023953003359
"654"	"YDR198C"	-0.276050122409526
"655"	"YDR202C"	0.589684232098052
"656"	"YDR203W"	0.0135156666118624
"657"	"YDR205W"	-0.134994338744854
"658"	"YDR206W"	1.425310473058
"659"	"YDR207C"	0.225731977933525
"660"	"YDR209C"	-0.356727947380484
"661"	"YDR210W"	0.107821780497991
"662"	"YDR213W"	0.429152016550869
"663"	"YDR214W"	-0.488186232653569
"664"	"YDR215C"	-0.2232502483569
"665"	"YDR216W"	-0.972212599400955
"666"	"YDR217C"	0.494559639931839
