"gene"	"AzelaicAcid"
"1"	"YAL004W"	-0.504281067969838
"2"	"YAL005C"	-0.249132478875682
"3"	"YAL008W"	0.0585301249803258
"4"	"YAL010C"	-0.978442973006916
"5"	"YAL011W"	-0.487368045815268
"6"	"YAL013W"	-0.891983615827709
"7"	"YAL014C"	-0.426040805653399
"8"	"YAL015C"	-0.290914029583745
"9"	"YAL017W"	-0.212571818187469
"10"	"YAL018C"	-0.0460620301342268
"11"	"YAL019W"	0.00478096491661261
"12"	"YAL020C"	0.167723714508153
"13"	"YAL022C"	-0.0352280638260343
"14"	"YAL023C"	-1.49541881938598
"15"	"YAL024C"	-0.36484737921231
"16"	"YAL026C"	-0.78786729160396
"17"	"YAL027W"	-0.279036457810244
"18"	"YAL028W"	-0.261824176855083
"19"	"YAL029C"	0.11420296543442
"20"	"YAL030W"	0.163779347007602
"21"	"YAL031C"	0.179952414594588
"22"	"YAL034C"	-0.0447822670196344
"23"	"YAL036C"	0.103576338119706
"24"	"YAL037W"	-0.0653070667937646
"25"	"YAL040C"	0.881100077288338
"26"	"YAL042W"	-0.305161370793339
"27"	"YAL043C-A"	-0.211602550211682
"28"	"YAL045C"	-0.0651440852803768
"29"	"YAL046C"	0.0959215880681085
"30"	"YAL048C"	-0.146276275846025
"31"	"YAL049C"	0.113794597522538
"32"	"YAL051W"	-0.62326972001792
"33"	"YAL053W"	0.0460412058283643
"34"	"YAL054C"	-0.787852218649608
"35"	"YAL055W"	0.163948348580967
"36"	"YAL056W"	-0.0279460145227717
"37"	"YAL058C-A"	-0.225194607936714
"38"	"YAL059W"	0.251941980108335
"39"	"YAL060W"	0.036911502524386
"40"	"YAL061W"	-0.128248581692068
"41"	"YAL062W"	-0.17973694811
"42"	"YAL064C-A"	0.212850843504304
"43"	"YAL065C"	-0.225349791070437
"44"	"YAL066W"	0.0581701418506505
"45"	"YAL067C"	-0.067429299008968
"46"	"YAL068C"	0.312939820696927
"47"	"YAR002C-A"	0.168594172051212
"48"	"YAR002W"	0.96479989827075
"49"	"YAR003W"	-0.18794899519776
"50"	"YAR014C"	0.529426492349594
"51"	"YAR015W"	-0.146406272313202
"52"	"YAR020C"	0.31936869871852
"53"	"YAR023C"	0.269074456474501
"54"	"YAR027W"	-0.0228202373369663
"55"	"YAR028W"	-0.493032206169115
"56"	"YAR029W"	-0.388395971086368
"57"	"YAR030C"	0.314842350908756
"58"	"YAR031W"	-0.171129362848667
"59"	"YAR035W"	-0.374438560745893
"60"	"YAR037W"	0.135520919669853
"61"	"YAR040C"	-0.232222034079794
"62"	"YAR043C"	-0.336581358848654
"63"	"YAR044W"	0.0622515319961728
"64"	"YAR047C"	-0.21476007463921
"65"	"YBL003C"	-0.0696819236020883
"66"	"YBL005W"	0.24955348204141
"67"	"YBL007C"	-1.01097631446474
"68"	"YBL009W"	-0.684835495406909
"69"	"YBL010C"	0.307273859869134
"70"	"YBL015W"	-0.388641546989843
"71"	"YBL016W"	-2.05261022926821
"72"	"YBL017C"	2.14420250796883
"73"	"YBL019W"	-0.0937418673656703
"74"	"YBL021C"	0.101246601820476
"75"	"YBL024W"	0.538098016198873
"76"	"YBL027W"	-0.207250363081491
"77"	"YBL028C"	0.444167889200888
"78"	"YBL029W"	-0.0532592344463939
"79"	"YBL031W"	0.211483026831653
"80"	"YBL032W"	0.183107898474003
"81"	"YBL036C"	-0.109051035290458
"82"	"YBL037W"	0.156843498696191
"83"	"YBL039C"	0.437234751420349
"84"	"YBL042C"	-0.0959581473580197
"85"	"YBL043W"	-0.099348302375562
"86"	"YBL046W"	-0.704271414182754
"87"	"YBL048W"	0.141895915686208
"88"	"YBL049W"	0.2090896893039
"89"	"YBL051C"	0.144311185727666
"90"	"YBL052C"	-0.0650454339363996
"91"	"YBL053W"	0.0287159892974551
"92"	"YBL054W"	-0.275531919579678
"93"	"YBL055C"	-0.170726525345423
"94"	"YBL056W"	-0.114386626119817
"95"	"YBL057C"	0.0464934685345213
"96"	"YBL059W"	-0.124432125649218
"97"	"YBL060W"	0.0852627770836373
"98"	"YBL061C"	0.455928444617794
"99"	"YBL062W"	0.18648430061445
"100"	"YBL063W"	0.023509787713067
"101"	"YBL064C"	-0.0973738634578423
"102"	"YBL065W"	-0.165140312482409
"103"	"YBL066C"	-0.311667729092904
"104"	"YBL067C"	-0.0141385291271103
"105"	"YBL068W"	0.0809910782458475
"106"	"YBL069W"	-0.178400042301086
"107"	"YBL070C"	-0.183545666281483
"108"	"YBL071C"	0.319254964657782
"109"	"YBL072C"	0.606444260492155
"110"	"YBL075C"	-0.18149377095008
"111"	"YBL078C"	-1.52913413466626
"112"	"YBL079W"	-0.580153591330009
"113"	"YBL081W"	0.426446586099434
"114"	"YBL082C"	-0.827835583346107
"115"	"YBL083C"	-0.241537970170304
"116"	"YBL085W"	0.0748052455205414
"117"	"YBL086C"	-0.243649399678816
"118"	"YBL087C"	0.277820534582069
"119"	"YBL088C"	0.0840449592958236
"120"	"YBL089W"	-0.321890298200878
"121"	"YBL091C-A"	-0.370793432030542
"122"	"YBL091C"	-0.308522866855178
"123"	"YBL094C"	0.262261459884985
"124"	"YBL095W"	0.14557012865902
"125"	"YBL096C"	0.0699436081427907
"126"	"YBL098W"	-0.114894770391617
"127"	"YBL101C"	0.255752100465263
"128"	"YBL102W"	-0.230960223045189
"129"	"YBL103C"	-0.328957161357857
"130"	"YBL104C"	0.0825424930896258
"131"	"YBL106C"	-0.118955218023963
"132"	"YBL107C"	0.0509314533117197
"133"	"YBR001C"	-0.0168532425458932
"134"	"YBR005W"	0.808371567590636
"135"	"YBR006W"	-0.421406994229936
"136"	"YBR007C"	0.548682644715753
"137"	"YBR008C"	0.166122787822824
"138"	"YBR009C"	0.243002612993694
"139"	"YBR010W"	0.110334012434189
"140"	"YBR012C"	-0.105151576746602
"141"	"YBR013C"	-0.0274665897824824
"142"	"YBR014C"	-0.0488002265012736
"143"	"YBR015C"	0.296719957562257
"144"	"YBR016W"	0.947780918251576
"145"	"YBR018C"	0.0680480592893041
"146"	"YBR022W"	0.221872441212732
"147"	"YBR024W"	0.372118087521844
"148"	"YBR025C"	0.232617989108725
"149"	"YBR026C"	1.61338296903009
"150"	"YBR027C"	0.176169733596379
"151"	"YBR028C"	0.606734893523157
"152"	"YBR030W"	-0.240764876755922
"153"	"YBR031W"	0.455701421252964
"154"	"YBR032W"	0.483114501808541
"155"	"YBR033W"	-0.142925967474941
"156"	"YBR034C"	-0.037659541769493
"157"	"YBR036C"	-0.278019244865557
"158"	"YBR040W"	0.210865732120664
"159"	"YBR041W"	-0.479458757396023
"160"	"YBR042C"	0.881004836386782
"161"	"YBR043C"	0.161438328093092
"162"	"YBR044C"	0.473159668985367
"163"	"YBR045C"	0.142208406451742
"164"	"YBR047W"	-0.12931983128369
"165"	"YBR048W"	0.102165794162651
"166"	"YBR052C"	0.208468092651238
"167"	"YBR053C"	0.223352102271392
"168"	"YBR054W"	0.321882597903436
"169"	"YBR056W"	0.407363371798078
"170"	"YBR057C"	0.45340408995123
"171"	"YBR058C"	0.581004684156667
"172"	"YBR059C"	-0.290610920607504
"173"	"YBR061C"	0.441476249686156
"174"	"YBR062C"	0.29735966824812
"175"	"YBR063C"	-0.000516622378115947
"176"	"YBR064W"	0.0689349274435469
"177"	"YBR065C"	0.609252956968739
"178"	"YBR068C"	-0.0427137610991804
"179"	"YBR069C"	0.743245411432477
"180"	"YBR071W"	0.0607022061035758
"181"	"YBR072W"	0.157853866688336
"182"	"YBR073W"	0.00255831554190333
"183"	"YBR074W"	-0.045698020484378
"184"	"YBR075W"	0.220694735393096
"185"	"YBR076W"	0.197447308034262
"186"	"YBR077C"	-0.142425224808125
"187"	"YBR078W"	-0.052846145788073
"188"	"YBR082C"	0.85820361882106
"189"	"YBR083W"	0.317467181621181
"190"	"YBR084C-A"	0.475371141844656
"191"	"YBR084W"	0.0816479084537284
"192"	"YBR085W"	-0.16246078012951
"193"	"YBR086C"	-0.802474603136865
"194"	"YBR090C-A"	-0.0877781732157543
"195"	"YBR090C"	-0.444145389362106
"196"	"YBR092C"	-0.235317733491398
"197"	"YBR095C"	0.090631436531971
"198"	"YBR098W"	-0.168297724803502
"199"	"YBR099C"	0.305501099420428
"200"	"YBR100W"	-0.0925620860644568
"201"	"YBR104W"	0.631418505659364
"202"	"YBR105C"	0.365836101574609
"203"	"YBR106W"	1.77926994515465
"204"	"YBR107C"	-0.139872629708574
"205"	"YBR108W"	1.42897457536291
"206"	"YBR111C"	0.190147784952448
"207"	"YBR113W"	0.774812343752757
"208"	"YBR114W"	0.296793425701241
"209"	"YBR115C"	0.949988591760089
"210"	"YBR116C"	0.0756954953261705
"211"	"YBR118W"	0.528979392927175
"212"	"YBR119W"	0.417554066477274
