"gene"	"SyringicAcid"
"1"	"YAL004W"	0.646005657674527
"2"	"YAL005C"	1.03147836272606
"3"	"YAL008W"	0.302087627956806
"4"	"YAL010C"	-0.460733317152738
"5"	"YAL011W"	-0.488248931907987
"6"	"YAL013W"	-0.416192348224533
"7"	"YAL014C"	-0.037295699033776
"8"	"YAL015C"	-0.31514693912065
"9"	"YAL017W"	0.253565938294862
"10"	"YAL018C"	0.385311345688906
"11"	"YAL019W"	0.179881822672008
"12"	"YAL020C"	0.542686646000809
"13"	"YAL022C"	-0.272536546593286
"14"	"YAL023C"	-1.59895129681597
"15"	"YAL024C"	0.118543941994951
"16"	"YAL026C"	-0.00530409492173196
"17"	"YAL027W"	0.463273027583664
"18"	"YAL028W"	0.229489501567409
"19"	"YAL029C"	-0.144517438287171
"20"	"YAL030W"	0.108575241138892
"21"	"YAL031C"	-0.186886449285208
"22"	"YAL034C"	0.566715753512805
"23"	"YAL036C"	0.376811221238172
"24"	"YAL037W"	-0.237013736062776
"25"	"YAL040C"	0.966414428926457
"26"	"YAL042W"	-0.318532277369632
"27"	"YAL043C-A"	0.199302650602115
"28"	"YAL045C"	0.00483702426774715
"29"	"YAL046C"	-0.331251615456582
"30"	"YAL048C"	-0.119917176773565
"31"	"YAL049C"	-0.289739144280489
"32"	"YAL051W"	0.151638107106561
"33"	"YAL053W"	0.281424125417885
"34"	"YAL054C"	-3.30873758336468
"35"	"YAL055W"	-0.127334910581036
"36"	"YAL056W"	-0.515719760453367
"37"	"YAL058C-A"	0.0946054090659624
"38"	"YAL059W"	0.367401927215852
"39"	"YAL060W"	0.191303844937975
"40"	"YAL061W"	0.0682101117434893
"41"	"YAL062W"	-0.218218903453071
"42"	"YAL064C-A"	0.0573154329387895
"43"	"YAL065C"	-0.0190129480210158
"44"	"YAL066W"	-0.266278939584077
"45"	"YAL067C"	-0.00451563638049993
"46"	"YAL068C"	-0.120375769507574
"47"	"YAR002C-A"	-0.0998483682547439
"48"	"YAR002W"	1.40199639937155
"49"	"YAR003W"	1.14237862181562
"50"	"YAR014C"	-0.321216804290756
"51"	"YAR015W"	-0.267703813442586
"52"	"YAR020C"	-0.376150506582811
"53"	"YAR023C"	-0.122959201381595
"54"	"YAR027W"	-0.456036359452582
"55"	"YAR028W"	0.118411672388832
"56"	"YAR029W"	0.379022779696947
"57"	"YAR030C"	-0.124423491532898
"58"	"YAR031W"	0.208165911898102
"59"	"YAR035W"	-0.442290314216774
"60"	"YAR037W"	-0.176837237058903
"61"	"YAR040C"	0.172440641134403
"62"	"YAR043C"	0.200407663254785
"63"	"YAR044W"	-0.360125138466609
"64"	"YAR047C"	-0.079146633259443
"65"	"YBL003C"	-0.374844120264394
"66"	"YBL005W"	0.808249206971099
"67"	"YBL007C"	-1.98355031188083
"68"	"YBL009W"	0.216425201468859
"69"	"YBL010C"	-0.203190452657138
"70"	"YBL015W"	-0.484413160494473
"71"	"YBL016W"	-2.19898582326914
"72"	"YBL017C"	-0.0364587974540878
"73"	"YBL019W"	-0.232473986962601
"74"	"YBL021C"	-0.685769354378359
"75"	"YBL024W"	0.10976898562126
"76"	"YBL027W"	0.543372853811134
"77"	"YBL028C"	-0.211269240639214
"78"	"YBL029W"	0.381183131555451
"79"	"YBL031W"	-0.42665691392264
"80"	"YBL032W"	-0.535060772127462
"81"	"YBL036C"	-0.347580655531921
"82"	"YBL037W"	-0.0576384244763879
"83"	"YBL039C"	-0.00843817208180792
"84"	"YBL042C"	-0.235810376109713
"85"	"YBL043W"	-1.60837929306552
"86"	"YBL046W"	-0.344819905019694
"87"	"YBL048W"	-0.344417860734363
"88"	"YBL049W"	-0.23902409955585
"89"	"YBL051C"	0.766697854037091
"90"	"YBL052C"	-0.315212716413328
"91"	"YBL053W"	-0.409311463242701
"92"	"YBL054W"	-0.000507298239122214
"93"	"YBL055C"	0.361477939687383
"94"	"YBL056W"	-0.0366111319778728
"95"	"YBL057C"	-0.299688753829968
"96"	"YBL059W"	0.0901354057069152
"97"	"YBL060W"	0.218537194343756
"98"	"YBL061C"	-0.192040904097199
"99"	"YBL062W"	-0.110238402211485
"100"	"YBL063W"	-0.398457193484251
"101"	"YBL064C"	-0.429867806559866
"102"	"YBL065W"	-0.607147691678823
"103"	"YBL066C"	0.332472961017722
"104"	"YBL067C"	-0.56529551441909
"105"	"YBL068W"	-0.0280190152653125
"106"	"YBL069W"	0.239987719025221
"107"	"YBL070C"	-0.40016132101484
"108"	"YBL071C"	-0.2316130507419
"109"	"YBL072C"	-0.535102210854275
"110"	"YBL075C"	-0.0234159171791596
"111"	"YBL078C"	-0.393703624547643
"112"	"YBL079W"	-0.146355855428843
"113"	"YBL081W"	0.191639396284139
"114"	"YBL082C"	0.10712880341499
"115"	"YBL083C"	-0.0866015056170558
"116"	"YBL085W"	-0.272221736353583
"117"	"YBL086C"	-0.736370283175744
"118"	"YBL087C"	0.0978470105582279
"119"	"YBL088C"	-0.275256373822856
"120"	"YBL089W"	0.436779845314612
"121"	"YBL091C-A"	0.285789434627081
"122"	"YBL091C"	-0.160283480773216
"123"	"YBL094C"	-0.0366758307857092
"124"	"YBL095W"	-0.411626332663656
"125"	"YBL096C"	-0.245544611467288
"126"	"YBL098W"	-0.0945770498086155
"127"	"YBL101C"	-0.347096625875912
"128"	"YBL102W"	-0.052313361558061
"129"	"YBL103C"	0.235680981434312
"130"	"YBL104C"	-0.287029647110319
"131"	"YBL106C"	0.72602353413358
"132"	"YBL107C"	-0.0280699004567425
"133"	"YBR001C"	-0.174561924529839
"134"	"YBR005W"	0.471411407335293
"135"	"YBR006W"	0.252714301403298
"136"	"YBR007C"	0.537453949458953
"137"	"YBR008C"	-0.297459382060793
"138"	"YBR009C"	0.0246855164982215
"139"	"YBR010W"	0.12100201514861
"140"	"YBR012C"	0.298632059816534
"141"	"YBR013C"	0.149620087476561
"142"	"YBR014C"	-0.368809585776247
"143"	"YBR015C"	-1.89987467442184
"144"	"YBR016W"	-0.233192997073349
"145"	"YBR018C"	0.110232383710326
"146"	"YBR022W"	0.420800612055652
"147"	"YBR024W"	-0.138634925273058
"148"	"YBR025C"	0.459843600262907
"149"	"YBR026C"	-2.3742809922051
"150"	"YBR027C"	-0.22395130633183
"151"	"YBR028C"	-0.334259196485472
"152"	"YBR030W"	-0.367818462976729
"153"	"YBR031W"	-0.0010750271691748
"154"	"YBR032W"	0.217052283041157
"155"	"YBR033W"	-0.486049248834715
"156"	"YBR034C"	0.487477528312823
"157"	"YBR036C"	-0.0315856260389057
"158"	"YBR040W"	0.129808026863433
"159"	"YBR041W"	-0.460367614347843
"160"	"YBR042C"	-1.51098190157421
"161"	"YBR043C"	0.518177631093067
"162"	"YBR044C"	0.439963763763448
"163"	"YBR045C"	-0.141654064715028
"164"	"YBR047W"	0.0468701999120313
"165"	"YBR048W"	0.584709879534703
"166"	"YBR052C"	-0.653102318953066
"167"	"YBR053C"	-0.229060237187784
"168"	"YBR054W"	-0.307883977601401
"169"	"YBR056W"	0.968873213509383
"170"	"YBR057C"	-0.295487037048017
"171"	"YBR058C"	-0.712392740273602
"172"	"YBR059C"	-0.496759609581495
"173"	"YBR061C"	-0.0719119212996523
"174"	"YBR062C"	0.177740625268767
"175"	"YBR063C"	0.336316623862594
"176"	"YBR064W"	-0.264307359883021
"177"	"YBR065C"	-0.554512406439961
"178"	"YBR068C"	-0.5736516476303
"179"	"YBR069C"	0.172006188417045
"180"	"YBR071W"	0.272770273274574
"181"	"YBR072W"	-0.443302140726107
"182"	"YBR073W"	0.208742043695822
"183"	"YBR074W"	0.144854170226047
"184"	"YBR075W"	0.15007398296934
"185"	"YBR076W"	0.0573830533416052
"186"	"YBR077C"	0.79599168047271
"187"	"YBR078W"	-0.040509485048624
"188"	"YBR082C"	-0.590951086216471
"189"	"YBR083W"	0.782073504407349
"190"	"YBR084C-A"	1.06951901008217
"191"	"YBR084W"	0.0648078584467877
"192"	"YBR085W"	0.00220751301861943
"193"	"YBR086C"	-0.470920119880059
"194"	"YBR090C-A"	0.261240579362992
"195"	"YBR090C"	0.629628140561383
"196"	"YBR092C"	0.0795968070229667
"197"	"YBR095C"	-0.034172034135246
"198"	"YBR098W"	-0.266047178204783
"199"	"YBR099C"	0.112898986377824
"200"	"YBR100W"	-0.0347728463785432
"201"	"YBR104W"	0.195446209382573
"202"	"YBR105C"	-0.308874644304211
"203"	"YBR107C"	0.166819087242015
"204"	"YBR108W"	-0.823098137253436
"205"	"YBR111C"	-0.540817809542157
"206"	"YBR113W"	1.62871676238555
"207"	"YBR114W"	1.57988206831509
"208"	"YBR115C"	0.976776453815038
"209"	"YBR116C"	-0.279638084394868
"210"	"YBR118W"	1.37066671585943
"211"	"YBR119W"	-0.236124518749388
"212"	"YBR125C"	-0.2023060489939
"213"	"YBR126C"	-0.494116964295219
"214"	"YBR128C"	0.717299394449937
"215"	"YBR129C"	0.00984109999692982
"216"	"YBR130C"	0.893026143353971
"217"	"YBR132C"	-0.498407471808833
"218"	"YBR134W"	-0.502061771289031
"219"	"YBR137W"	0.00529545672658424
"220"	"YBR138C"	-0.252276133206772
"221"	"YBR141C"	0.479981719950056
"222"	"YBR144C"	-2.16642064517906
"223"	"YBR145W"	-0.168088335418321
"224"	"YBR147W"	0.157469113156482
"225"	"YBR148W"	-0.0785992692125131
"226"	"YBR150C"	-2.12119881631359
"227"	"YBR151W"	-0.0720250357161633
"228"	"YBR156C"	-1.34531139923924
"229"	"YBR157C"	-0.179790669218679
"230"	"YBR161W"	-0.106505665984952
"231"	"YBR162C"	-0.253060517220386
"232"	"YBR162W-A"	-0.173788715018219
"233"	"YBR164C"	-1.31030695559212
"234"	"YBR165W"	-0.0911649507809697
"235"	"YBR166C"	0.24490020906896
"236"	"YBR168W"	-0.229987098089168
"237"	"YBR171W"	-0.432034981130498
"238"	"YBR172C"	0.524630958920378
"239"	"YBR174C"	-0.21329787511859
"240"	"YBR175W"	0.00873819731927427
"241"	"YBR176W"	-0.154058678868199
"242"	"YBR177C"	-0.264036240889481
"243"	"YBR178W"	0.448351068456992
"244"	"YBR180W"	-0.176973124320057
"245"	"YBR183W"	2.36083551839149
"246"	"YBR184W"	-0.00406677253033729
"247"	"YBR185C"	-0.256131052578667
"248"	"YBR186W"	-0.107312241698965
"249"	"YBR197C"	0.341176914755749
"250"	"YBR199W"	-0.223678180922433
"251"	"YBR200W"	-0.611307060001924
"252"	"YBR203W"	1.42073219364796
"253"	"YBR204C"	-0.309530793897718
"254"	"YBR205W"	-0.48598558407879
"255"	"YBR206W"	-0.323962108271907
"256"	"YBR207W"	-0.26124481284703
"257"	"YBR208C"	0.262619149070915
"258"	"YBR209W"	-1.05765087309047
"259"	"YBR210W"	0.647028129462574
"260"	"YBR214W"	0.0665831878982716
"261"	"YBR215W"	1.50745601651144
"262"	"YBR216C"	0.334688470282105
"263"	"YBR217W"	-0.159857629792287
"264"	"YBR218C"	0.278047114011961
"265"	"YBR219C"	-0.354295416642783
"266"	"YBR220C"	0.427422578052448
"267"	"YBR221C"	-1.18622981032309
"268"	"YBR222C"	0.64104093498876
"269"	"YBR223C"	0.21328730978101
"270"	"YBR224W"	-0.204261709869804
"271"	"YBR225W"	0.693722583834513
"272"	"YBR226C"	0.325007569008149
"273"	"YBR229C"	-0.928318144764212
"274"	"YBR231C"	-1.11577039337198
"275"	"YBR232C"	-0.37400399026113
"276"	"YBR233W"	-4.23556461500341
"277"	"YBR235W"	-0.888241194705178
"278"	"YBR239C"	0.117110622790441
"279"	"YBR240C"	-0.0488530928912476
"280"	"YBR241C"	-0.128062217708728
"281"	"YBR245C"	0.0200442296214243
"282"	"YBR248C"	1.64467283444487
"283"	"YBR250W"	0.391939939801063
