"gene"	"EMIMCl"
"135"	"YBR005W"	-0.684238128654033
"136"	"YBR006W"	-0.557773379086341
"137"	"YBR007C"	0.0600644217528934
"138"	"YBR008C"	0.0469223267960903
"139"	"YBR009C"	0.0921124098575016
"140"	"YBR010W"	-0.555518353695935
"141"	"YBR012C"	-0.309122727900041
"142"	"YBR013C"	0.170205401632975
"143"	"YBR014C"	0.125058171984169
"144"	"YBR015C"	1.69921139907641
"145"	"YBR016W"	0.854379624213461
"146"	"YBR018C"	0.246928423849156
"147"	"YBR022W"	-0.748259639228724
"148"	"YBR024W"	0.35566163369371
"149"	"YBR025C"	-0.0783441594533741
"150"	"YBR026C"	2.36252621774641
"151"	"YBR027C"	0.104847124166278
"152"	"YBR028C"	0.240529830841105
"153"	"YBR030W"	0.181541673381924
"154"	"YBR031W"	0.595814800968685
"155"	"YBR032W"	0.135353683201313
"156"	"YBR033W"	0.352327132927357
"157"	"YBR034C"	-0.259312827623009
"158"	"YBR036C"	0.398402760540883
"159"	"YBR040W"	-0.0600512526040811
"160"	"YBR041W"	0.296560504675894
"161"	"YBR042C"	1.87414283727709
"162"	"YBR043C"	-0.680727865360027
"163"	"YBR044C"	0.257381998457993
"164"	"YBR045C"	-0.0644566237897909
"165"	"YBR047W"	-0.411951162016718
"166"	"YBR048W"	0.0755358563021683
"167"	"YBR052C"	0.3606935431696
"168"	"YBR053C"	0.361731727129736
"169"	"YBR054W"	0.276674125551189
"170"	"YBR056W"	-0.194033819781854
"171"	"YBR057C"	0.0519146605736729
"172"	"YBR058C"	-0.0621242345503986
"173"	"YBR059C"	0.130278141699278
"174"	"YBR061C"	0.416850172702726
"175"	"YBR062C"	-0.12570640522181
"176"	"YBR063C"	-0.269681878605874
"177"	"YBR064W"	0.28717920443075
"178"	"YBR065C"	0.13012889299702
"179"	"YBR068C"	-0.193187078804452
"180"	"YBR069C"	0.0409194282562666
"181"	"YBR071W"	-0.449504321809541
"182"	"YBR072W"	0.103196511266441
"183"	"YBR073W"	-0.217338788230645
"184"	"YBR074W"	-0.458670039751831
"185"	"YBR075W"	0.0473743279202978
"186"	"YBR076W"	0.0229516498420822
"187"	"YBR077C"	-0.284297587698022
"188"	"YBR078W"	0.536240008851385
"189"	"YBR082C"	0.442555725586942
"190"	"YBR083W"	-1.13211153313233
"191"	"YBR084C-A"	0.351740224283698
"192"	"YBR084W"	-0.317777471966031
"193"	"YBR085W"	-0.340789147620866
"194"	"YBR086C"	-1.03289376795721
"195"	"YBR090C-A"	-0.137479892128629
"196"	"YBR090C"	-0.67726766697558
"197"	"YBR092C"	0.0483423780214296
"198"	"YBR095C"	0.824206908663701
"199"	"YBR098W"	0.161529066256651
"200"	"YBR099C"	-0.129479450418702
"201"	"YBR100W"	-0.141821790376626
"202"	"YBR104W"	0.329095296446021
"203"	"YBR105C"	0.53317297315979
"204"	"YBR107C"	-0.216991639577477
"205"	"YBR108W"	0.123625141611941
"206"	"YBR111C"	0.449546393392184
"207"	"YBR113W"	-1.00425871245591
"208"	"YBR114W"	-0.683277306520981
"209"	"YBR115C"	-1.01718327292114
"210"	"YBR116C"	0.270958409000433
"211"	"YBR118W"	0.533693669971106
"212"	"YBR119W"	0.326468934023399
"213"	"YBR125C"	-0.301217062894976
"214"	"YBR126C"	0.751189984899818
"215"	"YBR128C"	-0.48577776496822
"216"	"YBR129C"	0.0398933499613773
"217"	"YBR130C"	-0.30313234392284
"218"	"YBR132C"	0.20044851320622
"219"	"YBR134W"	0.183478080843449
"220"	"YBR137W"	0.00443756865056434
"221"	"YBR138C"	0.201519846443198
"222"	"YBR141C"	-0.605264444348709
"223"	"YBR144C"	1.66672686487692
"224"	"YBR145W"	0.485415301952406
"225"	"YBR147W"	-0.00830815728060088
"226"	"YBR148W"	0.26112944646269
"227"	"YBR150C"	1.38248265026226
"228"	"YBR151W"	-0.234419178970247
"229"	"YBR156C"	1.59858547009518
"230"	"YBR157C"	0.233540797438868
"231"	"YBR161W"	0.322115602726065
"232"	"YBR162C"	0.405495807720324
"233"	"YBR162W-A"	0.162937895070043
"234"	"YBR164C"	1.25111268622488
"235"	"YBR165W"	0.192918875955882
"236"	"YBR166C"	-0.980234730969747
"237"	"YBR168W"	0.386808829646679
"238"	"YBR171W"	-0.108898945232925
"239"	"YBR172C"	-0.147628296080227
"240"	"YBR174C"	0.743670517522682
"241"	"YBR175W"	0.0209170585972476
"242"	"YBR176W"	-0.102921346329008
"243"	"YBR177C"	0.385320124945785
