"gene"	"Syringaldehyde"
"1"	"YAL004W"	0.844756786256639
"2"	"YAL005C"	0.940300272385518
"3"	"YAL008W"	0.0839806673396931
"4"	"YAL010C"	1.4009444944852
"5"	"YAL011W"	-0.48739198988872
"6"	"YAL013W"	0.315099583906802
"7"	"YAL014C"	0.509469748064855
"8"	"YAL015C"	-0.558807815836059
"9"	"YAL017W"	0.133761063785796
"10"	"YAL018C"	0.252486114213717
"11"	"YAL019W"	-0.091823246658108
"12"	"YAL020C"	0.519186814641103
"13"	"YAL022C"	-0.13084149524344
"14"	"YAL023C"	-0.463388397610529
"15"	"YAL024C"	0.338640138982479
"16"	"YAL026C"	0.235977258336215
"17"	"YAL027W"	0.418517886987838
"18"	"YAL028W"	0.128368679054815
"19"	"YAL029C"	-0.17092623092429
"20"	"YAL030W"	-0.0760928245686134
"21"	"YAL031C"	-0.140881501770766
"22"	"YAL034C"	0.164415968470388
"23"	"YAL036C"	0.406021016952342
"24"	"YAL037W"	0.105412308099543
"25"	"YAL040C"	0.755889343628401
"26"	"YAL042W"	-0.494630170401165
"27"	"YAL043C-A"	0.210341203183992
"28"	"YAL045C"	0.0380401461702598
"29"	"YAL046C"	-0.136097156160489
"30"	"YAL048C"	-0.101250771954086
"31"	"YAL049C"	-0.254253975218319
"32"	"YAL051W"	0.162703419315423
"33"	"YAL053W"	0.200596220432431
"34"	"YAL054C"	-0.281790996784597
"35"	"YAL055W"	-0.0571905575260964
"36"	"YAL056W"	-0.924987414170184
"37"	"YAL058C-A"	-0.316968775806214
"38"	"YAL059W"	0.495698367518194
"39"	"YAL060W"	0.165752861493611
"40"	"YAL061W"	0.0710179917369498
"41"	"YAL062W"	0.0160392684436409
"42"	"YAL064C-A"	-0.0764811438895091
"43"	"YAL065C"	-0.104686842194059
"44"	"YAL066W"	-0.1566372793275
"45"	"YAL067C"	-0.134212087791513
"46"	"YAL068C"	-0.134101285808876
"47"	"YAR002C-A"	0.0640785461874922
"48"	"YAR002W"	0.84093941278621
"49"	"YAR003W"	0.598966908435798
"50"	"YAR014C"	2.06849283639318
"51"	"YAR015W"	-0.255116983825051
"52"	"YAR020C"	-0.0196941529859267
"53"	"YAR023C"	-0.072349843051311
"54"	"YAR027W"	0.220198247997981
"55"	"YAR028W"	0.0387169512445748
"56"	"YAR029W"	0.0285975198875635
"57"	"YAR030C"	-0.246032181528278
"58"	"YAR031W"	0.321385654073104
"59"	"YAR035W"	-0.745299127511824
"60"	"YAR037W"	-0.252208810286743
"61"	"YAR040C"	0.173794267898735
"62"	"YAR043C"	0.657674588706011
"63"	"YAR044W"	-0.0289155240782379
"64"	"YAR047C"	-0.0514165499551519
"65"	"YBL003C"	0.0463891131043498
"66"	"YBL005W"	0.882480290617993
"67"	"YBL007C"	-0.0260378893931427
"68"	"YBL009W"	0.425224463299722
"69"	"YBL010C"	-0.042072795523134
"70"	"YBL015W"	-0.121348683713554
"71"	"YBL016W"	-0.395845773575526
"72"	"YBL017C"	1.43847404208704
"73"	"YBL019W"	-0.127048490272727
"74"	"YBL021C"	-0.314794316771639
"75"	"YBL024W"	0.0550238410348247
"76"	"YBL027W"	0.174051051197946
"77"	"YBL028C"	0.00320337656534288
"78"	"YBL029W"	-0.467734876757048
"79"	"YBL031W"	0.0957058177898459
"80"	"YBL032W"	-0.0966110545184379
"81"	"YBL036C"	-0.0113106252920781
"82"	"YBL037W"	0.814442396834452
"83"	"YBL039C"	-0.0474846445887791
"84"	"YBL042C"	-0.396217380610495
