"gene"	"Dimethylpyrazine26"
"1"	"YAL004W"	0.649959456407446
"2"	"YAL005C"	0.717080482408537
"3"	"YAL008W"	0.157677317823046
"4"	"YAL010C"	-2.12599117649236
"5"	"YAL011W"	-0.837312118981386
"6"	"YAL013W"	-0.851260168965295
"7"	"YAL014C"	0.459619308254222
"8"	"YAL015C"	-0.0249666902853692
"9"	"YAL017W"	-0.166520251461355
"10"	"YAL018C"	0.0418220248351028
"11"	"YAL019W"	-0.459133264445629
"12"	"YAL020C"	0.375791443191282
"13"	"YAL022C"	-0.108099107301904
"14"	"YAL023C"	0.127429457269343
"15"	"YAL024C"	0.206135546512133
"16"	"YAL026C"	-0.0646337164978641
"17"	"YAL027W"	0.0148365860940149
"18"	"YAL028W"	0.211721242178094
"19"	"YAL029C"	-0.350505300804831
"20"	"YAL030W"	-0.400881753997924
"21"	"YAL031C"	-0.525621619091636
"22"	"YAL034C"	0.39139280201692
"23"	"YAL036C"	0.258872612239287
"24"	"YAL037W"	-0.532006045897646
"25"	"YAL040C"	-1.06048394267453
"26"	"YAL042W"	0.428585112562429
"27"	"YAL043C-A"	-0.110376028237014
"28"	"YAL045C"	-0.607207299633714
"29"	"YAL046C"	-0.422762679584729
"30"	"YAL048C"	-0.672820084580176
"31"	"YAL049C"	-0.64465925248222
"32"	"YAL051W"	0.169956307901882
"33"	"YAL053W"	-0.55239193171482
"34"	"YAL054C"	1.1691196649963
"35"	"YAL055W"	-0.138631700492844
"36"	"YAL056W"	0.17534629625335
"37"	"YAL058C-A"	0.442034586929841
"38"	"YAL059W"	0.60304953673202
"39"	"YAL060W"	0.0288788601605385
"40"	"YAL061W"	-0.0966168598358749
"41"	"YAL062W"	-0.362488101846186
"42"	"YAL064C-A"	-0.339066424410348
"43"	"YAL065C"	-0.459407994433052
"44"	"YAL066W"	-0.327133738036486
"45"	"YAL067C"	-0.478544163864618
"46"	"YAL068C"	-0.261465826246771
"47"	"YAR002C-A"	0.0109500332850822
"48"	"YAR002W"	0.925075550993401
"49"	"YAR003W"	0.182103421220148
"50"	"YAR014C"	-0.4221793541713
"51"	"YAR015W"	-0.316686388680838
"52"	"YAR020C"	-0.46128591777553
"53"	"YAR023C"	-0.5834563671369
"54"	"YAR027W"	-0.613937606591399
"55"	"YAR028W"	0.621104695556739
"56"	"YAR029W"	0.402320113007415
"57"	"YAR030C"	-0.540538567754367
"58"	"YAR031W"	0.292100849995404
"59"	"YAR035W"	0.0265489878435426
"60"	"YAR037W"	-0.696509340395756
"61"	"YAR040C"	-0.197038927064331
"62"	"YAR043C"	0.540443721277764
"63"	"YAR044W"	-0.316515923903005
"64"	"YAR047C"	-0.220287637308082
"65"	"YBL003C"	-0.630260227698908
"66"	"YBL005W"	0.18965859854872
"67"	"YBL007C"	-1.08773126481596
"68"	"YBL009W"	0.481441578798365
"69"	"YBL010C"	-0.414068499969383
"70"	"YBL015W"	-0.326895366606232
"71"	"YBL017C"	2.51930521691266
"72"	"YBL019W"	-0.166896255128706
"73"	"YBL021C"	-0.503987399484992
"74"	"YBL024W"	0.07315900735049
"75"	"YBL027W"	1.15761246694835
"76"	"YBL028C"	0.0181479046808872
"77"	"YBL029W"	0.737917305373588
"78"	"YBL031W"	-0.608199480290185
"79"	"YBL032W"	-0.55837758220539
"80"	"YBL036C"	-0.596768417016874
"81"	"YBL037W"	0.566650920655781
"82"	"YBL039C"	-0.281090266718705
"83"	"YBL042C"	-0.54205287970655
"84"	"YBL043W"	4.38310554498223
"85"	"YBL046W"	-0.623644366301633
"86"	"YBL048W"	-0.278906455868646
"87"	"YBL049W"	-0.537570715419799
"88"	"YBL051C"	0.647192371393208
"89"	"YBL052C"	-0.360717402234597
"90"	"YBL053W"	-0.309504213510584
"91"	"YBL054W"	-0.292438070696542
"92"	"YBL055C"	1.04447577385681
"93"	"YBL056W"	0.260652646622294
"94"	"YBL057C"	0.179573185752034
"95"	"YBL059W"	-0.102818710109238
"96"	"YBL060W"	-0.127017613503965
"97"	"YBL061C"	-0.375854107280705
"98"	"YBL062W"	-0.72213237673046
"99"	"YBL063W"	-0.401261879107837
"100"	"YBL064C"	-0.415681762407222
"101"	"YBL065W"	-0.2744869594602
"102"	"YBL066C"	0.37128433044734
"103"	"YBL067C"	-0.871225232770818
"104"	"YBL068W"	-0.37468830850343
"105"	"YBL069W"	0.342361716638155
"106"	"YBL070C"	0.422055969388164
"107"	"YBL071C"	-0.621266929102265
"108"	"YBL072C"	0.634103596062929
"109"	"YBL075C"	0.324414877739009
"110"	"YBL078C"	0.289897206762592
"111"	"YBL079W"	0.505397951052315
"112"	"YBL081W"	0.280762392541906
"113"	"YBL082C"	0.235967539324733
"114"	"YBL083C"	0.144464550849815
"115"	"YBL085W"	-0.841150305041432
"116"	"YBL086C"	-0.337185866528366
"117"	"YBL087C"	-0.00626784037040299
"118"	"YBL088C"	-0.496999927707253
"119"	"YBL089W"	0.157160050257011
"120"	"YBL091C-A"	0.140358685903748
"121"	"YBL091C"	-0.592284738608144
"122"	"YBL094C"	-0.470040026475299
"123"	"YBL095W"	-0.320802598010595
"124"	"YBL096C"	-0.451406924315709
"125"	"YBL098W"	0.0438446738613846
"126"	"YBL101C"	-0.577269614334402
"127"	"YBL102W"	0.253150910558327
"128"	"YBL103C"	-0.0138036316272583
"129"	"YBL104C"	-0.350689190326562
"130"	"YBL106C"	-0.313089391294668
"131"	"YBL107C"	-0.519054375765718
"132"	"YBR001C"	-0.243911860134724
"133"	"YBR005W"	0.413770651004372
