"gene"	"Methylglyoxal"
"1"	"YAL004W"	-0.426393722083259
"2"	"YAL005C"	-0.323137511834546
"3"	"YAL008W"	0.2474073474028
"4"	"YAL010C"	0.605842293276848
"5"	"YAL011W"	0.419309154727528
"6"	"YAL013W"	-0.0267587488353179
"7"	"YAL014C"	-0.135559854055082
"8"	"YAL015C"	0.084195298271422
"9"	"YAL017W"	0.0223927054346207
"10"	"YAL018C"	0.0032494951018825
"11"	"YAL019W"	0.193311016696777
"12"	"YAL020C"	0.1224673663014
"13"	"YAL022C"	0.128600066268874
"14"	"YAL023C"	0.304431854411973
"15"	"YAL024C"	0.00582191140253675
"16"	"YAL026C"	-0.775014651412521
"17"	"YAL027W"	-0.15847019972617
"18"	"YAL028W"	-0.286652273299462
"19"	"YAL029C"	0.262744802453428
"20"	"YAL030W"	0.237293417631403
"21"	"YAL031C"	0.254125165495643
"22"	"YAL034C"	-0.345810014777613
"23"	"YAL036C"	-0.0267207673471993
"24"	"YAL037W"	0.27300600519807
"25"	"YAL040C"	1.01994988117354
"26"	"YAL042W"	-0.216348060155682
"27"	"YAL043C-A"	-0.0517382821212497
"28"	"YAL045C"	0.301565200478842
"29"	"YAL046C"	0.151604063529354
"30"	"YAL048C"	0.270103505373752
"31"	"YAL049C"	0.337871564581967
"32"	"YAL051W"	0.00470203177937199
"33"	"YAL053W"	0.374875275613705
"34"	"YAL054C"	0.94583111562384
"35"	"YAL055W"	0.264956204697702
"36"	"YAL056W"	-0.159069360894728
"37"	"YAL058C-A"	-0.271088384733982
"38"	"YAL059W"	0.0311968032861933
"39"	"YAL060W"	0.108147322896937
"40"	"YAL061W"	-0.140645747088837
"41"	"YAL062W"	0.528714284754698
"42"	"YAL064C-A"	0.253494496874518
"43"	"YAL065C"	0.310761021592454
"44"	"YAL066W"	0.404065449798805
"45"	"YAL067C"	0.249345037762056
"46"	"YAL068C"	0.180470653412504
"47"	"YAR002C-A"	0.0782681573474191
"48"	"YAR002W"	0.465529032403338
"49"	"YAR003W"	-1.39354941374649
"50"	"YAR014C"	-1.07347203958878
"51"	"YAR015W"	0.508226879923455
"52"	"YAR020C"	0.420822111824656
"53"	"YAR023C"	0.317320533833809
"54"	"YAR027W"	0.372928132447519
"55"	"YAR028W"	-0.600505240390206
"56"	"YAR029W"	-0.262014155710264
"57"	"YAR030C"	0.261510830412376
"58"	"YAR031W"	-0.187905483511419
"59"	"YAR035W"	-0.207270821699721
"60"	"YAR037W"	0.0958645711843225
"61"	"YAR040C"	0.0643615180864956
"62"	"YAR043C"	-0.196668244211896
"63"	"YAR044W"	0.179069128934091
"64"	"YAR047C"	0.23651820394161
"65"	"YBL003C"	0.367988547069674
"66"	"YBL005W"	-0.932799361312768
"67"	"YBL007C"	-0.422745287050553
"68"	"YBL009W"	-0.307337143962061
"69"	"YBL010C"	0.083483408166836
"70"	"YBL015W"	0.329646934519313
"71"	"YBL016W"	1.47863651283232
"72"	"YBL017C"	1.23895935474333
"73"	"YBL019W"	0.187053598631583
"74"	"YBL021C"	0.129255649947742
"75"	"YBL024W"	-0.137115853322806
"76"	"YBL027W"	-0.515876977622569
"77"	"YBL028C"	-0.0473789266998773
"78"	"YBL029W"	-0.379210441808477
"79"	"YBL031W"	0.29345746229518
"80"	"YBL032W"	0.360343903577333
"81"	"YBL036C"	0.24514158131463
"82"	"YBL037W"	-0.216927977430758
"83"	"YBL039C"	0.468041281011502
"84"	"YBL042C"	0.149038178876016
"85"	"YBL043W"	-1.85985792761542
"86"	"YBL046W"	0.127040575290004
"87"	"YBL048W"	0.4789970335715
"88"	"YBL049W"	0.0971057023531457
"89"	"YBL051C"	-0.599357533810527
"90"	"YBL052C"	0.0389724649344778
"91"	"YBL053W"	0.349020721895074
"92"	"YBL054W"	0.147290950087034
"93"	"YBL055C"	-0.634659467196637
"94"	"YBL056W"	-0.165592222519212
"95"	"YBL057C"	0.0781584498814383
"96"	"YBL059W"	0.0271553381839635
"97"	"YBL060W"	-0.260541832866908
"98"	"YBL061C"	0.153355053327959
"99"	"YBL062W"	0.255623974652153
"100"	"YBL063W"	0.298337421889473
"101"	"YBL064C"	0.445061945653647
"102"	"YBL065W"	0.162468646714444
"103"	"YBL066C"	-0.546364723208935
"104"	"YBL067C"	0.00209000591457195
"105"	"YBL068W"	0.152699960310774
"106"	"YBL069W"	-0.373958105971599
"107"	"YBL070C"	0.144966163729614
"108"	"YBL071C"	0.264544527907389
"109"	"YBL072C"	0.577774086361541
"110"	"YBL075C"	0.0956373983241771
"111"	"YBL078C"	-0.186561588368119
"112"	"YBL079W"	0.0357787384376407
"113"	"YBL081W"	-0.102635385647168
"114"	"YBL082C"	-0.0883846805410329
"115"	"YBL083C"	0.572623124298643
"116"	"YBL085W"	0.21023861525796
"117"	"YBL086C"	0.172344912321927
"118"	"YBL087C"	0.5710068283488
"119"	"YBL088C"	-0.0083675994862709
"120"	"YBL089W"	-0.382285495475328
"121"	"YBL091C-A"	-0.32108242610242
"122"	"YBL091C"	0.313082743933764
"123"	"YBL094C"	0.340596058554713
"124"	"YBL095W"	0.296655996054304
"125"	"YBL096C"	0.0471973309717495
"126"	"YBL098W"	-0.0584690568716345
"127"	"YBL101C"	0.071465176760897
"128"	"YBL102W"	-0.41498425301537
"129"	"YBL103C"	-0.595150300249587
"130"	"YBL104C"	0.542890736724133
"131"	"YBL106C"	-0.570050494074388
"132"	"YBL107C"	0.389367503391262
"133"	"YBR001C"	-0.196264368573434
"134"	"YBR005W"	0.0261280984761548
"135"	"YBR006W"	-1.04836931543583
"136"	"YBR007C"	-0.253715640543689
"137"	"YBR008C"	0.155504906336627
"138"	"YBR009C"	0.187187629657514
"139"	"YBR010W"	-0.502664679352107
"140"	"YBR012C"	-0.729495139929318
"141"	"YBR013C"	0.0283649254602884
"142"	"YBR014C"	0.241953034433353
"143"	"YBR015C"	2.75754227589506
"144"	"YBR016W"	0.998448699894564
"145"	"YBR018C"	-0.54431082766279
"146"	"YBR022W"	-0.326988550686631
"147"	"YBR024W"	0.329351115278494
"148"	"YBR025C"	-0.947759156085052
"149"	"YBR026C"	1.97438597919064
"150"	"YBR027C"	0.102644168327475
"151"	"YBR028C"	0.0246028451431664
"152"	"YBR030W"	-0.414892237464395
"153"	"YBR031W"	0.114192048975288
"154"	"YBR032W"	-0.112091951944011
"155"	"YBR033W"	0.195339827660428
"156"	"YBR034C"	-0.788346856828123
"157"	"YBR036C"	0.444046595146886
"158"	"YBR040W"	-0.150966931594937
"159"	"YBR041W"	0.24987135402878
"160"	"YBR042C"	0.959873832768291
"161"	"YBR043C"	-0.539441704954891
"162"	"YBR044C"	0.0876709868010036
"163"	"YBR045C"	-0.0102929507224067
"164"	"YBR047W"	-0.472878111469184
"165"	"YBR048W"	0.0982548490699235
"166"	"YBR052C"	0.270098514067186
"167"	"YBR053C"	0.143049410106153
