"gene"	"Acetovanillone"
"1"	"YAL004W"	-0.517671293233149
"2"	"YAL005C"	-0.581577843579694
"3"	"YAL008W"	-0.239941729081016
"4"	"YAL010C"	0.40670430744466
"5"	"YAL011W"	-5.89366817667332
"6"	"YAL013W"	0.440654164614467
"7"	"YAL014C"	-0.628366329476727
"8"	"YAL015C"	-0.171648998904057
"9"	"YAL017W"	-0.121116280977981
"10"	"YAL018C"	-0.345073372671328
"11"	"YAL019W"	-0.422881329528448
"12"	"YAL020C"	-0.629766030297008
"13"	"YAL022C"	-0.00135410837556927
"14"	"YAL023C"	0.226416640791461
"15"	"YAL024C"	-1.28560798873185
"16"	"YAL026C"	0.26020303669574
"17"	"YAL027W"	-0.430379172342924
"18"	"YAL028W"	-0.746546715308545
"19"	"YAL029C"	-0.135397648576696
"20"	"YAL030W"	-0.129371433670507
"21"	"YAL031C"	-0.136022470323506
"22"	"YAL034C"	-0.768355508810147
"23"	"YAL036C"	-0.521669376847291
"24"	"YAL037W"	-0.0872750466360059
"25"	"YAL040C"	-0.968866325901464
"26"	"YAL042W"	-0.0980829172441413
"27"	"YAL043C-A"	0.219256321727489
"28"	"YAL045C"	-0.185537672298765
"29"	"YAL046C"	-0.118495334243131
"30"	"YAL048C"	0.298847005076002
"31"	"YAL049C"	-0.216987578060507
"32"	"YAL051W"	-0.570026418412581
"33"	"YAL053W"	0.432663376323529
"34"	"YAL054C"	-1.13350202805027
"35"	"YAL055W"	-0.257228368353471
"36"	"YAL056W"	-0.408876427727049
"37"	"YAL058C-A"	-0.557123907718377
"38"	"YAL059W"	-0.351531077123959
"39"	"YAL060W"	-0.393656149501459
"40"	"YAL061W"	-0.272809250265421
"41"	"YAL062W"	0.0437063732989304
"42"	"YAL064C-A"	-0.00728394875830927
"43"	"YAL065C"	-0.14520951527401
"44"	"YAL066W"	0.0590509694978998
"45"	"YAL067C"	-0.11600552211126
"46"	"YAL068C"	0.186023582547198
"47"	"YAR002C-A"	-0.331446573120739
"48"	"YAR002W"	1.1012726444236
"49"	"YAR003W"	1.03338366307514
"50"	"YAR014C"	3.68845152628779
"51"	"YAR015W"	0.279045117820565
"52"	"YAR020C"	-0.0965918332889327
"53"	"YAR023C"	-0.156841621360187
"54"	"YAR027W"	-0.143668709368793
"55"	"YAR028W"	0.712135452439892
"56"	"YAR029W"	-0.579577474250408
"57"	"YAR030C"	-0.285912555564558
"58"	"YAR031W"	-0.367433435673018
"59"	"YAR035W"	-0.500120326837186
"60"	"YAR037W"	-0.254290751358698
"61"	"YAR040C"	-0.533621485196651
"62"	"YAR043C"	-0.332572837494357
"63"	"YAR044W"	-0.0844270625071581
"64"	"YAR047C"	0.0336749057561788
"65"	"YBL003C"	0.351291932471514
"66"	"YBL005W"	0.515704029419908
"67"	"YBL007C"	1.28855788821495
"68"	"YBL009W"	0.643219717942883
"69"	"YBL010C"	-0.00148559858422861
"70"	"YBL015W"	-0.0348556724100117
"71"	"YBL016W"	0.354141280629652
"72"	"YBL017C"	3.03652501157021
"73"	"YBL019W"	0.0107718847878193
"74"	"YBL021C"	-0.0280470349700315
"75"	"YBL024W"	0.0197072631812417
"76"	"YBL027W"	-0.870301383517565
"77"	"YBL028C"	0.289913639686759
"78"	"YBL029W"	0.544336095648576
"79"	"YBL031W"	0.301298255140579
"80"	"YBL032W"	-0.109198008066754
"81"	"YBL036C"	0.36588454821766
"82"	"YBL037W"	2.29998078843928
"83"	"YBL039C"	0.186353544135815
"84"	"YBL042C"	0.0360302552670979
"85"	"YBL043W"	0.195211377563371
"86"	"YBL046W"	-0.248375513072621
"87"	"YBL048W"	0.0736347102748326
"88"	"YBL049W"	-0.10530989025594
"89"	"YBL051C"	0.404039341416203
"90"	"YBL052C"	-0.20622896536295
"91"	"YBL053W"	0.216012673248696
"92"	"YBL054W"	0.258847695557815
"93"	"YBL055C"	-0.374701055400449
"94"	"YBL056W"	-0.035053365778693
"95"	"YBL057C"	0.266914000693041
"96"	"YBL059W"	0.297535261127921
"97"	"YBL060W"	-0.127835719839469
"98"	"YBL061C"	0.2695289928919
"99"	"YBL062W"	0.215301987259493
"100"	"YBL063W"	0.0736183415760278
"101"	"YBL064C"	0.267651129760725
"102"	"YBL065W"	0.349992352854269
"103"	"YBL066C"	-0.314772626178409
"104"	"YBL067C"	0.24065369528095
"105"	"YBL068W"	-0.166724535761946
"106"	"YBL069W"	0.296269446889901
"107"	"YBL070C"	-0.304466477286745
"108"	"YBL071C"	0.519735248408272
"109"	"YBL072C"	0.372680325940552
"110"	"YBL075C"	-0.205467920925543
"111"	"YBL078C"	-0.0741520804107351
"112"	"YBL079W"	-0.407966138981719
"113"	"YBL081W"	0.586251828221369
"114"	"YBL082C"	1.5254600987851
"115"	"YBL083C"	1.29160744698584
"116"	"YBL085W"	0.286328542853988
"117"	"YBL086C"	-0.065888141138669
"118"	"YBL087C"	0.131409803366895
"119"	"YBL088C"	0.160181031155604
"120"	"YBL089W"	-0.943884808069734
"121"	"YBL091C-A"	-0.304454251367948
"122"	"YBL091C"	-0.0549532245628326
"123"	"YBL094C"	0.12593888091708
"124"	"YBL095W"	0.0672437651656702
"125"	"YBL096C"	0.155040982007249
"126"	"YBL098W"	0.143981176023734
"127"	"YBL101C"	-0.188294587194921
"128"	"YBL102W"	0.0371803829213238
"129"	"YBL103C"	-0.19823757304084
"130"	"YBL104C"	0.237579174885439
"131"	"YBL106C"	0.0338014222952577
"132"	"YBL107C"	-0.128834067497794
"133"	"YBR001C"	0.44143383562398
"134"	"YBR005W"	1.36609803102479
"135"	"YBR006W"	-0.541463139413245
"136"	"YBR007C"	-0.118790273537453
"137"	"YBR008C"	0.265750933476088
"138"	"YBR009C"	0.503372823054292
"139"	"YBR010W"	0.060482889855064
"140"	"YBR012C"	-0.274483847169309
"141"	"YBR013C"	-0.00257939732367335
"142"	"YBR014C"	0.449763412339677
"143"	"YBR015C"	1.17203483032554
"144"	"YBR016W"	-0.715262246405098
"145"	"YBR018C"	0.771333787732887
"146"	"YBR022W"	-0.25952017205865
"147"	"YBR024W"	0.243656729399487
"148"	"YBR025C"	-0.0525285780079397
"149"	"YBR026C"	0.864973225471292
"150"	"YBR027C"	0.189125395831351
"151"	"YBR028C"	0.392266653023361
"152"	"YBR030W"	0.789019264445829
"153"	"YBR031W"	0.275991902004143
"154"	"YBR032W"	-0.124889670848994
"155"	"YBR033W"	0.0356898932173606
"156"	"YBR034C"	-0.446116621702886
"157"	"YBR036C"	-0.308967760412818
"158"	"YBR040W"	0.0743505475579727
"159"	"YBR041W"	0.0237412716718168
"160"	"YBR042C"	2.78392849039007
"161"	"YBR043C"	-0.278833943507318
"162"	"YBR044C"	1.21112555867424
"163"	"YBR045C"	0.304701693142809
"164"	"YBR047W"	-0.340837038059918
"165"	"YBR048W"	-0.440737682939903
"166"	"YBR052C"	0.229895609766874
"167"	"YBR053C"	0.26785895604479
"168"	"YBR054W"	0.0964507641522909
"169"	"YBR056W"	0.672303454516688
"170"	"YBR057C"	0.113781111521728
"171"	"YBR058C"	-0.031473868164473
"172"	"YBR059C"	0.106863947104282
"173"	"YBR061C"	0.755391151698777
"174"	"YBR062C"	0.157464206068392
"175"	"YBR063C"	-0.226939835690321
"176"	"YBR064W"	0.0254797513605002
"177"	"YBR065C"	0.684000254520166
"178"	"YBR068C"	0.289322965216895
"179"	"YBR069C"	0.794893612522594
"180"	"YBR071W"	-0.930721703399269
"181"	"YBR072W"	-0.217396260651637
"182"	"YBR073W"	-0.265677718314976
"183"	"YBR074W"	-0.265487760141719
"184"	"YBR075W"	-0.208147136502075
"185"	"YBR076W"	-0.306386893840231
"186"	"YBR077C"	-0.596238513599495
"187"	"YBR078W"	0.221583511495615
"188"	"YBR082C"	1.77939293147646
"189"	"YBR083W"	-0.406106486570183
"190"	"YBR084C-A"	0.403740566778705
"191"	"YBR084W"	0.157025601620858
"192"	"YBR085W"	0.189111590209624
"193"	"YBR086C"	0.449784798533736
"194"	"YBR090C-A"	0.155777462027376
"195"	"YBR090C"	-0.553058517438349
"196"	"YBR092C"	0.194595038874179
"197"	"YBR095C"	0.524904221129038
"198"	"YBR098W"	0.153743134076387
"199"	"YBR099C"	-0.368436662810539
"200"	"YBR100W"	-0.194391429885079
"201"	"YBR104W"	0.0346789004538868
"202"	"YBR105C"	0.0796258247085096
"203"	"YBR107C"	-0.231043290280966
"204"	"YBR108W"	0.120550298484565
"205"	"YBR111C"	0.527723835725298
"206"	"YBR113W"	1.81590428533981
"207"	"YBR114W"	0.848398849499401
"208"	"YBR115C"	1.22533440530637
"209"	"YBR116C"	-0.0708027257179438
"210"	"YBR118W"	2.07449219320316
"211"	"YBR119W"	0.697140959790555
"212"	"YBR125C"	-0.00437244943087146
"213"	"YBR126C"	0.439952968766038
"214"	"YBR128C"	-0.535053095535079
"215"	"YBR129C"	-0.0538293578008257
"216"	"YBR130C"	1.05965859822202
"217"	"YBR132C"	0.287088878879976
"218"	"YBR134W"	-0.0415081848117231
"219"	"YBR137W"	0.0601658985037115
"220"	"YBR138C"	0.0326397040654444
"221"	"YBR141C"	-0.743378306451362
"222"	"YBR144C"	-0.450905854295064
"223"	"YBR145W"	0.183455205852094
"224"	"YBR147W"	0.0562567302679546
"225"	"YBR148W"	0.00468374869650101
"226"	"YBR150C"	2.60527956516971
"227"	"YBR151W"	0.0289596246133799
"228"	"YBR156C"	1.80847493511904
"229"	"YBR157C"	0.128838893099011
"230"	"YBR161W"	0.102823830932414
"231"	"YBR162C"	0.841920597140763
"232"	"YBR162W-A"	-0.11725414697315
"233"	"YBR164C"	-1.27495289447148
"234"	"YBR165W"	-0.15717123067352
"235"	"YBR166C"	0.015522518589028
"236"	"YBR168W"	0.654452561410524
"237"	"YBR171W"	1.27762169489185
"238"	"YBR172C"	1.11095333238536
"239"	"YBR174C"	0.535513723597903
"240"	"YBR175W"	0.574150288567635
"241"	"YBR176W"	-0.0668362240627013
"242"	"YBR177C"	0.185141722778396
"243"	"YBR180W"	0.207285194765523
"244"	"YBR183W"	-0.968866325901464
"245"	"YBR184W"	-0.0684379208040281
"246"	"YBR185C"	0.310245955139991
"247"	"YBR186W"	-0.255096826481555
"248"	"YBR197C"	-0.266622421296565
"249"	"YBR199W"	-0.0118859570082702
"250"	"YBR200W"	0.938508738083783
"251"	"YBR203W"	-0.150618546718708
"252"	"YBR204C"	0.756182331193982
"253"	"YBR205W"	-0.339005763808072
"254"	"YBR206W"	-0.256733576968625
"255"	"YBR207W"	-0.034483257522487
"256"	"YBR208C"	-0.198153353931161
"257"	"YBR209W"	-0.664318590788729
"258"	"YBR210W"	0.720759636783576
"259"	"YBR214W"	-0.00316793255087153
"260"	"YBR215W"	1.25437934788677
"261"	"YBR216C"	0.0606918993943193
"262"	"YBR217W"	0.19373208363593
"263"	"YBR218C"	-0.409076082944142
"264"	"YBR219C"	-0.0234211870609512
"265"	"YBR220C"	0.648010229832602
"266"	"YBR221C"	-0.47661233315748
"267"	"YBR222C"	-1.19267396700974
"268"	"YBR223C"	-0.281749136788952
"269"	"YBR224W"	0.0253905720941811
"270"	"YBR225W"	-0.692982484506809
"271"	"YBR226C"	-0.638194065565989
"272"	"YBR229C"	0.40227558168085
"273"	"YBR231C"	-7.03088001488918
"274"	"YBR232C"	0.2674937333771
"275"	"YBR233W"	1.34472247918244
"276"	"YBR235W"	-0.130854131780716
"277"	"YBR239C"	-0.205649795181365
"278"	"YBR240C"	-0.72352973719221
"279"	"YBR241C"	-0.0746014672684912
"280"	"YBR245C"	-0.775725135778748
"281"	"YBR248C"	1.29854143585175
"282"	"YBR250W"	0.0840954029362984
"283"	"YBR255W"	-0.304993301853883
"284"	"YBR258C"	0.0611130978817845
"285"	"YBR259W"	-0.268328200790103
"286"	"YBR260C"	0.0945173166478136
"287"	"YBR261C"	0.273946546350492
"288"	"YBR262C"	-0.226743346404813
"289"	"YBR263W"	-0.372448786685986
"290"	"YBR264C"	-0.0899376656221707
"291"	"YBR266C"	1.60270245408366
"292"	"YBR267W"	-0.959341744281457
"293"	"YBR269C"	0.265889733959194
"294"	"YBR270C"	-0.43135977077305
"295"	"YBR271W"	-0.178102489493472
"296"	"YBR274W"	0.240045523226117
"297"	"YBR275C"	-0.132844227904844
"298"	"YBR276C"	0.0812234693576303
"299"	"YBR277C"	-0.394923997804865
"300"	"YBR278W"	0.158279690867311
"301"	"YBR280C"	-0.735519784150316
"302"	"YBR281C"	0.166084461890209
"303"	"YBR283C"	0.831703649083602
"304"	"YBR284W"	0.419567515962935
"305"	"YBR285W"	-0.0907157322035043
"306"	"YBR286W"	-0.0263272486708001
"307"	"YBR287W"	0.0773647409886464
"308"	"YBR289W"	0.33797139274765
"309"	"YBR290W"	-0.405666708959803
"310"	"YBR291C"	2.55602500914532
"311"	"YBR292C"	0.732953686049682
"312"	"YBR293W"	1.09857972249434
"313"	"YBR294W"	-0.239379938674653
"314"	"YBR295W"	0.228571252998
"315"	"YBR296C"	-0.0782309257117769
