"gene"	"Dipyridyl22"
"172"	"YBR058C"	-0.115754556490136
"173"	"YBR059C"	0.106427526171801
"174"	"YBR061C"	0.136198732211367
"175"	"YBR062C"	0.0341928252807326
"176"	"YBR063C"	-0.0863122040788458
"177"	"YBR064W"	0.0536705210418552
"178"	"YBR065C"	-0.209482839283044
"179"	"YBR068C"	0.124930464024981
"180"	"YBR069C"	-0.261499719540941
"181"	"YBR071W"	-0.237847702396811
"182"	"YBR072W"	-0.00230338971356171
"183"	"YBR073W"	-0.143287642330748
"184"	"YBR074W"	0.184810454972117
"185"	"YBR075W"	0.126796735872509
"186"	"YBR076W"	0.0149496146085544
"187"	"YBR077C"	0.555822064523131
"188"	"YBR078W"	-0.0287479893639369
"189"	"YBR082C"	0.279764332782977
"190"	"YBR083W"	-0.139998934768922
"191"	"YBR084C-A"	0.252366013082181
"192"	"YBR084W"	-0.0711179912872104
"193"	"YBR085W"	0.0867572736892022
"194"	"YBR086C"	0.195915887740484
"195"	"YBR090C-A"	-0.165505062632681
"196"	"YBR090C"	0.130780073986237
"197"	"YBR092C"	0.0479106586779835
"198"	"YBR095C"	-0.213238445709439
"199"	"YBR098W"	-0.308962705382796
"200"	"YBR099C"	0.104881830302656
"201"	"YBR100W"	0.113855483584138
"202"	"YBR104W"	0.00731729584535438
"203"	"YBR105C"	-0.11369804659208
"204"	"YBR107C"	0.338194472126393
"205"	"YBR108W"	-0.504208493424031
"206"	"YBR111C"	0.049452647388063
"207"	"YBR113W"	-1.99461989483267
"208"	"YBR114W"	-0.925970829555312
"209"	"YBR115C"	-1.8300893790337
"210"	"YBR116C"	0.0256290720078693
"211"	"YBR118W"	-0.300672075969722
"212"	"YBR119W"	-0.064620556422537
"213"	"YBR125C"	-0.0349432595737979
"214"	"YBR126C"	0.0163585632174474
"215"	"YBR128C"	0.175865781815004
"216"	"YBR129C"	0.0607096651538478
"217"	"YBR130C"	-1.02859976504634
"218"	"YBR132C"	-0.133243995455819
"219"	"YBR134W"	0.107012014163089
"220"	"YBR137W"	0.00208726368283709
"221"	"YBR138C"	-0.0054625093560006
"222"	"YBR141C"	0.119847863960148
"223"	"YBR144C"	1.94229405195291
"224"	"YBR145W"	0.122869401131155
"225"	"YBR147W"	0.138399010269581
"226"	"YBR148W"	-0.0959705948896566
"227"	"YBR150C"	-3.01969256354866
"228"	"YBR151W"	-0.171699498574115
"229"	"YBR156C"	-0.410022577803372
"230"	"YBR157C"	0.0546381542057181
"231"	"YBR161W"	0.140383500013061
"232"	"YBR162C"	-0.133668503270578
"233"	"YBR162W-A"	-0.0562408012202501
"234"	"YBR164C"	-0.0462836473615047
"235"	"YBR165W"	0.0750366238028971
"236"	"YBR166C"	-0.604010847927023
"237"	"YBR168W"	0.317413556047158
"238"	"YBR171W"	-0.814536966319317
"239"	"YBR172C"	-0.559024093956544
"240"	"YBR174C"	0.103420091364022
"241"	"YBR175W"	0.0635825595849615
"242"	"YBR176W"	-0.0907992897851101
"243"	"YBR177C"	-0.171251011765017
"244"	"YBR180W"	-0.221243250749934
"245"	"YBR183W"	1.59798642698432
"246"	"YBR184W"	0.196563211971089
"247"	"YBR185C"	0.13601712344504
"248"	"YBR186W"	0.0634975178201049
"249"	"YBR197C"	0.0571134792733173
"250"	"YBR199W"	-0.0545016978533419
"251"	"YBR200W"	-0.480947450060026
"252"	"YBR203W"	-0.1212856664606
"253"	"YBR204C"	0.0228356793484944
"254"	"YBR205W"	0.237690396084124
"255"	"YBR206W"	0.124209290334543
"256"	"YBR207W"	0.229511291310336
"257"	"YBR208C"	-0.121897955371005
"258"	"YBR209W"	0.0837595144846283
"259"	"YBR210W"	-0.235813982791492
"260"	"YBR212W"	-1.23519631232356
"261"	"YBR214W"	0.333266678926265
"262"	"YBR215W"	-1.56882052840066
"263"	"YBR216C"	0.18896174924014
"264"	"YBR217W"	0.0171145446588731
"265"	"YBR218C"	0.126017522410757
"266"	"YBR219C"	0.144752060175885
"267"	"YBR220C"	-0.0296937041220309
"268"	"YBR221C"	-1.57943999226601
"269"	"YBR223C"	-0.00128899006853772
"270"	"YBR224W"	0.0796385636017458
"271"	"YBR225W"	0.275298969795245
"272"	"YBR226C"	0.0177209505274929
"273"	"YBR229C"	0.156623078634377
"274"	"YBR231C"	-0.316718779675316
"275"	"YBR232C"	-0.115237453747666
"276"	"YBR233W"	0.301127578518532
"277"	"YBR235W"	0.167547308522174
"278"	"YBR239C"	0.210351757071397
"279"	"YBR240C"	-1.21133245242326
"280"	"YBR241C"	-0.0485793996271692
"281"	"YBR245C"	-0.0149621606881311
"282"	"YBR248C"	-3.82489869893696
"283"	"YBR250W"	0.238639609753431
"284"	"YBR255W"	0.164788092627275
"285"	"YBR258C"	-0.0764715774043874
"286"	"YBR259W"	-0.0410887879569217
"287"	"YBR260C"	-0.149763946957128
"288"	"YBR261C"	0.0790115014059055
"289"	"YBR262C"	0.158202295317823
"290"	"YBR263W"	0.089919949284422
"291"	"YBR264C"	0.0260658373711716
"292"	"YBR266C"	-3.65674773251164
"293"	"YBR267W"	0.0264576246854554
"294"	"YBR269C"	-0.0642573626516328
"295"	"YBR270C"	0.194912734476379
"296"	"YBR271W"	-0.0106827682586747
"297"	"YBR274W"	-0.124871388417082
"298"	"YBR275C"	-0.014714437098027
"299"	"YBR276C"	-0.0356793737892762
"300"	"YBR277C"	0.210836908296549
"301"	"YBR278W"	0.329151939974739
"302"	"YBR280C"	0.181845861649061
"303"	"YBR281C"	-0.0030246922803396
"304"	"YBR283C"	-0.99150275407806
"305"	"YBR284W"	0.0293581896930944
"306"	"YBR285W"	-0.0755489890360568
"307"	"YBR286W"	-0.0752003720214218
"308"	"YBR287W"	0.15001724727977
"309"	"YBR289W"	0.229257252959703
"310"	"YBR290W"	0.278676834150459
"311"	"YBR291C"	0.480689206201602
"312"	"YBR292C"	0.0787270037220852
"313"	"YBR293W"	-0.493686296246676
"314"	"YBR294W"	0.0289262137700479
"315"	"YBR295W"	0.0445257616996032
"316"	"YBR296C"	0.00259890093810152
"317"	"YBR297W"	-0.527166482057312
"318"	"YBR298C"	-0.0777602431194463
"319"	"YBR301W"	0.0345193948866984
"320"	"YCL001W-A"	-0.458462034687847
"321"	"YCL001W"	0.088371176624301
"322"	"YCL006C"	0.0467885444233196
"323"	"YCL010C"	0.145420866249141
"324"	"YCL011C"	0.103476991884156
"325"	"YCL012W"	-0.0215308824613713
"326"	"YCL013W"	0.109120817036748
"327"	"YCL014W"	0.0169107601829201
"328"	"YCL016C"	0.575879194473256
"329"	"YCL022C"	0.221262809527394
"330"	"YCL023C"	0.0827673184610963
"331"	"YCL024W"	0.0521391881443365
"332"	"YCL025C"	0.02460354961272
"333"	"YCL026C-A"	0.190340542380167
"334"	"YCL026C"	0.276157569666227
"335"	"YCL027W"	-0.574369124805971
"336"	"YCL028W"	0.0448177369165592
"337"	"YCL029C"	0.429338736960283
"338"	"YCL034W"	-0.333698659064313
"339"	"YCL035C"	0.219982266178308
"340"	"YCL038C"	-0.203085663600126
"341"	"YCL039W"	-0.273055590461403
"342"	"YCL042W"	0.221559935835655
"343"	"YCL046W"	0.122889906247686
"344"	"YCL048W"	0.0159969134463519
"345"	"YCL049C"	-0.0446744480603238
"346"	"YCL050C"	0.0846521915270792
"347"	"YCL051W"	0.242991548289874
"348"	"YCL055W"	0.170782154375745
"349"	"YCL057W"	-0.123315089626269
"350"	"YCL061C"	0.311846429910347
"351"	"YCL062W"	-0.0387932981777018
"352"	"YCL063W"	0.290914071893942
"353"	"YCL064C"	0.0277603005641829
"354"	"YCL069W"	0.106252071433501
"355"	"YCL074W"	0.179822461971624
"356"	"YCL075W"	0.19672566336698
"357"	"YCL076W"	-0.0344982665295878
"358"	"YCR001W"	-0.385075010066689
"359"	"YCR005C"	0.143491035658403
"360"	"YCR006C"	-0.910709981676856
"361"	"YCR007C"	0.139647910376186
"362"	"YCR008W"	0.0818028104652284
"363"	"YCR009C"	0.382128257513669
"364"	"YCR010C"	0.444515003305165
"365"	"YCR011C"	0.0106142916535194
"366"	"YCR014C"	0.0637712977987822
"367"	"YCR015C"	0.120185389026781
"368"	"YCR016W"	0.0167528778198776
"369"	"YCR017C"	0.180089837586675
"370"	"YCR019W"	-0.0697601505237169
"371"	"YCR020C-A"	0.0383357445134326
"372"	"YCR020C"	0.0837594724313303
"373"	"YCR021C"	0.156915065761894
"374"	"YCR022C"	0.374752584292475
"375"	"YCR023C"	0.365365420432735
"376"	"YCR024C-A"	-0.00160718221245869
"377"	"YCR025C"	-0.309217689335645
"378"	"YCR027C"	0.0907495253824565
"379"	"YCR028C-A"	-3.34713202888366
"380"	"YCR030C"	0.0751418981234064
"381"	"YCR031C"	0.219509101364094
"382"	"YCR032W"	0.0310003944733548
"383"	"YCR033W"	0.188439904133109
"384"	"YCR034W"	0.564096579480097
"385"	"YCR036W"	0.296045103559247
"386"	"YCR037C"	0.251791155606086
"387"	"YCR043C"	0.284705971386681
"388"	"YCR044C"	0.407696717045761
"389"	"YCR045C"	-0.0950673435690186
"390"	"YCR048W"	0.173785800907714
"391"	"YCR049C"	0.0688740385382246
"392"	"YCR050C"	-0.0649847688228412
"393"	"YCR051W"	0.221503248811287
"394"	"YCR053W"	0.339293560339262
"395"	"YCR059C"	0.238063563986028
"396"	"YCR060W"	0.187652569794002
"397"	"YCR061W"	0.169350144721147
"398"	"YCR062W"	-0.708204466512056
"399"	"YCR065W"	-0.107558893545275
"400"	"YCR068W"	0.124768204278736
"401"	"YCR069W"	0.0315992160104753
"402"	"YCR071C"	-3.9243860626995
"403"	"YCR073C"	0.217448239396158
"404"	"YCR073W-A"	-1.10140902236332
"405"	"YCR075C"	0.108027504055378
"406"	"YCR076C"	-0.184221386044469
"407"	"YCR077C"	0.812924792095187
"408"	"YCR079W"	-0.373253621057085
"409"	"YCR081W"	0.0498162249461907
"410"	"YCR082W"	-0.165353515173556
"411"	"YCR085W"	0.0609058793359561
"412"	"YCR086W"	0.324132319360639
"413"	"YCR087C-A"	-0.137887263654006
"414"	"YCR087W"	-0.131361444283561
"415"	"YCR088W"	0.140045512408206
"416"	"YCR090C"	-0.184639224004045
"417"	"YCR092C"	-0.0108825370581822
"418"	"YCR095C"	0.0475410308864214
"419"	"YCR098C"	0.0495391783795964
"420"	"YCR099C"	0.199718695416305
"421"	"YCR100C"	0.0410130710793126
"422"	"YCR101C"	0.0584090545183618
"423"	"YCR102C"	-0.138335217714021
"424"	"YCR102W-A"	0.206842381021961
"425"	"YCR105W"	-0.0790806921597087
"426"	"YCR106W"	-0.16309635514065
"427"	"YCR107W"	0.0789719176309884
"428"	"YDL001W"	-2.19327085504046
"429"	"YDL002C"	-2.26591748229518
"430"	"YDL006W"	-2.71869042906045
"431"	"YDL010W"	-0.0875188201609623
"432"	"YDL011C"	0.0160827661511102
"433"	"YDL012C"	-1.1637537914238
"434"	"YDL013W"	-2.0501525887261
"435"	"YDL018C"	-0.161653344573315
"436"	"YDL019C"	-0.331136857212678
"437"	"YDL020C"	-0.0892122412368339
"438"	"YDL024C"	0.0378183865666333
"439"	"YDL025C"	-0.0453369083434364
"440"	"YDL026W"	-0.146837139586062
"441"	"YDL035C"	-0.140190230058224
"442"	"YDL036C"	-0.141064032388674
"443"	"YDL037C"	-0.0798995887538291
"444"	"YDL038C"	-0.128908763979971
"445"	"YDL039C"	-0.182304715855741
"446"	"YDL048C"	-0.145986013694905
"447"	"YDL050C"	-0.17084243594293
"448"	"YDL051W"	-0.224007074379396
"449"	"YDL052C"	-0.31355258676842
"450"	"YDL054C"	0.0806466307481424
"451"	"YDL056W"	0.159252489610923
"452"	"YDL059C"	0.0362949013246558
"453"	"YDL063C"	0.072122382359923
"454"	"YDL066W"	0.0384321860382095
"455"	"YDL070W"	-0.0980258169113255
"456"	"YDL071C"	-0.246292883036429
"457"	"YDL074C"	-0.467372775289558
"458"	"YDL076C"	0.0721667142732975
"459"	"YDL077C"	0.169074127362604
"460"	"YDL078C"	-0.312159236872777
"461"	"YDL079C"	0.112645504135332
"462"	"YDL080C"	-0.42563347241833
"463"	"YDL081C"	0.134857679227112
"464"	"YDL082W"	0.202232349198501
"465"	"YDL083C"	0.216486089752967
"466"	"YDL085W"	-0.17520867220515
"467"	"YDL086W"	-0.00603779262665323
"468"	"YDL088C"	0.0982836490081136
"469"	"YDL089W"	-0.103951640469402
"470"	"YDL091C"	-0.207809534303216
"471"	"YDL093W"	-0.122715790502759
"472"	"YDL094C"	-0.133392060215404
"473"	"YDL096C"	0.082483753820411
"474"	"YDL100C"	-0.669305302567341
"475"	"YDL106C"	0.443773454058561
"476"	"YDL109C"	-0.0116082611361812
"477"	"YDL110C"	0.138726105605873
"478"	"YDL112W"	0.152524105510158
"479"	"YDL114W"	-0.599695763781708
"480"	"YDL119C"	0.184332997622417
"481"	"YDL121C"	-0.239197947196411
"482"	"YDL122W"	0.0812719240015817
"483"	"YDL123W"	0.116621953820901
"484"	"YDL127W"	-1.55611948631032
"485"	"YDL128W"	-1.7530216673191
"486"	"YDL130W-A"	0.0828864543711703
"487"	"YDL130W"	-0.359791968420062
"488"	"YDL133C-A"	0.195648497049574
"489"	"YDL134C"	0.397557386447771
"490"	"YDL136W"	0.173147216536085
"491"	"YDL137W"	-0.584828867007352
"492"	"YDL142C"	0.445965591756154
"493"	"YDL144C"	-0.00537458719321378
"494"	"YDL149W"	0.0673555478580551
"495"	"YDL154W"	0.0705345685195644
"496"	"YDL155W"	-0.157401378579694
"497"	"YDL156W"	0.154328041580764
"498"	"YDL161W"	0.0704335443560018
"499"	"YDL162C"	-0.685800374457525
"500"	"YDL168W"	0.0172699415750028
"501"	"YDL169C"	0.0542528123974705
"502"	"YDL170W"	-0.216476188746007
"503"	"YDL171C"	-0.104144488142912
"504"	"YDL172C"	0.543743804561838
"505"	"YDL173W"	0.176253329055833
"506"	"YDL174C"	-0.0608882270512509
"507"	"YDL177C"	-0.0235682696148129
"508"	"YDL178W"	-0.204145157984829
"509"	"YDL180W"	-0.122767985000038
"510"	"YDL182W"	-0.018890395296131
"511"	"YDL184C"	0.208261506316377
"512"	"YDL186W"	0.1441192132006
"513"	"YDL187C"	0.203861860897914
"514"	"YDL188C"	0.119015080190074
"515"	"YDL189W"	0.166940071851946
"516"	"YDL190C"	-1.76345563886075
"517"	"YDL191W"	-0.267236161484251
"518"	"YDL194W"	0.737315255083834
"519"	"YDL197C"	-3.05761674846086
"520"	"YDL199C"	-0.0702846447807512
"521"	"YDL200C"	0.00304716012378252
"522"	"YDL201W"	0.00771675952849218
"523"	"YDL203C"	0.145076230486589
"524"	"YDL204W"	0.242339980737048
"525"	"YDL210W"	0.0976179185307727
"526"	"YDL211C"	-0.0288201956115224
"527"	"YDL214C"	3.04689584461181
"528"	"YDL215C"	0.102728680368356
"529"	"YDL218W"	-0.149674008567003
"530"	"YDL219W"	-0.459659287381599
"531"	"YDL223C"	-0.598013685466885
"532"	"YDL224C"	-0.344321738780672
"533"	"YDL226C"	-0.0397402065941604
"534"	"YDL227C"	0.0827144946783145
"535"	"YDL229W"	-0.00448074866292551
"536"	"YDL230W"	0.0269027492423364
"537"	"YDL231C"	0.19872878231356
"538"	"YDL233W"	-0.00281570471104307
"539"	"YDL236W"	0.0971820814917288
"540"	"YDL237W"	-2.04241270769478
"541"	"YDL239C"	-0.115755586875282
"542"	"YDL240W"	-0.551553829162074
"543"	"YDL241W"	0.0752604082360095
"544"	"YDL242W"	0.0194874154418045
"545"	"YDL243C"	-0.036753214286757
"546"	"YDR001C"	-0.0013939268121542
"547"	"YDR004W"	-3.31141146232155
"548"	"YDR005C"	-2.96189482220211
"549"	"YDR006C"	-1.7206947095769
"550"	"YDR007W"	-3.65770276893853
"551"	"YDR009W"	-0.136001698507794
"552"	"YDR010C"	0.0315396801305624
"553"	"YDR011W"	0.104218270770325
"554"	"YDR014W"	0.0340977434048774
"555"	"YDR015C"	-0.116615393256996
"556"	"YDR018C"	-0.0301334254677055
"557"	"YDR019C"	-3.72937806130953
"558"	"YDR020C"	0.113207649245043
"559"	"YDR022C"	-0.0340610839061279
"560"	"YDR024W"	-0.280352652085059
"561"	"YDR025W"	-0.735700060059464
"562"	"YDR026C"	-0.0563625955016017
"563"	"YDR030C"	0.256128490717969
"564"	"YDR033W"	0.0165995585010746
"565"	"YDR035W"	0.0510705935296356
"566"	"YDR036C"	0.150844731080315
"567"	"YDR046C"	-0.0071852733845842
"568"	"YDR048C"	-0.108191229590033
"569"	"YDR049W"	-0.328576503500159
"570"	"YDR051C"	-0.0458684788036712
"571"	"YDR055W"	-0.612974611491934
"572"	"YDR057W"	-0.640600304391643
"573"	"YDR058C"	0.032376564273731
"574"	"YDR061W"	-0.157615165381191
"575"	"YDR063W"	0.862008083242724
"576"	"YDR066C"	0.10154612635193
"577"	"YDR067C"	-0.136137522505028
"578"	"YDR068W"	-0.119596150393455
"579"	"YDR070C"	-0.0524577188795242
"580"	"YDR071C"	0.241454210314495
"581"	"YDR072C"	0.116174956367889
"582"	"YDR073W"	-0.436729711179239
"583"	"YDR074W"	-0.473843266966499
"584"	"YDR076W"	0.330596844613623
"585"	"YDR080W"	0.815172034726584
"586"	"YDR083W"	-0.0309552511415598
"587"	"YDR085C"	-0.119479710317847
"588"	"YDR089W"	-0.228154063822504
"589"	"YDR090C"	0.0678399404444735
"590"	"YDR093W"	-0.62506493409747
"591"	"YDR094W"	-0.184153517026402
"592"	"YDR095C"	-0.0680836585492404
"593"	"YDR097C"	-0.00922172170521246
"594"	"YDR098C"	0.182600443460133
"595"	"YDR099W"	-0.000560322956957045
"596"	"YDR100W"	-0.623597490644915
"597"	"YDR101C"	0.0917515764553943
"598"	"YDR102C"	-0.201651883270013
"599"	"YDR104C"	0.0615485552046807
"600"	"YDR108W"	-0.0484467791684734
"601"	"YDR109C"	0.127027892957163
"602"	"YDR110W"	-0.154118483581877
"603"	"YDR111C"	-0.227373978063648
"604"	"YDR112W"	-0.24752742614111
"605"	"YDR116C"	-0.236975525454905
"606"	"YDR117C"	-0.724558879170967
"607"	"YDR119W"	0.0472351539883272
"608"	"YDR120C"	-0.398659834902796
"609"	"YDR121W"	0.369662334676529
"610"	"YDR122W"	-0.0624182436106676
"611"	"YDR123C"	0.223844763714058
"612"	"YDR124W"	-0.0943807123950373
"613"	"YDR125C"	0.0253533037180328
"614"	"YDR126W"	0.102730997266809
"615"	"YDR127W"	-0.329839836404799
"616"	"YDR128W"	0.164004366489549
"617"	"YDR130C"	-0.440130883891061
"618"	"YDR131C"	-0.0616076939350992
"619"	"YDR132C"	-0.200917056808152
"620"	"YDR133C"	-0.18909968896115
