"gene"	"BMIMCl"
"1"	"YAL002W"	-1.18773641139317
"2"	"YAL004W"	-0.215619755524793
"3"	"YAL005C"	-0.342136959802054
"4"	"YAL008W"	0.238970448136986
"5"	"YAL010C"	-0.774699472614963
"6"	"YAL011W"	-0.295462906518811
"7"	"YAL013W"	0.241839361173572
"8"	"YAL014C"	0.0379430661822223
"9"	"YAL015C"	0.41546841525131
"10"	"YAL017W"	0.0353326715472343
"11"	"YAL018C"	-0.00567370876141316
"12"	"YAL019W"	0.376915662137885
"13"	"YAL020C"	0.158264578373669
"14"	"YAL022C"	-0.117643254218649
"15"	"YAL023C"	1.21547637491636
"16"	"YAL024C"	-0.0931090409916407
"17"	"YAL026C"	0.569821449592213
"18"	"YAL027W"	0.138045648899738
"19"	"YAL028W"	-0.275452944404817
"20"	"YAL029C"	0.224030320621692
"21"	"YAL030W"	0.0292131220877892
"22"	"YAL031C"	0.120073630518275
"23"	"YAL034C"	-0.215857086071413
"24"	"YAL036C"	-0.0218206821928027
"25"	"YAL037W"	0.323375488297687
"26"	"YAL040C"	-0.326016128268023
"27"	"YAL042W"	0.102999508209256
"28"	"YAL043C-A"	-0.256475936224233
"29"	"YAL045C"	0.0640969698193633
"30"	"YAL046C"	-0.130951451408037
"31"	"YAL048C"	-0.125049050101777
"32"	"YAL049C"	0.153767684402558
"33"	"YAL051W"	-0.140341516491513
"34"	"YAL053W"	0.101901017752972
"35"	"YAL054C"	0.976295160430024
"36"	"YAL055W"	0.0527472203877166
"37"	"YAL056W"	-0.141101992517218
"38"	"YAL058C-A"	-0.10549107357313
"39"	"YAL059W"	-0.196224705999248
"40"	"YAL060W"	-0.105975477271916
"41"	"YAL061W"	-0.311519366672879
"42"	"YAL062W"	0.16958844005748
"43"	"YAL064C-A"	0.126346829382102
"44"	"YAL065C"	0.0149816360654284
"45"	"YAL066W"	-0.159177257241595
"46"	"YAL067C"	0.254004925890738
"47"	"YAL068C"	-0.310351799035514
"48"	"YAR002C-A"	-0.146821697954597
"49"	"YAR002W"	0.233773311276466
"50"	"YAR003W"	-0.606429291387057
"51"	"YAR014C"	-0.757453574211222
"52"	"YAR015W"	0.275434723131891
"53"	"YAR020C"	0.0136959392870181
"54"	"YAR023C"	-0.0428235477061256
"55"	"YAR027W"	0.0914273121268945
"56"	"YAR028W"	0.0777774786971322
"57"	"YAR029W"	0.0324856339015589
"58"	"YAR030C"	-0.165726102131355
"59"	"YAR031W"	-0.200906080594468
"60"	"YAR035W"	0.02962438795081
"61"	"YAR037W"	0.0239297297219308
"62"	"YAR040C"	0.0209229598703475
"63"	"YAR043C"	-0.075545093566247
"64"	"YAR044W"	0.101677579392433
"65"	"YAR047C"	0.315693830566228
"66"	"YBL003C"	0.207501741866684
"67"	"YBL005W"	-3.44672220004025
"68"	"YBL007C"	-0.0866597943515902
"69"	"YBL009W"	0.320231396282762
"70"	"YBL010C"	0.00844380882390835
"71"	"YBL015W"	0.109719652592071
"72"	"YBL016W"	-1.13998074778642
"73"	"YBL017C"	-2.17578762922023
"74"	"YBL019W"	0.0240902865531922
"75"	"YBL021C"	0.0935928422896745
"76"	"YBL024W"	0.0191764164819256
"77"	"YBL027W"	0.438930449579596
"78"	"YBL028C"	-0.161797885521714
"79"	"YBL029W"	-0.817007046664092
"80"	"YBL031W"	-0.404052609663731
