"gene"	"MBO"
"1"	"YAL002W"	-1.55055011087426
"2"	"YAL004W"	-0.802685010927588
"3"	"YAL005C"	-0.895335489258238
"4"	"YAL008W"	-0.237428169807921
"5"	"YAL010C"	-4.26611692281704
"6"	"YAL011W"	0.0413362434330719
"7"	"YAL013W"	-1.04661423607744
"8"	"YAL014C"	0.208890553327869
"9"	"YAL015C"	-0.0158727635712746
"10"	"YAL017W"	0.0166652556177991
"11"	"YAL018C"	-0.385190468997561
"12"	"YAL019W"	-0.258064548843545
"13"	"YAL020C"	-0.128538057047812
"14"	"YAL022C"	-0.184236693109078
"15"	"YAL023C"	-0.625787696578897
"16"	"YAL024C"	-1.878815170187
"17"	"YAL026C"	-2.16903657691023
"18"	"YAL027W"	-0.28840252304927
"19"	"YAL028W"	-0.14730930479789
"20"	"YAL029C"	-0.0526982696589777
"21"	"YAL030W"	-0.324232591623734
"22"	"YAL031C"	0.18696468942264
"23"	"YAL034C"	-0.103397120630307
"24"	"YAL036C"	-0.36552621147624
"25"	"YAL037W"	0.00286347980731612
"26"	"YAL040C"	-2.37648262373686
"27"	"YAL042W"	-1.39175589727428
"28"	"YAL043C-A"	-1.55896278023913
"29"	"YAL045C"	0.255642892174087
"30"	"YAL046C"	-0.0449674577527865
"31"	"YAL048C"	-0.133384821528528
"32"	"YAL049C"	0.0293639350045752
"33"	"YAL051W"	-0.244828567094651
"34"	"YAL053W"	0.156803825655187
"35"	"YAL054C"	0.906107151978917
"36"	"YAL055W"	-1.0845222610995
"37"	"YAL056W"	-0.211598587053369
"38"	"YAL058C-A"	-0.392634567875693
"39"	"YAL059W"	-3.25653002845924
"40"	"YAL060W"	-0.231858574353639
"41"	"YAL061W"	0.170325494959842
"42"	"YAL062W"	0.121758529467023
"43"	"YAL064C-A"	0.117005214598697
"44"	"YAL065C"	0.0573521830711266
"45"	"YAL066W"	0.0513148390712327
"46"	"YAL067C"	0.114765044209232
"47"	"YAL068C"	0.136351696531917
"48"	"YAR002C-A"	0.178180706860154
"49"	"YAR002W"	-0.98668215447484
"50"	"YAR003W"	-1.48272410517166
"51"	"YAR014C"	-0.00742589025239229
"52"	"YAR015W"	0.238512731177686
"53"	"YAR020C"	-0.0311135207227045
"54"	"YAR023C"	0.120462769592292
"55"	"YAR027W"	-0.341248538312939
"56"	"YAR028W"	-0.636200295381524
"57"	"YAR029W"	-0.204532750707432
"58"	"YAR030C"	-0.0465564147701107
"59"	"YAR031W"	-0.164698802148078
"60"	"YAR035W"	-0.416753664848909
"61"	"YAR037W"	-0.169617683317454
"62"	"YAR040C"	0.0238333574241386
"63"	"YAR043C"	-0.616030919141252
"64"	"YAR044W"	0.00982298567310289
"65"	"YAR047C"	0.0792218160207853
"66"	"YBL003C"	1.14110608493206
"67"	"YBL005W"	0.3251534016388
"68"	"YBL007C"	0.0343584832373594
"69"	"YBL009W"	0.38848730277085
"70"	"YBL010C"	0.353354545757901
