"gene"	"AcetoSyringone"
"135"	"YBR006W"	-0.143834310974874
"136"	"YBR007C"	-0.0606268840857378
"137"	"YBR008C"	0.632027200826047
"138"	"YBR009C"	1.66592857411854
"139"	"YBR010W"	0.468710506855962
"140"	"YBR012C"	-0.251808258288103
"141"	"YBR013C"	0.100115439178391
"142"	"YBR014C"	0.668413711139282
"143"	"YBR015C"	0.16163871718998
"144"	"YBR016W"	-1.57703597112222
"145"	"YBR018C"	1.03155312183396
"146"	"YBR022W"	-0.0902363515352546
"147"	"YBR024W"	0.254678491017916
"148"	"YBR025C"	0.16546315392661
"149"	"YBR026C"	-0.289354140795066
"150"	"YBR027C"	0.47545198209073
"151"	"YBR028C"	0.344735818077302
"152"	"YBR030W"	1.29428500938274
"153"	"YBR031W"	0.559087769139369
"154"	"YBR032W"	-0.0724474061237625
"155"	"YBR033W"	0.136790988886161
"156"	"YBR034C"	-0.338439609790102
"157"	"YBR036C"	-2.51133989612038
"158"	"YBR040W"	0.258910476014189
"159"	"YBR041W"	-0.26389570810875
"160"	"YBR042C"	1.65440825833171
"161"	"YBR043C"	-0.275801646619136
"162"	"YBR044C"	0.0337114901130292
"163"	"YBR045C"	0.35341714678432
"164"	"YBR047W"	0.215596154853297
"165"	"YBR048W"	-0.246366788534833
"166"	"YBR052C"	0.349066284036346
"167"	"YBR053C"	0.140724192076671
"168"	"YBR054W"	0.209626350723967
"169"	"YBR056W"	0.221351531651237
"170"	"YBR057C"	0.365944625172621
"171"	"YBR058C"	-0.579649874329615
"172"	"YBR059C"	0.274932897335149
"173"	"YBR061C"	-0.568601454121612
"174"	"YBR062C"	0.297285413360176
"175"	"YBR063C"	0.00716013817215118
"176"	"YBR064W"	0.0538833087517618
"177"	"YBR065C"	0.998515469170948
"178"	"YBR068C"	0.203887870132179
"179"	"YBR069C"	-0.30503758516317
"180"	"YBR071W"	-1.06755214454217
"181"	"YBR072W"	0.202558047328106
"182"	"YBR073W"	-0.259377297519387
"183"	"YBR074W"	-0.0367734192594698
"184"	"YBR075W"	0.143766743669212
"185"	"YBR076W"	0.0881567228265173
"186"	"YBR077C"	-1.0810279243098
"187"	"YBR078W"	0.17206217342973
"188"	"YBR082C"	1.53004079541432
"189"	"YBR083W"	-0.290181012908042
"190"	"YBR084C-A"	0.42436558065019
"191"	"YBR084W"	0.308714162360246
"192"	"YBR085W"	0.614571001383356
"193"	"YBR086C"	0.872728783390952
"194"	"YBR090C-A"	-0.223120774340917
"195"	"YBR090C"	-0.762753433604725
"196"	"YBR092C"	0.106982261677113
"197"	"YBR095C"	0.879791842615174
"198"	"YBR098W"	0.234787926486547
"199"	"YBR099C"	-0.199178790871138
"200"	"YBR100W"	0.00613789388004168
"201"	"YBR104W"	-0.124360486277716
"202"	"YBR105C"	0.190401471739735
"203"	"YBR107C"	-0.420523394705172
"204"	"YBR108W"	0.451951252478555
"205"	"YBR111C"	0.310430922384381
"206"	"YBR113W"	2.25602665640993
"207"	"YBR114W"	-0.0418757636028598
"208"	"YBR115C"	3.34936378020625
"209"	"YBR116C"	-0.162564420275667
"210"	"YBR118W"	0.897225026960748
"211"	"YBR119W"	1.2115220863201
"212"	"YBR125C"	-0.0563246331863994
"213"	"YBR126C"	-0.0602196932793253
"214"	"YBR128C"	-0.495154833474375
"215"	"YBR129C"	0.374148654380657
"216"	"YBR130C"	0.42980189171165
"217"	"YBR132C"	0.289778848014037
"218"	"YBR134W"	0.0409823034470088
"219"	"YBR137W"	0.297268748031353
"220"	"YBR138C"	0.317614159331713
"221"	"YBR141C"	-0.50791514886696
"222"	"YBR144C"	-1.52947242074677
"223"	"YBR145W"	0.138527539090178
"224"	"YBR147W"	0.270833921459688
"225"	"YBR148W"	0.167115198823849
"226"	"YBR150C"	0.427533051727836
"227"	"YBR151W"	0.090350014380113
"228"	"YBR156C"	0.793159209158276
"229"	"YBR157C"	0.183489658657173
"230"	"YBR161W"	-0.283601627650405
"231"	"YBR162C"	0.895043484991035
"232"	"YBR162W-A"	-0.763214650426265
"233"	"YBR164C"	-2.2506857420762
"234"	"YBR165W"	-0.129774346865353
"235"	"YBR166C"	-1.5529600686308
"236"	"YBR168W"	1.15649759437309
"237"	"YBR171W"	-0.767592814919381
"238"	"YBR172C"	0.368915596668422
"239"	"YBR174C"	-0.410318880599828
"240"	"YBR175W"	-0.345517108856482
"241"	"YBR176W"	-0.0891432168172027
"242"	"YBR177C"	0.0731172474041689
"243"	"YBR178W"	-1.74646813385274
"244"	"YBR180W"	0.25078651217217
"245"	"YBR184W"	0.170612617940015
"246"	"YBR185C"	0.494983709989955
"247"	"YBR186W"	-0.061397313616276
"248"	"YBR197C"	-0.240167655791252
"249"	"YBR199W"	-0.119014253562448
"250"	"YBR200W"	1.81693509451767
"251"	"YBR203W"	-0.463466224043711
"252"	"YBR204C"	1.07101754985229
"253"	"YBR205W"	-0.20434630034605
"254"	"YBR206W"	-0.030170710434811
"255"	"YBR207W"	0.169297263438372
"256"	"YBR208C"	-0.0368850547472247
"257"	"YBR209W"	-0.80933612312128
"258"	"YBR210W"	0.379796519216867
"259"	"YBR214W"	0.198775129639782
"260"	"YBR215W"	-3.94399655731983
"261"	"YBR216C"	0.505552980753324
"262"	"YBR217W"	0.216403137401135
"263"	"YBR218C"	-0.402574749745227
"264"	"YBR219C"	-0.095661613738347
"265"	"YBR220C"	0.0824658340480269
"266"	"YBR221C"	-1.45234940171384
"267"	"YBR222C"	-1.09412810768231
"268"	"YBR223C"	-0.236732175939907
"269"	"YBR224W"	0.108230419197823
"270"	"YBR225W"	-0.796334339559888
"271"	"YBR226C"	-0.652363690269479
"272"	"YBR229C"	0.558647408917531
"273"	"YBR231C"	-4.23741321516317
"274"	"YBR232C"	0.119822603657801
"275"	"YBR233W"	-0.967182081842463
"276"	"YBR235W"	0.474932234250334
"277"	"YBR239C"	-0.139776648289775
"278"	"YBR240C"	0.949803983255166
"279"	"YBR241C"	0.0106171259357712
"280"	"YBR245C"	-1.80319246464192
"281"	"YBR248C"	1.83658962325872
"282"	"YBR250W"	-0.106201632248338
"283"	"YBR255W"	-0.291339745597211
"284"	"YBR258C"	-0.591619167174835
"285"	"YBR259W"	-0.276208435498512
"286"	"YBR260C"	-0.246556188173764
"287"	"YBR261C"	0.375454042320654
"288"	"YBR262C"	-0.567897094729988
"289"	"YBR263W"	-0.670993917856265
"290"	"YBR264C"	-0.132303981458054
"291"	"YBR266C"	2.9700372971325
"292"	"YBR267W"	-0.572994078983264
"293"	"YBR269C"	0.274585056344605
"294"	"YBR270C"	-0.428165704946009
"295"	"YBR271W"	-0.538540345822097
"296"	"YBR274W"	-0.153737028825616
"297"	"YBR275C"	0.182298560907591
"298"	"YBR276C"	0.032872385592979
"299"	"YBR277C"	-0.745379038519833
"300"	"YBR278W"	0.536382500574417
"301"	"YBR280C"	-0.696780975506071
"302"	"YBR281C"	0.0253709587682395
"303"	"YBR283C"	-0.570949051125094
"304"	"YBR284W"	0.420404233346259
"305"	"YBR285W"	-0.117578033897588
"306"	"YBR286W"	-0.360032071638813
"307"	"YBR287W"	-0.413551277660383
"308"	"YBR289W"	-2.38833733269872
"309"	"YBR290W"	-0.256205825961876
"310"	"YBR291C"	2.34801371018996
"311"	"YBR292C"	0.562616076195537
"312"	"YBR293W"	0.211130835221038
"313"	"YBR294W"	0.187332825739479
"314"	"YBR295W"	0.0848983582936726
"315"	"YBR296C"	0.0533091981183341
"316"	"YBR297W"	-0.0902436627060808
"317"	"YBR298C"	-0.049853054600131
"318"	"YBR301W"	0.0130548782885882
"319"	"YCL001W-A"	1.39640049010953
"320"	"YCL001W"	-0.188951312544096
"321"	"YCL006C"	-0.28515357441053
"322"	"YCL010C"	-1.6211979788156
"323"	"YCL011C"	0.0649930764822032
"324"	"YCL012W"	0.0370323751170312
"325"	"YCL013W"	0.0537321708674988
"326"	"YCL014W"	-0.301654031332354
"327"	"YCL016C"	-1.74646813385274
"328"	"YCL022C"	-0.454503994860512
"329"	"YCL023C"	0.410256333223809
"330"	"YCL024W"	0.232190263452507
"331"	"YCL025C"	-0.0218936205131248
"332"	"YCL026C-A"	-0.426916380901418
"333"	"YCL026C"	0.101600507731435
"334"	"YCL027W"	0.000272770735668104
"335"	"YCL028W"	-0.0853784681693284
"336"	"YCL029C"	1.1311780007873
"337"	"YCL034W"	0.0974058242992481
"338"	"YCL035C"	-0.142820661785703
"339"	"YCL038C"	-0.125307773630153
"340"	"YCL039W"	0.00468595901281284
"341"	"YCL042W"	-0.519082321846229
"342"	"YCL046W"	0.571439699069849
"343"	"YCL048W"	0.148031694123387
"344"	"YCL049C"	-0.00882758631772068
"345"	"YCL050C"	-0.210674216180525
"346"	"YCL051W"	0.0816225408248388
"347"	"YCL055W"	-0.0915989729585015
"348"	"YCL057W"	-0.273958472199852
"349"	"YCL061C"	0.173438561419776
"350"	"YCL062W"	-0.303888624539077
"351"	"YCL063W"	0.76776177279565
"352"	"YCL064C"	0.939970184618073
"353"	"YCL069W"	0.71681044365353
"354"	"YCL074W"	-1.08475968794082
"355"	"YCL075W"	-0.579088746367317
"356"	"YCL076W"	-0.174350107430276
"357"	"YCR001W"	-0.305525824047615
"358"	"YCR005C"	-0.0994071448876098
"359"	"YCR006C"	0.228461143954785
"360"	"YCR007C"	-0.537185565988343
"361"	"YCR008W"	0.473581744459841
"362"	"YCR009C"	0.144383541856202
"363"	"YCR010C"	0.42592984990645
"364"	"YCR011C"	-0.0745689504870476
"365"	"YCR014C"	-0.0159597393822744
"366"	"YCR015C"	0.0269615438221284
"367"	"YCR016W"	-0.528591762583123
"368"	"YCR017C"	0.0789265178401661
"369"	"YCR019W"	-0.471583487046519
"370"	"YCR020C-A"	1.26554377430041
"371"	"YCR020C"	0.100708325592374
"372"	"YCR021C"	0.101495817208676
"373"	"YCR022C"	-0.347431447553429
"374"	"YCR023C"	0.44911715306473
"375"	"YCR024C-A"	0.0126725672144193
"376"	"YCR025C"	0.18142342883298
"377"	"YCR027C"	0.492350059046407
"378"	"YCR028C-A"	2.72870446680121
"379"	"YCR030C"	-0.491294771301983
"380"	"YCR031C"	0.418078649826315
"381"	"YCR032W"	-0.531667383908365
"382"	"YCR033W"	-0.733142016730336
"383"	"YCR034W"	0.244638723481477
"384"	"YCR036W"	0.461321672062667
"385"	"YCR037C"	0.0420188098851395
"386"	"YCR043C"	0.115345873814903
"387"	"YCR044C"	1.351761777115
"388"	"YCR045C"	0.0642361171436067
"389"	"YCR048W"	-0.571908384721851
"390"	"YCR049C"	-0.130230692033994
"391"	"YCR050C"	-0.144879444845804
"392"	"YCR051W"	0.101696575860158
"393"	"YCR053W"	-1.69694670820069
"394"	"YCR059C"	0.882648299519808
"395"	"YCR060W"	-1.08632512128813
"396"	"YCR061W"	-0.779155098556228
"397"	"YCR062W"	0.196253179486441
"398"	"YCR065W"	-1.61348340882536
"399"	"YCR068W"	-0.0411953920708442
