"gene"	"NAO"
"1"	"YAL002W"	-1.89797612827172
"2"	"YAL004W"	-0.316974666648209
"3"	"YAL005C"	-0.427237319789382
"4"	"YAL008W"	-0.376799526637739
"5"	"YAL010C"	-0.319270999990567
"6"	"YAL011W"	-0.627562514507165
"7"	"YAL013W"	1.62661940142219
"8"	"YAL014C"	0.085470545925057
"9"	"YAL015C"	-0.0106445239054242
"10"	"YAL017W"	-0.189843885095999
"11"	"YAL018C"	-0.206487824426245
"12"	"YAL019W"	0.0408359400043742
"13"	"YAL020C"	-0.0911664214234122
"14"	"YAL022C"	-0.382308404235015
"15"	"YAL023C"	0.964947316163989
"16"	"YAL024C"	0.356056740388357
"17"	"YAL026C"	1.30337369067649
"18"	"YAL027W"	-0.676079789225497
"19"	"YAL028W"	-0.669334388872659
"20"	"YAL029C"	0.0565099341056282
"21"	"YAL030W"	0.0188860838158114
"22"	"YAL031C"	0.174629181467017
"23"	"YAL034C"	-1.16018941843204
"24"	"YAL036C"	-0.0371978278329127
"25"	"YAL037W"	0.0412837923566165
"26"	"YAL040C"	-0.677873689234255
"27"	"YAL042W"	0.649675688939032
"28"	"YAL043C-A"	0.368495719985144
"29"	"YAL045C"	0.0432233020639315
"30"	"YAL046C"	0.0533165515926228
"31"	"YAL048C"	0.82526526997337
"32"	"YAL049C"	-0.131461316717926
"33"	"YAL051W"	-0.426649400142518
"34"	"YAL053W"	0.261667548151819
"35"	"YAL054C"	-0.211072183498778
"36"	"YAL055W"	-0.183072995546396
"37"	"YAL056W"	-0.209543396073769
"38"	"YAL058C-A"	-1.2071816476754
"39"	"YAL059W"	-0.135160201142141
"40"	"YAL060W"	-0.424853412612576
"41"	"YAL061W"	-0.339357381703145
"42"	"YAL062W"	0.0241570383231085
"43"	"YAL064C-A"	-0.118106680547475
"44"	"YAL065C"	0.0597999780365851
"45"	"YAL066W"	0.210762353981204
"46"	"YAL067C"	0.0903243417677255
"47"	"YAL068C"	0.107302082250141
"48"	"YAR002C-A"	-0.31728501005869
"49"	"YAR002W"	1.5937829043558
"50"	"YAR003W"	1.7940887622264
"51"	"YAR014C"	1.77977642452992
"52"	"YAR015W"	0.434561289346747
"53"	"YAR020C"	-0.138527303327607
"54"	"YAR023C"	-0.13829484783609
"55"	"YAR027W"	-0.350113490050509
"56"	"YAR028W"	-0.10351631094645
"57"	"YAR029W"	-0.695184554048428
"58"	"YAR030C"	-0.0558364739938736
"59"	"YAR031W"	-0.586348818990636
"60"	"YAR035W"	-0.301677531043912
"61"	"YAR037W"	-0.203858121942529
"62"	"YAR040C"	-0.549184303231611
"63"	"YAR043C"	0.589581159525234
"64"	"YAR044W"	0.571917469160655
"65"	"YAR047C"	0.206516846650906
"66"	"YBL003C"	4.67872724916757
"67"	"YBL005W"	1.36031327262307
"68"	"YBL007C"	3.05385057829271
"69"	"YBL009W"	4.61691755348228
"70"	"YBL010C"	0.300561517291905
"71"	"YBL015W"	0.23877253782527
"72"	"YBL016W"	-1.79531899718354
"73"	"YBL017C"	4.17369011311933
"74"	"YBL019W"	0.108410447601404
"75"	"YBL021C"	0.0990007629120642
"76"	"YBL024W"	0.533674461586904
"77"	"YBL027W"	4.71970884096485
"78"	"YBL028C"	0.242753132386042
"79"	"YBL029W"	0.31008220091345
"80"	"YBL031W"	-0.000571198073647654
"81"	"YBL032W"	0.513435677965845
"82"	"YBL036C"	0.0179571678062577
"83"	"YBL037W"	2.48606121692812
"84"	"YBL039C"	0.0997454195306506
"85"	"YBL042C"	0.533931975421961
"86"	"YBL043W"	2.53498152971898
"87"	"YBL046W"	0.0753863288345775
"88"	"YBL048W"	0.144736654163726
"89"	"YBL049W"	0.0987537470104128
"90"	"YBL051C"	0.719710141513422
"91"	"YBL052C"	0.341601987195751
"92"	"YBL053W"	0.610571930843434
"93"	"YBL054W"	0.16903030753744
"94"	"YBL055C"	0.379553195572549
"95"	"YBL056W"	-0.102821807357984
"96"	"YBL057C"	0.292480251643148
"97"	"YBL059W"	-0.103603196485115
"98"	"YBL060W"	-0.456655729000852
"99"	"YBL061C"	0.471763553641558
"100"	"YBL062W"	0.17173194158719
"101"	"YBL063W"	0.14167451723175
"102"	"YBL064C"	0.369936853350717
"103"	"YBL065W"	0.385321862098125
"104"	"YBL066C"	-0.787163085762872
"105"	"YBL067C"	0.466302158491658
"106"	"YBL068W"	0.0948414838711674
"107"	"YBL069W"	-0.494719397141526
"108"	"YBL070C"	0.13763554281285
"109"	"YBL071C"	0.329252751678012
