"gene"	"OHBenzoicAcid4"
"1"	"YAL004W"	0.174476285525778
"2"	"YAL005C"	0.251798532462766
"3"	"YAL008W"	-0.0339503657328888
"4"	"YAL010C"	-0.0447962223360539
"5"	"YAL011W"	0.114463526038949
"6"	"YAL013W"	-0.293989730943584
"7"	"YAL014C"	-0.027139431173814
"8"	"YAL015C"	-0.00378076912749353
"9"	"YAL017W"	0.0263925983746338
"10"	"YAL018C"	0.0273968548932783
"11"	"YAL019W"	0.191585114563259
"12"	"YAL020C"	0.00578714719423338
"13"	"YAL022C"	-0.0862364353274158
"14"	"YAL023C"	0.0121814049740485
"15"	"YAL024C"	0.0532577821037572
"16"	"YAL026C"	-0.177568677171049
"17"	"YAL027W"	0.043301796470989
"18"	"YAL028W"	0.0450740505894715
"19"	"YAL029C"	-0.0226837759012046
"20"	"YAL030W"	-0.0219636384095905
"21"	"YAL031C"	0.0234592157161
"22"	"YAL034C"	-0.0371847529653733
"23"	"YAL036C"	0.0543468252687985
"24"	"YAL037W"	0.0119735953680656
"25"	"YAL040C"	-1.16299134242513
"26"	"YAL042W"	-0.215409119400552
"27"	"YAL043C-A"	0.327487910803599
"28"	"YAL045C"	0.175470250631616
"29"	"YAL046C"	-0.0911773667014335
"30"	"YAL048C"	-0.0137014819906422
"31"	"YAL049C"	-0.163555837261299
"32"	"YAL051W"	0.0463084212111162
"33"	"YAL053W"	0.0485940336402421
"34"	"YAL054C"	-0.701086488847214
"35"	"YAL055W"	-0.260496785780475
"36"	"YAL056W"	-0.00478292256850073
"37"	"YAL058C-A"	-0.133183617554696
"38"	"YAL059W"	0.120090133160644
"39"	"YAL060W"	0.0667689150226051
"40"	"YAL061W"	0.00573701774284966
"41"	"YAL062W"	-0.0444260029797334
"42"	"YAL064C-A"	-0.0281878608081679
"43"	"YAL065C"	-0.0561709350300666
"44"	"YAL066W"	0.0473421416099281
"45"	"YAL067C"	-0.0288965666298896
"46"	"YAL068C"	-0.0434843806041902
"47"	"YAR002C-A"	0.00602317001096172
"48"	"YAR002W"	1.16310251357235
"49"	"YAR003W"	1.06894599477338
"50"	"YAR014C"	1.21697542373517
"51"	"YAR015W"	-0.131831559746256
"52"	"YAR020C"	0.0791658219794471
"53"	"YAR023C"	-0.0809732444748988
"54"	"YAR027W"	0.141896165658781
"55"	"YAR028W"	-0.188464692123337
"56"	"YAR029W"	-0.0369851273218887
"57"	"YAR030C"	-0.0938350401685638
"58"	"YAR031W"	0.0165792619828523
"59"	"YAR035W"	-0.25895252319589
"60"	"YAR037W"	0.103615248480588
"61"	"YAR040C"	-0.0512057385290231
"62"	"YAR043C"	-0.196156273183432
"63"	"YAR044W"	0.0492667154119636
"64"	"YAR047C"	-0.00486871441578979
"65"	"YBL003C"	0.0700241580556883
"66"	"YBL005W"	0.118662202363588
"67"	"YBL007C"	-0.0609250058671406
"68"	"YBL009W"	0.0265689449741725
"69"	"YBL010C"	-0.293976785322951
"70"	"YBL015W"	-0.0258928410107479
"71"	"YBL016W"	-0.732769141726802
"72"	"YBL017C"	0.737866245396907
"73"	"YBL019W"	-0.33876981953495
"74"	"YBL021C"	-0.111741921525538
"75"	"YBL024W"	-0.109005923124231
"76"	"YBL027W"	0.0121545726398189
"77"	"YBL028C"	-0.00967173122782918
"78"	"YBL029W"	0.613000215036326
"79"	"YBL031W"	0.162159867827802
"80"	"YBL032W"	-0.00820061250209064
"81"	"YBL036C"	0.184931044673555
"82"	"YBL037W"	0.972813539581503
"83"	"YBL039C"	0.0549242059411434
"84"	"YBL042C"	-0.174512474539891
"85"	"YBL043W"	0.590956082992978
"86"	"YBL046W"	-0.12086001597885
"87"	"YBL048W"	-0.0596544229317511
"88"	"YBL049W"	-0.068146075413654
"89"	"YBL051C"	-0.0818902776512534
"90"	"YBL052C"	-0.173708192639387
"91"	"YBL053W"	-0.220190180874718
"92"	"YBL054W"	-0.186586020454644
"93"	"YBL055C"	0.0462879000960257
"94"	"YBL056W"	-0.124808174027375
"95"	"YBL057C"	0.0937997114355829
"96"	"YBL059W"	0.00579404617353131
"97"	"YBL060W"	-0.15693732197726
"98"	"YBL061C"	-0.0063465602660062
"99"	"YBL062W"	0.0231650623803284
"100"	"YBL063W"	-0.17857646285491
"101"	"YBL064C"	0.0612047318847582
"102"	"YBL065W"	-0.059816278933752
"103"	"YBL066C"	-0.213426160248887
"104"	"YBL067C"	-0.383753202715148
"105"	"YBL068W"	-0.203369370071395
"106"	"YBL069W"	0.173332839713749
"107"	"YBL070C"	-0.381178904906864
"108"	"YBL071C"	0.0556704843215802
"109"	"YBL072C"	-0.0757468328653178
"110"	"YBL075C"	0.117818978979325
"111"	"YBL078C"	0.164379895215457
"112"	"YBL079W"	-0.232727620550847
"113"	"YBL081W"	-0.0307640016597262
"114"	"YBL082C"	1.00079728371502
"115"	"YBL083C"	0.0851937853493906
"116"	"YBL085W"	-0.168721334524564
"117"	"YBL086C"	-0.249847875182622
"118"	"YBL087C"	-0.0495404576381429
"119"	"YBL088C"	-0.0634826128891572
"120"	"YBL089W"	0.0690322116545345
"121"	"YBL091C-A"	-0.212065466463055
"122"	"YBL091C"	-0.321382101940175
"123"	"YBL094C"	0.0160742451645946
"124"	"YBL095W"	-0.229210263561161
"125"	"YBL096C"	-0.0526933418727144
"126"	"YBL098W"	-0.0543230906569421
"127"	"YBL101C"	-0.0304167125786528
"128"	"YBL102W"	-0.31029669448523
"129"	"YBL103C"	0.0432352440483703
"130"	"YBL104C"	-0.106169603564813
"131"	"YBL106C"	0.20129095290811
"132"	"YBL107C"	0.140043839284904
"133"	"YBR001C"	-0.0537905461495529
"134"	"YBR005W"	-0.0255917961138723
"135"	"YBR006W"	-0.110327895399031
"136"	"YBR007C"	-0.222320064664681
"137"	"YBR008C"	0.0294479558316286
"138"	"YBR009C"	0.317034071807779
