"Inhibitor"	"Direction"	"Deletion"	"log_FC"
"7"	"26Dimethylpyrazine"	"up"	"YHR081W"	1.3597061358469
"8"	"26Dimethylpyrazine"	"up"	"YMR307W"	1.78970515922483
"9"	"26Dimethylpyrazine"	"up"	"YOR112W"	1.36300577132706
"24"	"26Dimethylpyrazine"	"down"	"YJL004C"	-2.0033648833433
"25"	"26Dimethylpyrazine"	"down"	"YML124C"	-2.15074115677353
"26"	"26Dimethylpyrazine"	"down"	"YFL031W"	-1.39796798560645
"27"	"26Dimethylpyrazine"	"down"	"YML048W"	-2.92921631257524
"28"	"26Dimethylpyrazine"	"down"	"YGL166W"	-1.56980960331087
"29"	"26Dimethylpyrazine"	"down"	"YBR209W"	-1.51786915251428
"30"	"26Dimethylpyrazine"	"down"	"YDR162C"	-2.01071171693131
"311"	"26Dimethylpyrazine"	"down"	"YBR164C"	-1.90949699992718
"32"	"26Dimethylpyrazine"	"down"	"YHL031C"	-2.71157290779315
"33"	"26Dimethylpyrazine"	"down"	"YCR077C"	-2.04653769568564
"34"	"26Dimethylpyrazine"	"down"	"YER139C"	-1.54063828162032
"35"	"26Dimethylpyrazine"	"down"	"YIL128W"	-2.27692086663825
"36"	"26Dimethylpyrazine"	"down"	"YNL098C"	-1.79202500442249
"37"	"26Dimethylpyrazine"	"down"	"YOR069W"	-1.89133236997232
"38"	"26Dimethylpyrazine"	"down"	"YGL165C"	-1.60103433872074
"39"	"26Dimethylpyrazine"	"down"	"YPL161C"	-2.13375157573524
"40"	"26Dimethylpyrazine"	"down"	"YLR184W"	-2.36726332559012
"411"	"26Dimethylpyrazine"	"down"	"YER083C"	-2.84719247211831
"42"	"26Dimethylpyrazine"	"down"	"YJL169W"	-1.49933213432394
"43"	"26Dimethylpyrazine"	"down"	"YJR066W"	-1.82505384515191
"44"	"26Dimethylpyrazine"	"down"	"YJR073C"	-2.07889280431036
"45"	"26Dimethylpyrazine"	"down"	"YDL077C"	-1.5079715659885
"46"	"26Dimethylpyrazine"	"down"	"YDR452W"	-1.68236344480882
"13"	"2Methylimidazole"	"up"	"YKL139W"	2.2715152381189
"210"	"2Methylimidazole"	"up"	"YBR016W"	0.763238310922752
"15"	"2Methylimidazole"	"down"	"YNL273W"	-0.61945033989205
"16"	"2Methylimidazole"	"down"	"YER011W"	-0.756772039720366
"17"	"2Methylimidazole"	"down"	"YDR019C"	-0.598492634619089
"18"	"2Methylimidazole"	"down"	"YGL154C"	-0.706510416376772
"19"	"2Methylimidazole"	"down"	"YPL172C"	-0.738220924757192
"20"	"2Methylimidazole"	"down"	"YHR134W"	-0.784919200848448
"211"	"2Methylimidazole"	"down"	"YGR157W"	-0.647696644459919
"221"	"2Methylimidazole"	"down"	"YGR188C"	-0.571464479640719
"23"	"2Methylimidazole"	"down"	"YJL120W"	-1.39040848193922
"241"	"2Methylimidazole"	"down"	"YLR182W"	-0.586212509047107
"251"	"2Methylimidazole"	"down"	"YGR096W"	-4.9911016377228
"261"	"2Methylimidazole"	"down"	"YGL125W"	-5.02946029071591
"271"	"2Methylimidazole"	"down"	"YDL197C"	-2.69783184653212
"281"	"2Methylimidazole"	"down"	"YDR357C"	-4.52054049442111
"129"	"45Methylimidazole"	"up"	"YOR121C"	1.31079402942811
"212"	"45Methylimidazole"	"up"	"YMR272C"	1.58174367763396
"312"	"45Methylimidazole"	"up"	"YGR149W"	1.28949152859352
"410"	"45Methylimidazole"	"up"	"YLR262C"	1.36136235581072
"511"	"45Methylimidazole"	"up"	"YBR130C"	1.32242234324632
"610"	"45Methylimidazole"	"up"	"YLR187W"	1.06558712531579
"710"	"45Methylimidazole"	"up"	"YMR031W-A"	1.54512129648347
"810"	"45Methylimidazole"	"up"	"YJR053W"	1.43690769368703
"910"	"45Methylimidazole"	"up"	"YML106W"	1.33577250870217
"10"	"45Methylimidazole"	"up"	"YLR094C"	1.62877412782607
"1110"	"45Methylimidazole"	"up"	"YPR172W"	1.20077404629563
"1210"	"45Methylimidazole"	"up"	"YDR055W"	1.32953754484174
"131"	"45Methylimidazole"	"up"	"YOL160W"	1.45107501253616
"14"	"45Methylimidazole"	"up"	"YDL019C"	1.10266212122396
"151"	"45Methylimidazole"	"up"	"YLR281C"	1.32273025886792
"161"	"45Methylimidazole"	"up"	"YBR293W"	1.05079293756032
"171"	"45Methylimidazole"	"up"	"YHL028W"	1.1667948414591
"181"	"45Methylimidazole"	"up"	"YNL041C"	1.93040938194728
"191"	"45Methylimidazole"	"up"	"YER095W"	1.39761320847473
"201"	"45Methylimidazole"	"up"	"YJR050W"	1.18014766427133
"213"	"45Methylimidazole"	"up"	"YBR283C"	1.23436637727569
"222"	"45Methylimidazole"	"up"	"YCL027W"	1.27068052671489
"231"	"45Methylimidazole"	"up"	"YDR245W"	1.50124890402408
"242"	"45Methylimidazole"	"up"	"YDR309C"	1.2061278527287
"252"	"45Methylimidazole"	"up"	"YBR118W"	1.22756149572316
"262"	"45Methylimidazole"	"up"	"YDR093W"	1.16372796652203
"272"	"45Methylimidazole"	"up"	"YMR316C-B"	1.09882683617596
"282"	"45Methylimidazole"	"up"	"YLR413W"	1.3006694027228
"291"	"45Methylimidazole"	"up"	"YMR068W"	1.26340913315256
"301"	"45Methylimidazole"	"up"	"YLR037C"	1.11742538265661
"313"	"45Methylimidazole"	"up"	"YPL121C"	1.57820177545289
"321"	"45Methylimidazole"	"up"	"YPL038W"	1.40612973628802
"331"	"45Methylimidazole"	"up"	"YNL058C"	1.08803358707417
"341"	"45Methylimidazole"	"up"	"YDR100W"	1.09557815273994
"351"	"45Methylimidazole"	"up"	"YGR069W"	1.30704781823257
"361"	"45Methylimidazole"	"up"	"YBR113W"	1.04009562681439
"371"	"45Methylimidazole"	"up"	"YGL198W"	1.14514154469804
"381"	"45Methylimidazole"	"up"	"YER066W"	1.04086795130601
"391"	"45Methylimidazole"	"up"	"YAR003W"	1.27589477082518
"401"	"45Methylimidazole"	"up"	"YLR257W"	1.20689331749492
"412"	"45Methylimidazole"	"up"	"YMR326C"	1.3624995317766
