"Inhibitor.1"	"Inhibitor.2"	"Pearson.cor.coef"	"p.value"	"Bonf_corrected_p.value"	"ID"
"894"	"DMSO"	"Acetovanillone"	0.638995392472686	1.04662105400672e-10	5.86107790243761e-09	"Solvent - Phenone"
"1659"	"Vanillin"	"CoumaroylAmide"	0.502088972013548	1.15752767028069e-09	6.48215495357184e-08	"Phenolic aldehyde - Phenolic amide"
"1655"	"Vanillin"	"CV"	0.651787369038017	1.47622396096744e-17	8.26685418141767e-16	"Phenolic aldehyde - Cationic toxin/IL"
"809"	"CoumaricAcid"	"AcetoSyringone"	0.571030820691265	1.30396111079862e-12	7.30218222047224e-11	"Phenolic acid - Phenone"
"1289"	"MBO"	"Isobutanol"	0.705952218942091	1.00953121652165e-17	5.65337481252123e-16	"Terpene - Alcohol"
"683"	"CV"	"AcetoSyringone"	0.685804242501602	1.5214756681101e-18	8.52026374141656e-17	"Cationic toxin/IL - Phenone"
"1649"	"Vanillin"	"AcetoSyringone"	0.649045013220308	1.88646433379545e-15	1.05642002692545e-13	"Phenolic aldehyde - Phenone"
"1070"	"FeruloylAmide"	"CoumaricAcid"	0.638775040530061	1.87626489023664e-15	1.05070833853252e-13	"Phenolic amide - Phenolic acid"
"1075"	"FeruloylAmide"	"FerulicAcid"	0.654583196375267	5.12040099588587e-16	2.86742455769608e-14	"Phenolic amide - Phenolic acid"
"1675"	"Vanillin"	"Syringaldehyde"	0.757964397412734	5.98291085661591e-19	3.35043007970491e-17	"Phenolic aldehyde - Phenolic aldehyde"
"1644"	"Vanillin"	"4OHAcetophenone"	0.61489965214912	2.64897923172259e-11	1.48342836976465e-09	"Phenolic aldehyde - Phenone"
"1449"	"SinapicAcid"	"CoumaroylAmide"	0.739239146128953	3.98630331674186e-21	2.23232985737544e-19	"Phenolic acid - Phenolic amide"
"893"	"DMSO"	"AcetoSyringone"	0.664198028896547	5.87850809072453e-16	3.29196453080574e-14	"Solvent - Phenone"
"258"	"4OHBenzaldehyde"	"4OHAcetophenone"	0.678312884893051	2.07972664231842e-10	1.16464691969831e-08	"Phenolic aldehyde - Phenone"
"1439"	"SinapicAcid"	"AcetoSyringone"	0.614272760846551	8.55285437454962e-14	4.78959844974779e-12	"Phenolic acid - Phenone"
"1622"	"VanillicAcid"	"FeruloylAmide"	0.55780430640616	3.00424685379523e-11	1.68237823812533e-09	"Phenolic acid - Phenolic amide"
"1067"	"FeruloylAmide"	"CV"	0.709546649945927	6.94927796440273e-21	3.89159566006553e-19	"Phenolic amide - Cationic toxin/IL"
"1071"	"FeruloylAmide"	"CoumaroylAmide"	0.764376782491903	1.97965256566139e-24	1.10860543677038e-22	"Phenolic amide - Phenolic amide"
