gene	Dipyridyl22	Dimethylimidazole24	Dimethylpyrazine26	Methylimidazole2	Methylimidazole45	OHAcetophenone4	OHBenzaldehyde4	OHBenzoicAcid4	Acetamide	AcetoSyringone	Acetovanillone	AzelaicAcid	BMIMCl	Benomyl	BenzoicAcid	CV	CaffeicAcid	CinnamicAcid	CoumaricAcid	CoumaroylAmide	DMSO	EMIMCl	EtOH	FerulicAcid	FeruloylAmide	Furfural	GVL	Isobutanol	LevulinicAcid	MBO	Methylglyoxal	Mycobutanil	NAO	SinapicAcid	SodiumGlyoxylate	Syringaldehyde	SyringicAcid	VanillicAcid	Vanillin	HMF5
3	YAL005C	0.713102455376346	0.546428188133783	0.660229911081813	0.726344165118746	0.634790013822619	0.536235511478914	0.574465875199689	0.61670273076604	0.576879732242773	0.496593359070775	0.591295680500565	0.664685429620207	0.631425267130676	0.731669726408085	0.77306775322176	0.512092525245941	0.729941231471752	0.612818949405766	0.560246042437259	0.743536135668436	0.672222203798492	0.476018772396957	0.831486350853751	0.592119939532683	0.672542396539444	0.593673404436669	0.783072649355674	0.673067084794867	0.60570086679984	0.67521501162109	0.635179113796257	0.59052401671845	0.409807584858279	0.596060683069604	0.555654311034769	0.648833710867334	0.822527732790701	0.693042844403458	0.424942993035715	0.492030879857925
5	YAL010C	0.757695463995581	0.549384141291318	0.382903657611355	0.705293226946529	0.600247716118801	0.546687813655348	0.497956116094299	0.544980723061033	0.553759017352191	0.673253868744589	0.681905013339107	0.58186064013018	0.568260507044101	0.712496198843619	0.669496827765078	0.359510449276792	0.691395204951506	0.648708357990846	0.6769729088444	0.656439687551813	0.67901982503288	0.608676737374099	0.657682486080437	0.803479320312704	0.674261653516847	0.629987673775716	0.434361198678088	0.234035902710739	0.649353158594355	0.470598332055614	0.720004388426436	0.613127584638838	0.418972779756815	0.704027169598282	0.57484607872101	0.696439583547141	0.660595878168984	0.678828648324021	0.428977239636285	0.685160242365344
6	YAL011W	0.693103815632131	0.568857634148148	0.508607325271818	0.6965975179051	0.617315628069926	0.347107628430619	0.555937998364841	0.583492627655561	0.466226867174466	0.187551060471325	0.104263752866555	0.637629997346038	0.638240826247744	0.744528461555556	0.760550631028771	0.501756449445339	0.621030865855316	0.632722919033834	0.575761287225788	0.559759201535034	0.435492287461378	0.575937748162141	0.651293123534972	0.634190088415668	0.147958221094724	0.598964866781446	0.744772642794977	0.751723323255489	0.548823082350318	0.732073833103262	0.702972021718338	0.610793763572018	0.392802101517763	0.524846787437374	0.574327419282305	0.501287008221262	0.657609938179065	0.647658577607242	0.356555847518328	0.463711140292774
7	YAL013W	0.649755481429875	0.538283311367838	0.507246768483477	0.7330771547382	0.606927584152334	0.582696265668544	0.554004541865248	0.484721199063349	0.540405950523762	0.57544829187442	0.685017660779852	0.591679473282089	0.716700165250709	0.738123759667376	0.687355525542191	0.556900149366115	0.645682063531394	0.414669212937879	0.569336616846633	0.683305930495238	0.711998629617619	0.679247880573309	0.654539594564936	0.632113198538678	0.646817589301703	0.629295446695845	0.744965952415731	0.604072675485204	0.565087589119	0.666031931829919	0.662241499681973	0.529982778608592	0.584158226601449	0.634960337021078	0.571352358645862	0.584221537421675	0.665429375857314	0.518952109105639	0.413684187610055	0.468690988247598
12	YAL019W	0.727726497261908	0.548248078496096	0.545496625807667	0.684202586875762	0.623324982723789	0.547915830314587	0.565052271585951	0.602142030845832	0.56283412359063	0.518146802882171	0.605845559041913	0.693521333806443	0.73642462562595	0.776718857982877	0.72694493392387	0.522984192082926	0.679684511327018	0.563614786568314	0.53575611965711	0.685050582694846	0.677599246968903	0.619685305424519	0.680060744057137	0.52588142725154	0.627494248425669	0.557173872728607	0.725059891104406	0.712639040420645	0.560170426727345	0.713899294889363	0.682336100443312	0.642785567674706	0.449542037795053	0.551717269520901	0.583538068440476	0.542167571404084	0.730114163737555	0.648022253746387	0.384359604191511	0.372749771963117
15	YAL023C	0.735819564383645	0.556341985371627	0.602712644802255	0.679836875388407	0.644769759220287	0.606600442109128	0.580272588393573	0.55875894994748	0.693969584061674	0.620575491342871	0.665375578726196	0.523149822183181	0.858875103121648	0.713085807725538	0.655906991453816	0.586197257159726	0.553435211215249	0.501760513436668	0.477582579120732	0.666953132052725	0.722959991504591	0.67990632865917	0.674306058270951	0.541929779262801	0.655429210192039	0.584369179648936	0.697655636579384	0.714255072326657	0.477566838869192	0.69157738201187	0.692482559520748	0.498661322271397	0.527989287698907	0.495182912847949	0.499853155647917	0.503767690498454	0.537078718441604	0.562293442200287	0.385380366688324	0.539074993191781
16	YAL024C	0.682173425459881	0.536661050363606	0.61038999784634	0.701288421819323	0.634642969825174	0.471000147457883	0.5115563272415	0.568691965246382	0.529720726389648	0.356037197428703	0.526747614258209	0.651544164907353	0.667789464860687	0.716139872465999	0.765155366263107	0.522886830864519	0.668548806670069	0.622528101599309	0.534482684329222	0.62826036758381	0.598280883471298	0.605901993045141	0.689362234049394	0.573605415998336	0.459758108804798	0.600626648158701	0.361138181912665	0.620518591625516	0.569911577751453	0.615514805393451	0.665216444279372	0.56579490566282	0.476300938876197	0.616462892178191	0.540229574526902	0.586654366520532	0.723457898470011	0.633619246997823	0.417731321241357	0.451506291178419
17	YAL026C	0.706127358700153	0.559867835299743	0.583977921657395	0.692121436785771	0.660983776706556	0.610418078809376	0.279247381539616	0.512873927931944	0.566938689729893	0.600848388141315	0.668473239438506	0.603503535469182	0.764593612588384	0.712383744709828	0.699963392733627	0.556982539270695	0.598009623370607	0.53081094256004	0.401753109469414	0	0.676441493440839	0.621102714354048	0.738809125036212	0.366387337916944	0.379861813609767	0.645756326028614	0.732375103541329	0.691733841704273	0.524111536318676	0.597897483786268	0.593918149615011	0.517188385980811	0.556718095784537	0.436363072211925	0.558863739395179	0.576044538391763	0.710018154913784	0.372441720525372	0.346719603870175	0.47615090679178
27	YAL042W	0.736882288432856	0.545736965605341	0.632088749105641	0.680526809250479	0.619882168657032	0.560468317573821	0.549850663109861	0.503723420563781	0.575781443931873	0.547996208195987	0.635624268910946	0.658322459094234	0.696426133768144	0.755794573122165	0.701744378695739	0.567809831804224	0.654598806589159	0.530321607702347	0.554470123995985	0.689731382369872	0.695164528985863	0.464180677365474	0.759585865797829	0.549837985251586	0.644120621800497	0.618309251114896	0.725450220597121	0.662949810441877	0.546111086405291	0.645080783828831	0.644930073414997	0.595874759923014	0.501226071958298	0.55795785487116	0.569617278418217	0.500538969098274	0.676027253229046	0.607003320481227	0.354615197585816	0.480050904850415
35	YAL054C	0.969532788762679	0.731154194266263	0.704323886883104	0.61182249671349	0.566177509129572	0.567296586028107	0.673911113199351	0.386277796627415	0.660421755967606	0.6497870942799	0.540693246691051	0.603505247242537	0.823948766273824	0.98413653984071	0.887775900012428	0.434376582183177	0.435593910852209	0.550648902320874	0.635845583286243	0.660304476471018	0.784475991851042	0.628169511278902	0.504937112310105	0.592103223608359	0.580005531323008	0.789896115548329	0.787858864794482	0.805001069613339	0.849624181854234	0.784568055994674	0.751048814869395	0.651798766182773	0.428157711157515	0.668946147385129	0.766374264071138	0.522535108666205	0.351536098637088	0.571120196137351	0.489994691268588	0.44627952648782
