"Deletion"	"Inhibitor"	"logFC"	"max_logFC"	"min_logFC"	"largest_logFC_change"	"numb_sig_conditions"
"1"	"YAL004W"	"AcetoSyringone"	-0.957754586492303	1.1504298917959	-0.957754586492303	2.1081844782882	11
"2"	"YAL004W"	"AzelaicAcid"	-0.504281067937117	1.1504298917959	-0.957754586492303	2.1081844782882	11
"3"	"YAL004W"	"Syringaldehyde"	0.844756786256656	1.1504298917959	-0.957754586492303	2.1081844782882	11
"4"	"YAL004W"	"MBO"	-0.802685010929095	1.1504298917959	-0.957754586492303	2.1081844782882	11
"5"	"YAL004W"	"SyringicAcid"	0.646005657674451	1.1504298917959	-0.957754586492303	2.1081844782882	11
"6"	"YAL004W"	"CinnamicAcid"	0.496815132545815	1.1504298917959	-0.957754586492303	2.1081844782882	11
"7"	"YAL004W"	"EMIMCl"	-0.773955399238038	1.1504298917959	-0.957754586492303	2.1081844782882	11
"8"	"YAL004W"	"EtOH"	1.1504298917959	1.1504298917959	-0.957754586492303	2.1081844782882	11
"9"	"YAL004W"	"26Dimethylpyrazine"	0.649959456409369	1.1504298917959	-0.957754586492303	2.1081844782882	11
"10"	"YAL004W"	"CV"	0.777644255476337	1.1504298917959	-0.957754586492303	2.1081844782882	11
"11"	"YAL004W"	"Acetovanillone"	-0.517671293233123	1.1504298917959	-0.957754586492303	2.1081844782882	11
"12"	"YAL005C"	"AcetoSyringone"	-0.914086763810249	1.40393815499219	-0.914086763810249	2.31802491880244	11
"13"	"YAL005C"	"EMIMCl"	-0.796554940217526	1.40393815499219	-0.914086763810249	2.31802491880244	11
"14"	"YAL005C"	"MBO"	-0.895335489258645	1.40393815499219	-0.914086763810249	2.31802491880244	11
"15"	"YAL005C"	"26Dimethylpyrazine"	0.717080482407353	1.40393815499219	-0.914086763810249	2.31802491880244	11
"16"	"YAL005C"	"Isobutanol"	-0.602497463390593	1.40393815499219	-0.914086763810249	2.31802491880244	11
"17"	"YAL005C"	"SyringicAcid"	1.03147836272596	1.40393815499219	-0.914086763810249	2.31802491880244	11
"18"	"YAL005C"	"NAO"	-0.427237319789141	1.40393815499219	-0.914086763810249	2.31802491880244	11
"19"	"YAL005C"	"Acetovanillone"	-0.581577843579722	1.40393815499219	-0.914086763810249	2.31802491880244	11
"20"	"YAL005C"	"VanillicAcid"	0.451559346714323	1.40393815499219	-0.914086763810249	2.31802491880244	11
"21"	"YAL005C"	"EtOH"	1.40393815499219	1.40393815499219	-0.914086763810249	2.31802491880244	11
"22"	"YAL005C"	"Syringaldehyde"	0.94030027238552	1.40393815499219	-0.914086763810249	2.31802491880244	11
"23"	"YAL008W"	"CV"	-0.86930109699999	0.388212059785896	-0.86930109699999	1.25751315678589	4
"24"	"YAL008W"	"AcetoSyringone"	-0.473781717386448	0.388212059785896	-0.86930109699999	1.25751315678589	4
"25"	"YAL008W"	"EtOH"	0.388212059785896	0.388212059785896	-0.86930109699999	1.25751315678589	4
"26"	"YAL008W"	"NAO"	-0.376799526636757	0.388212059785896	-0.86930109699999	1.25751315678589	4
"27"	"YAL010C"	"FerulicAcid"	1.75358886948324	1.75358886948324	-5.17813174635268	6.93172061583592	6
"28"	"YAL010C"	"26Dimethylpyrazine"	-2.12599117647612	1.75358886948324	-5.17813174635268	6.93172061583592	6
"29"	"YAL010C"	"CV"	-3.79654824373729	1.75358886948324	-5.17813174635268	6.93172061583592	6
"30"	"YAL010C"	"MBO"	-4.26611692283894	1.75358886948324	-5.17813174635268	6.93172061583592	6
"31"	"YAL010C"	"Isobutanol"	-5.17813174635268	1.75358886948324	-5.17813174635268	6.93172061583592	6
"32"	"YAL010C"	"GVL"	-4.97071146123461	1.75358886948324	-5.17813174635268	6.93172061583592	6
"33"	"YAL011W"	"DMSO"	-2.50174687414133	-1.89873648642323	-6.94118923573991	5.04245274931668	6
"34"	"YAL011W"	"AcetoSyringone"	-4.71795374529401	-1.89873648642323	-6.94118923573991	5.04245274931668	6
"35"	"YAL011W"	"CoumaroylAmide"	-1.89873648642323	-1.89873648642323	-6.94118923573991	5.04245274931668	6
"36"	"YAL011W"	"4OHAcetophenone"	-2.42099103531163	-1.89873648642323	-6.94118923573991	5.04245274931668	6
"37"	"YAL011W"	"FeruloylAmide"	-6.94118923573991	-1.89873648642323	-6.94118923573991	5.04245274931668	6
"38"	"YAL011W"	"Acetovanillone"	-5.89366817672283	-1.89873648642323	-6.94118923573991	5.04245274931668	6
"39"	"YAL013W"	"NAO"	1.62661940142245	1.62661940142245	-1.78643189344876	3.41305129487121	8
"40"	"YAL013W"	"Isobutanol"	-1.32156525963238	1.62661940142245	-1.78643189344876	3.41305129487121	8
"41"	"YAL013W"	"AzelaicAcid"	-0.891983616020589	1.62661940142245	-1.78643189344876	3.41305129487121	8
"42"	"YAL013W"	"26Dimethylpyrazine"	-0.851260168965485	1.62661940142245	-1.78643189344876	3.41305129487121	8
"43"	"YAL013W"	"MBO"	-1.04661423607738	1.62661940142245	-1.78643189344876	3.41305129487121	8
"44"	"YAL013W"	"EMIMCl"	0.753202625469624	1.62661940142245	-1.78643189344876	3.41305129487121	8
"45"	"YAL013W"	"CinnamicAcid"	-1.40131903759744	1.62661940142245	-1.78643189344876	3.41305129487121	8
"46"	"YAL013W"	"VanillicAcid"	-1.78643189344876	1.62661940142245	-1.78643189344876	3.41305129487121	8
"47"	"YAL014C"	"Syringaldehyde"	0.509469748064847	0.779589981818768	-0.63598299885551	1.41557298067428	7
"48"	"YAL014C"	"EtOH"	0.779589981818768	0.779589981818768	-0.63598299885551	1.41557298067428	7
"49"	"YAL014C"	"Acetovanillone"	-0.628366329476526	0.779589981818768	-0.63598299885551	1.41557298067428	7
"50"	"YAL014C"	"AcetoSyringone"	-0.631645595277029	0.779589981818768	-0.63598299885551	1.41557298067428	7
"51"	"YAL014C"	"EMIMCl"	-0.63598299885551	0.779589981818768	-0.63598299885551	1.41557298067428	7
"52"	"YAL014C"	"26Dimethylpyrazine"	0.459619308254587	0.779589981818768	-0.63598299885551	1.41557298067428	7
"53"	"YAL014C"	"AzelaicAcid"	-0.426040805991445	0.779589981818768	-0.63598299885551	1.41557298067428	7
"54"	"YAL015C"	"EtOH"	0.463325251585037	0.463325251585037	-0.558807815836066	1.0221330674211	3
"55"	"YAL015C"	"VanillicAcid"	-0.532024603562412	0.463325251585037	-0.558807815836066	1.0221330674211	3
"56"	"YAL015C"	"Syringaldehyde"	-0.558807815836066	0.463325251585037	-0.558807815836066	1.0221330674211	3
"57"	"YAL017W"	"EtOH"	0.671447858718706	0.671447858718706	-0.648696580548236	1.32014443926694	2
"58"	"YAL017W"	"CV"	-0.648696580548236	0.671447858718706	-0.648696580548236	1.32014443926694	2
"59"	"YAL018C"	"AcetoSyringone"	-0.536605484880455	0.476047893014876	-0.536605484880455	1.01265337789533	6
"60"	"YAL018C"	"MBO"	-0.385190468997599	0.476047893014876	-0.536605484880455	1.01265337789533	6
"61"	"YAL018C"	"SyringicAcid"	0.385311345688915	0.476047893014876	-0.536605484880455	1.01265337789533	6
"62"	"YAL018C"	"EtOH"	0.476047893014876	0.476047893014876	-0.536605484880455	1.01265337789533	6
"63"	"YAL018C"	"EMIMCl"	-0.451033479958203	0.476047893014876	-0.536605484880455	1.01265337789533	6
"64"	"YAL018C"	"Isobutanol"	-0.384275249337507	0.476047893014876	-0.536605484880455	1.01265337789533	6
"65"	"YAL019W"	"Furfural"	-0.476684396987951	-0.392375084939308	-0.951221394256076	0.558846309316768	9
"66"	"YAL019W"	"GVL"	-0.605261739551501	-0.392375084939308	-0.951221394256076	0.558846309316768	9
"67"	"YAL019W"	"Vanillin"	-0.405829070214411	-0.392375084939308	-0.951221394256076	0.558846309316768	9
"68"	"YAL019W"	"FerulicAcid"	-0.951221394256076	-0.392375084939308	-0.951221394256076	0.558846309316768	9
"69"	"YAL019W"	"5HMF"	-0.804796583156506	-0.392375084939308	-0.951221394256076	0.558846309316768	9
"70"	"YAL019W"	"CoumaroylAmide"	-0.392375084939308	-0.392375084939308	-0.951221394256076	0.558846309316768	9
"71"	"YAL019W"	"AcetoSyringone"	-0.648794816311719	-0.392375084939308	-0.951221394256076	0.558846309316768	9
"72"	"YAL019W"	"Acetovanillone"	-0.422881329528548	-0.392375084939308	-0.951221394256076	0.558846309316768	9
"73"	"YAL019W"	"26Dimethylpyrazine"	-0.459133264445232	-0.392375084939308	-0.951221394256076	0.558846309316768	9
"74"	"YAL020C"	"Acetovanillone"	-0.629766030297026	0.998292646951785	-0.650313349756272	1.64860599670806	10
"75"	"YAL020C"	"Furfural"	0.452035868505337	0.998292646951785	-0.650313349756272	1.64860599670806	10
"76"	"YAL020C"	"AcetoSyringone"	-0.650313349756272	0.998292646951785	-0.650313349756272	1.64860599670806	10
"77"	"YAL020C"	"EtOH"	0.998292646951785	0.998292646951785	-0.650313349756272	1.64860599670806	10
"78"	"YAL020C"	"SyringicAcid"	0.542686646000819	0.998292646951785	-0.650313349756272	1.64860599670806	10
"79"	"YAL020C"	"CinnamicAcid"	0.373279720572916	0.998292646951785	-0.650313349756272	1.64860599670806	10
"80"	"YAL020C"	"Syringaldehyde"	0.519186814641107	0.998292646951785	-0.650313349756272	1.64860599670806	10
