Inhibitor	Significant_up_deletions	Significant_down_deletions
159	AcetoSyringone	YAR015W	NA
160	AcetoSyringone	YCR044C	NA
161	AcetoSyringone	YLL047W	NA
162	AcetoSyringone	YOR215C	NA
163	AcetoSyringone	YBR086C	NA
164	AcetoSyringone	YDR022C	NA
165	AcetoSyringone	YMR145C	NA
166	AcetoSyringone	YCL064C	NA
167	AcetoSyringone	YIR033W	NA
168	AcetoSyringone	YPL037C	NA
169	AcetoSyringone	YMR052C-A	NA
170	AcetoSyringone	YDR030C	NA
171	AcetoSyringone	YGL115W	NA
172	AcetoSyringone	YKL040C	NA
173	AcetoSyringone	YBR095C	NA
174	AcetoSyringone	YBR168W	NA
175	AcetoSyringone	YOR191W	NA
176	AcetoSyringone	YBL072C	NA
177	AcetoSyringone	YKL074C	NA
178	AcetoSyringone	YMR265C	NA
179	AcetoSyringone	YCR059C	NA
180	AcetoSyringone	YOR382W	NA
181	AcetoSyringone	YGR263C	NA
182	AcetoSyringone	YGL015C	NA
183	AcetoSyringone	YMR054W	NA
184	AcetoSyringone	YOR135C	NA
185	AcetoSyringone	YKL046C	NA
186	AcetoSyringone	YDR395W	NA
187	AcetoSyringone	YOL009C	NA
188	AcetoSyringone	YGR100W	NA
189	AcetoSyringone	YDR049W	NA
190	AcetoSyringone	YFL013W-A	NA
191	AcetoSyringone	YER119C-A	NA
192	AcetoSyringone	YPL102C	NA
193	AcetoSyringone	YDR233C	NA
194	AcetoSyringone	YDR024W	NA
195	AcetoSyringone	YKR057W	NA
196	AcetoSyringone	YKL149C	NA
197	AcetoSyringone	YGL149W	NA
198	AcetoSyringone	YPL195W	NA
199	AcetoSyringone	YCL029C	NA
200	AcetoSyringone	YGL029W	NA
201	AcetoSyringone	YDR146C	NA
202	AcetoSyringone	YMR052W	NA
203	AcetoSyringone	YOR049C	NA
204	AcetoSyringone	YMR080C	NA
205	AcetoSyringone	YGR148C	NA
206	AcetoSyringone	YMR167W	NA
207	AcetoSyringone	YBR113W	NA
208	AcetoSyringone	YPL158C	NA
