Inhibitor	Direction	Deletion
168	22Dipyridyl	up	YOL055C
169	22Dipyridyl	up	YML038C
170	22Dipyridyl	up	YPL195W
171	22Dipyridyl	up	YDR146C
172	22Dipyridyl	up	YIL111W
173	22Dipyridyl	up	YBR225W
174	22Dipyridyl	up	YNL199C
175	22Dipyridyl	up	YML048W
176	22Dipyridyl	up	YMR003W
177	22Dipyridyl	up	YHR079C
178	22Dipyridyl	up	YMR194W
179	22Dipyridyl	up	YGR026W
180	22Dipyridyl	up	YGR100W
181	24Dimethylimidazole	up	YLL025W
182	24Dimethylimidazole	up	YJL101C
183	24Dimethylimidazole	up	YDR294C
184	24Dimethylimidazole	up	YJL024C
185	24Dimethylimidazole	up	YOL112W
186	24Dimethylimidazole	up	YBL078C
187	24Dimethylimidazole	up	YGR157W
188	24Dimethylimidazole	up	YOR289W
189	24Dimethylimidazole	up	YOL083W
190	24Dimethylimidazole	up	YMR226C
191	24Dimethylimidazole	up	YOL085C
192	24Dimethylimidazole	up	YOL128C
193	24Dimethylimidazole	up	YNL098C
194	24Dimethylimidazole	up	YGL197W
195	24Dimethylimidazole	up	YER046W
196	24Dimethylimidazole	up	YNL140C
197	24Dimethylimidazole	up	YMR015C
198	24Dimethylimidazole	up	YEL001C
199	24Dimethylimidazole	up	YOR284W
200	24Dimethylimidazole	up	YIL103W
201	24Dimethylimidazole	up	YNR019W
202	24Dimethylimidazole	up	YMR178W
203	24Dimethylimidazole	up	YDR452W
204	24Dimethylimidazole	up	YBL056W
205	24Dimethylimidazole	up	YNL274C
206	24Dimethylimidazole	up	YJR003C
207	24Dimethylimidazole	up	YOR288C
208	24Dimethylimidazole	up	YLR023C
209	24Dimethylimidazole	up	YOR012W
210	24Dimethylimidazole	up	YKL139W
211	24Dimethylimidazole	up	YLR315W
212	24Dimethylimidazole	up	YBR084W
213	24Dimethylimidazole	up	YDR503C
214	24Dimethylimidazole	up	YPL183C
215	24Dimethylimidazole	up	YFL056C
216	24Dimethylimidazole	up	YLR313C
217	24Dimethylimidazole	up	YLR381W
218	24Dimethylimidazole	up	YER042W
219	24Dimethylimidazole	up	YOR342C
220	24Dimethylimidazole	up	YOL116W
221	24Dimethylimidazole	up	YPR141C
222	24Dimethylimidazole	up	YGR263C
223	24Dimethylimidazole	up	YMR198W
224	24Dimethylimidazole	up	YDR239C
225	24Dimethylimidazole	up	YOR177C
226	24Dimethylimidazole	up	YBR148W
227	24Dimethylimidazole	up	YPL053C
228	24Dimethylimidazole	up	YOR071C
229	24Dimethylimidazole	up	YPL127C
230	24Dimethylimidazole	up	YCR088W
231	24Dimethylimidazole	up	YKL176C
232	24Dimethylimidazole	up	YMR157C
233	24Dimethylimidazole	up	YJL079C
234	24Dimethylimidazole	up	YIL096C
235	24Dimethylimidazole	up	YBR209W
236	24Dimethylimidazole	up	YAL045C
237	24Dimethylimidazole	up	YOR267C
238	24Dimethylimidazole	up	YHR115C
239	24Dimethylimidazole	up	YML005W
240	24Dimethylimidazole	up	YBR045C
241	24Dimethylimidazole	up	YJR096W
242	24Dimethylimidazole	up	YMR153C-A
243	24Dimethylimidazole	up	YGR224W
244	24Dimethylimidazole	up	YER028C
245	24Dimethylimidazole	up	YNL153C
246	24Dimethylimidazole	up	YGL079W
247	24Dimethylimidazole	up	YER078C
248	24Dimethylimidazole	up	YPL009C
249	24Dimethylimidazole	up	YKL105C
250	24Dimethylimidazole	up	YDL236W
251	24Dimethylimidazole	up	YKR053C
252	24Dimethylimidazole	up	YER115C
253	24Dimethylimidazole	up	YGR239C
254	24Dimethylimidazole	up	YGL126W
255	24Dimethylimidazole	up	YMR120C
256	24Dimethylimidazole	up	YGR129W
257	24Dimethylimidazole	up	YGR071C
258	24Dimethylimidazole	up	YKL017C
259	24Dimethylimidazole	up	YBR032W
260	24Dimethylimidazole	up	YDR134C
261	24Dimethylimidazole	up	YDL156W
262	24Dimethylimidazole	up	YER118C
263	24Dimethylimidazole	up	YJR060W
