Inhibitor	Significant_up_deletions	Significant_down_deletions
159	45Methylimidazole	YMR048W	NA
160	45Methylimidazole	YER097W	NA
161	45Methylimidazole	YDR346C	NA
162	45Methylimidazole	YPR153W	NA
163	45Methylimidazole	YDL130W	NA
164	45Methylimidazole	YBR210W	NA
165	45Methylimidazole	YOR213C	NA
166	45Methylimidazole	YGR044C	NA
167	45Methylimidazole	YDR388W	NA
168	45Methylimidazole	YPL071C	NA
169	45Methylimidazole	YGR136W	NA
170	45Methylimidazole	YKL131W	NA
171	45Methylimidazole	YLR216C	NA
172	45Methylimidazole	YDR440W	NA
173	45Methylimidazole	YDR214W	NA
174	45Methylimidazole	YOR186W	NA
175	45Methylimidazole	YLR136C	NA
176	45Methylimidazole	YKL098W	NA
177	45Methylimidazole	YDL240W	NA
178	45Methylimidazole	YDR130C	NA
179	45Methylimidazole	YCL038C	NA
180	45Methylimidazole	YBR084C-A	NA
181	45Methylimidazole	YLR261C	NA
182	45Methylimidazole	YLR448W	NA
183	45Methylimidazole	YNL171C	NA
184	45Methylimidazole	YOR269W	NA
185	45Methylimidazole	YPL123C	NA
186	45Methylimidazole	YKL107W	NA
187	45Methylimidazole	YHR049W	NA
188	45Methylimidazole	YML035C	NA
189	45Methylimidazole	YIL113W	NA
190	45Methylimidazole	YJL062W	NA
191	45Methylimidazole	YNL123W	NA
192	45Methylimidazole	YGL138C	NA
193	45Methylimidazole	YMR086W	NA
194	45Methylimidazole	YER066C-A	NA
195	45Methylimidazole	YLR104W	NA
196	45Methylimidazole	YDR216W	NA
