Inhibitor	Significant_up_deletions	Significant_down_deletions
145	24Dimethylimidazole	YGL226W	NA
146	24Dimethylimidazole	YDL096C	NA
147	24Dimethylimidazole	YGR051C	NA
148	24Dimethylimidazole	YHR105W	NA
149	24Dimethylimidazole	YOL163W	NA
150	24Dimethylimidazole	YDL112W	NA
151	24Dimethylimidazole	YDR372C	NA
152	24Dimethylimidazole	YDR247W	NA
153	24Dimethylimidazole	YHR093W	NA
154	24Dimethylimidazole	YGR241C	NA
155	24Dimethylimidazole	YKL027W	NA
156	24Dimethylimidazole	YLL045C	NA
157	24Dimethylimidazole	YJR137C	NA
158	24Dimethylimidazole	YJL084C	NA
