gene	logFC	logCPM	F	PValue	FDR
1	YAL004W	0.625750774941713	8.03014021353676	8.22856693214204	0.0137821375263011	0.0652836276866379
2	YAL005C	0.635179113796257	8.13798450689235	7.68662110673221	0.0165048146900447	0.0735157215690399
3	YAL008W	0.687275643890193	8.73072415625929	4.85122427888066	0.0473242980996888	0.143154797286901
4	YAL010C	0.720004388426436	4.73053461898152	1.76620756408555	0.207896203905873	0.372520032371688
5	YAL011W	0.702972021718338	6.84938555812566	3.35037597542477	0.0914298869935258	0.217710552006613
6	YAL013W	0.662241499681973	6.7047705806383	0.0112732637548474	0.917149126271597	0.944965607570995
7	YAL014C	0.652306855699883	9.98738445131949	1.72319869503822	0.213165744520286	0.377352763504667
8	YAL015C	0.672372729085858	8.76397054939483	0.347890317161548	0.565950824251357	0.710076183645653
9	YAL017W	0.666729525776815	9.15474118503389	0.018864306481832	0.892971255919222	0.932035534166534
10	YAL018C	0.664981556590786	9.20978183683185	0.000726174173282184	0.978932307142434	0.985841767243665
11	YAL019W	0.682336100443312	9.0848200789841	1.63268943298169	0.22484020548016	0.392947091106188
12	YAL020C	0.675867356916781	9.06686877913815	0.764478940530897	0.398623588004984	0.57776933702307
13	YAL022C	0.676427334599937	8.74230946250485	0.963564318100572	0.345140122259776	0.524995657185765
14	YAL023C	0.692482559520748	8.9586591429484	3.68668724319647	0.0782540044053641	0.1979659813574
15	YAL024C	0.665216444279372	9.47152915140252	0.00188190384679283	0.966091788404544	0.977602669287662
16	YAL026C	0.593918149615011	8.33906790608016	25.4924620669712	0.000261301334468667	0.0065179151052429
17	YAL027W	0.650214908864516	8.75179821698662	0.665803048738478	0.429984412420195	0.603843469568796
18	YAL028W	0.638510585978599	8.71807844423028	6.73394622501784	0.0229962885098323	0.0910716520507206
19	YAL029C	0.688676109034472	8.87114146630193	2.81101988451706	0.118743420960465	0.257325505811651
20	YAL030W	0.686352139562404	8.97821223618869	4.17211252980835	0.0630564837231423	0.17279780028203
21	YAL031C	0.687889048790392	8.59743456004484	3.6644949849404	0.079049112631986	0.199267554113179
22	YAL034C	0.633108884413317	9.22120469942445	6.53645070336658	0.0246962385739698	0.0945187585765561
23	YAL036C	0.662244967776912	9.04706959225363	0.0397205546881447	0.845273426744142	0.905160706453424
24	YAL037W	0.68961306087784	8.84548065585525	2.20255871988912	0.162864122037253	0.316586552210834
25	YAL040C	0.757816609614136	0.847767129658727	0.356756661310323	0.561110634201186	0.707764347771064
26	YAL042W	0.644930073414997	8.50875710465883	2.13944932683749	0.1685458592144	0.324098695319549
27	YAL043C-A	0.659960615038998	6.27451395662472	0.0119740383341116	0.914623593714897	0.943999525110254
28	YAL045C	0.6922208049532	8.73714491821672	7.60817951583932	0.0169493568389312	0.0747322074715298
29	YAL046C	0.678527832774898	9.46874034107874	0.940135752080781	0.350859656068482	0.53120390203577
30	YAL048C	0.689348033217004	9.2756269904685	4.21636337907617	0.0618565236471609	0.170740803943985
31	YAL049C	0.695535944086393	8.87673055843876	6.94796008735418	0.0213079215989635	0.0868632643925747
32	YAL051W	0.665114187915924	9.03131248480656	0.000878120827758979	0.976833425058884	0.985118695839706
33	YAL053W	0.698914758064191	8.27373639306814	8.60566000392561	0.0121974895639919	0.0605124412722658
34	YAL054C	0.751048814869395	0.669230398523116	0.289590350096064	0.601870392231078	0.737756594188404
35	YAL055W	0.688878032479585	8.27851916593416	5.17755610259684	0.0414575420472263	0.131845037309985
36	YAL056W	0.650160199375256	8.9884672391176	1.5548271876802	0.235567040802832	0.405143507494553
37	YAL058C-A	0.639931726798471	9.46509502281993	3.44018020765482	0.0876632543774332	0.212523405767769
38	YAL059W	0.667533429170647	8.66080855761687	0.0422730238265122	0.840452222090237	0.901864858036481
39	YAL060W	0.674559791770783	9.15782902733546	0.876199877175059	0.367198066082233	0.544840058949802
40	YAL061W	0.651842462102784	9.0211026395283	1.26919355543071	0.281344384614618	0.456784442385226
41	YAL062W	0.712961819289225	8.96046793308066	11.5236335811912	0.00512697391464882	0.035929107963757
42	YAL064C-A	0.687831462351275	9.12405851983737	3.59775395856011	0.0815001029827679	0.203383409755992
43	YAL065C	0.693060476652326	9.12054072373719	5.69589334938599	0.0338218169006855	0.115124982006166
44	YAL066W	0.70158011691067	9.08855669383903	6.77479728300804	0.0226621427706496	0.0901180192451585
45	YAL067C	0.687452574665187	9.01245951595425	4.41929938297029	0.0566929629412291	0.161006209244717
46	YAL068C	0.681163645093963	8.68041030753716	1.69531044010748	0.216676321634482	0.38243961577369
47	YAR002C-A	0.671831521027422	8.773597252288	0.35647456998182	0.561263351285281	0.707764347771064
48	YAR002W	0.707192365148466	2.5385085127379	0.181604803124901	0.677334958760539	0.789560064672824
49	YAR003W	0.537439654824696	6.99424746408076	4.26572956530358	0.0605501182592494	0.169000212700112
50	YAR014C	0.566665964176576	0.897648108285087	0.47405918962469	0.503861447241	0.660276922229481
51	YAR015W	0.711091111517422	8.38234893380477	19.2080086792588	0.000835367777778974	0.0121128327777951
52	YAR020C	0.703110170040359	9.05794235375695	18.8340315363972	0.000901967529769029	0.0126304585002332
