gene	logFC	logCPM	F	PValue	FDR
1	YAL004W	0.524219829020418	8.19081320855395	1.6888803279631	0.202753624338291	0.753080231522522
2	YAL005C	0.534926235362839	8.27402993359858	3.8150453130844	0.0593161204285016	0.538644842451339
3	YAL008W	0.495360082836583	8.55369785946532	0.0549627733694119	0.81609074826286	0.977134611133743
4	YAL010C	0.493858313908169	4.46738425599143	0.00714890638757288	0.933129027333708	0.991736129686
5	YAL011W	0.515910176698499	6.33444703208668	0.164187348896801	0.687945013812043	0.953527817389692
6	YAL013W	0.459353794617363	6.76101323431441	1.4674877009186	0.234345559899259	0.781821745937816
7	YAL014C	0.49630315725371	9.94376534999683	0.0639523345332592	0.801923374931473	0.975336276974839
8	YAL015C	0.499537508781118	8.61360396524105	0.000939413703834923	0.975733392445725	0.996090219438734
9	YAL017W	0.503715456861962	9.12118996153747	0.062024751808477	0.804867372125693	0.975632865376835
10	YAL018C	0.503854510999504	9.09379965917572	0.0569847172142955	0.812802960578446	0.97655726352999
11	YAL019W	0.526588798922024	8.99069125732864	2.33152830475846	0.136305549409593	0.695371650209641
12	YAL020C	0.500862328015537	9.05766484921413	0.00298437492513841	0.956763069528645	0.991736129686
13	YAL022C	0.48812030477396	8.75726225012829	0.661456380547865	0.421875309396893	0.893265326120747
14	YAL023C	0.501747707382548	9.17824658726955	0.0122864065573009	0.912411372247698	0.991736129686
15	YAL024C	0.507435338071599	9.23884150725448	0.190960750531785	0.664964320078261	0.949734125489844
16	YAL026C	0.475474007853243	8.47824666133535	1.51721806434816	0.226745848453034	0.77878477949446
17	YAL027W	0.506056784913274	8.69998730430306	0.137196822416363	0.713450580783262	0.953527817389692
18	YAL028W	0.506302179653936	8.75933401568357	0.183207625292017	0.671411472393297	0.949734125489844
19	YAL029C	0.496920108490386	8.76798368046013	0.0357621619670086	0.851165719314553	0.985993457958652
20	YAL030W	0.497019822155121	8.77276402117888	0.0443092961812543	0.834573506465565	0.983051516100184
21	YAL031C	0.503309286737009	8.55922993292859	0.0355504924874935	0.851601470050027	0.985993457958652
22	YAL034C	0.494912234185626	9.48122044150982	0.113631963578632	0.738180982689796	0.964314411546336
23	YAL036C	0.507586132171761	8.92932092304035	0.269815572671955	0.606922044069602	0.941842283578102
24	YAL037W	0.50171893307539	8.66514564652279	0.0107635069908305	0.917997791742542	0.991736129686
25	YAL040C	0.339027695295368	0.280085383031553	0.325293726467728	0.572836094492662	0.934751269770575
26	YAL042W	0.470234440112589	8.62430672801896	3.98704240069495	0.0541538610886483	0.519993526367344
27	YAL043C-A	0.545406546947454	6.16627192287563	0.952025049918636	0.336302636707063	0.848956196690903
28	YAL045C	0.524357458159959	8.46706332552325	1.80784990566513	0.187935518985952	0.747558262092665
29	YAL046C	0.48743615989851	9.34320936271665	0.755149282684591	0.39112695731314	0.875171607712269
30	YAL048C	0.498163839658363	9.06146228441648	0.0171582101869494	0.896578987290566	0.991736129686
31	YAL049C	0.477414292364211	8.76756847066225	2.07295843076728	0.159349588949785	0.727175138353946
32	YAL051W	0.506473096485456	8.85772505778153	0.179065933099558	0.674922133052956	0.950674392513968
33	YAL053W	0.506789573261247	7.95295832114072	0.111623432440448	0.740417263576422	0.964539429936737
34	YAL054C	0.402985239855236	0.782395443255468	0.100047624952498	0.75389239152761	0.969716824824135
35	YAL055W	0.463991387221377	8.16646476094774	3.77989930780613	0.0604370755689885	0.539703084831067
36	YAL056W	0.499398745845715	8.91669124385884	0.00178690189765528	0.966536775466834	0.992694898914863
37	YAL058C-A	0.481619774467766	9.54769985694924	1.75469566575013	0.194387550692221	0.752156479735887
38	YAL059W	0.516689263501591	8.6785824274086	1.33911121654078	0.25549809110781	0.795172951114368
39	YAL060W	0.509306153844626	9.11915901974643	0.379395525226044	0.542152197957305	0.925738556973407
40	YAL061W	0.500855386853097	8.9146485679825	0.00239384651128643	0.961272422269078	0.991736129686
41	YAL062W	0.493909576242382	8.69669905509063	0.140698610562627	0.709987415338594	0.953527817389692
42	YAL064C-A	0.496157986696316	9.04648461543674	0.0513297376607221	0.822162851486978	0.980556162107341
43	YAL065C	0.492283317048214	8.84093063235221	0.27368602802312	0.60436492109962	0.941842283578102
44	YAL066W	0.506616230332086	8.86340436899692	0.207162083296832	0.651981180370681	0.949734125489844
45	YAL067C	0.496059855915006	8.81546384584563	0.0612372513821946	0.806084114164743	0.975632865376835
46	YAL068C	0.49403995775835	8.63707083241647	0.171142458144936	0.6817746094645	0.953322065348704
47	YAR002C-A	0.500895008858142	8.87250006284348	0.00333247230465697	0.954313752225903	0.991736129686
48	YAR002W	0.661109722130574	2.5102435839965	1.38648888578973	0.247421057776639	0.78768985595201
49	YAR003W	0.648072362379879	6.60727229836033	8.99444914619024	0.00511908611059634	0.247099670095272
50	YAR014C	0.668569221691184	0.623088652617087	0.299257795967099	0.588533075311929	0.9393809116899
51	YAR015W	0.481806986827327	8.34726136800552	1.09763890251528	0.302397490087189	0.8282188927687
52	YAR020C	0.511022688587561	8.89779662197654	0.392360509742426	0.535370205436288	0.924253558491704
53	YAR023C	0.488849071230666	8.78651099899719	0.537871380742445	0.468494342722181	0.911891928871602
54	YAR027W	0.519708630551689	8.2785666198604	1.57957871976285	0.217644307558356	0.771153084441188
55	YAR028W	0.47396529376107	9.06933868779221	2.34811576174894	0.134965703814231	0.695371650209641
56	YAR029W	0.494939875302383	9.11356801209715	0.110012794527698	0.742226789641656	0.964539429936737
57	YAR030C	0.487068165780494	8.77886701601135	0.628912021894946	0.433419326355605	0.896975202480976
58	YAR031W	0.502356655596514	8.78390285945286	0.0187244767849149	0.891990697874977	0.991736129686
59	YAR035W	0.464205213169081	8.61338007928949	4.82464424689682	0.035187459273122	0.448017698654138
60	YAR037W	0.514408072553106	8.86157634330623	0.866095054495921	0.358796769358826	0.868896311965916
61	YAR040C	0.492970821788648	9.22677031226701	0.232941091552809	0.632537683514518	0.94712958327424
62	YAR043C	0.472900280837789	8.71044349187736	3.22174414312192	0.0818301150483548	0.584247973811593
63	YAR044W	0.50688271598113	8.52574197376662	0.175478142441523	0.678002337509483	0.952349331334594
