gene	logFC	logCPM	F	PValue	FDR
1	YAL002W	0.37691665510996	0.184184771282909	0.475904803518964	0.495749524532687	0.981546872092778
2	YAL004W	0.544344730086176	8.1731066234853	0.0322815878526399	0.858506653867488	0.993052639482923
3	YAL005C	0.546428188133783	8.2544226894168	0.000792929379562222	0.977704465044959	0.993598248891298
4	YAL008W	0.542353223905187	8.64723097683617	0.141144007355968	0.709543859846288	0.984581688945346
5	YAL010C	0.549384141291318	4.98963498884143	0.003832757169738	0.951007489148098	0.993598248891298
6	YAL011W	0.568857634148148	6.75262090419396	0.766174109510521	0.387712138518214	0.981546872092778
7	YAL013W	0.538283311367838	6.78596154477078	0.122401530747066	0.728661106794849	0.986176566128028
8	YAL014C	0.540868870567841	10.039468028533	0.253003886754577	0.618299204311762	0.981546872092778
9	YAL015C	0.54980360572897	8.67493484816895	0.0529687129852645	0.819392474958835	0.993052639482923
10	YAL017W	0.544132660573809	9.11480419800317	0.0416199044264513	0.839595426557151	0.993052639482923
11	YAL018C	0.545876558280381	9.23865285472916	0.00663368340563698	0.935576736455755	0.993280507112212
12	YAL019W	0.548248078496096	8.90212247921117	0.0139432528354206	0.906716850246302	0.993052639482923
13	YAL020C	0.565183613286614	9.04859193006251	2.47947451588025	0.124853602084363	0.976539700226576
14	YAL022C	0.541814771526357	8.70642608623554	0.146926791354035	0.703941071043294	0.984581688945346
15	YAL023C	0.556341985371627	8.94502647606604	0.561041049206296	0.459132301865201	0.981546872092778
16	YAL024C	0.536661050363606	9.45900141460701	0.618423633472326	0.437228893200449	0.981546872092778
17	YAL026C	0.559867835299743	8.51145298835129	0.858923434335621	0.360750128996502	0.981546872092778
18	YAL027W	0.539699650778455	8.74191898258986	0.281885665276385	0.599013352259746	0.981546872092778
19	YAL028W	0.541555591519538	8.72948855615397	0.205522992293761	0.653258033895337	0.984581688945346
20	YAL029C	0.546330974161258	8.75548328957734	0.00157103010566036	0.968621304546714	0.993598248891298
21	YAL030W	0.547672596668796	8.93982626425599	0.00501866201088095	0.943949479781997	0.993598248891298
22	YAL031C	0.552526362764382	8.5559423968603	0.179177669336342	0.674819234855821	0.984581688945346
23	YAL034C	0.534217353782443	9.31269610503673	1.12917518281619	0.295644415198824	0.981546872092778
24	YAL036C	0.539232091536485	8.99940016767107	0.344874973490405	0.561014362216659	0.981546872092778
25	YAL037W	0.544300295254129	8.69992609191158	0.0342318884981835	0.854343684701844	0.993052639482923
26	YAL040C	0.666300131047018	0.505055643333331	0.555003873945979	0.461538582747622	0.981546872092778
27	YAL042W	0.545736965605341	8.53377742339143	0.0076543986105762	0.930809756563806	0.993052639482923
