Inhibitor	Direction	Deletion
1	22Diprydyl	up	YGR157W
2	22Diprydyl	up	YDL172C
3	22Diprydyl	up	YIR005W
4	22Diprydyl	up	YCR077C
5	22Diprydyl	up	YJL177W
6	22Diprydyl	up	YCR034W
7	22Diprydyl	up	YKL139W
8	22Diprydyl	up	YDR475C
9	22Diprydyl	up	YJL101C
10	22Diprydyl	up	YPL183C
11	22Diprydyl	up	YER083C
12	22Diprydyl	up	YDR378C
13	22Diprydyl	up	YNL153C
14	22Diprydyl	up	YHR081W
15	22Diprydyl	up	YMR269W
16	22Diprydyl	up	YGR014W
17	22Diprydyl	up	YKL046C
18	22Diprydyl	up	YLR315W
19	22Diprydyl	up	YGR224W
20	22Diprydyl	up	YLR386W
21	22Diprydyl	up	YKR040C
22	22Diprydyl	up	YMR116C
23	22Diprydyl	up	YJR075W
24	22Diprydyl	up	YNL147W
25	22Diprydyl	up	YHR129C
26	22Diprydyl	up	YMR060C
27	22Diprydyl	up	YGR181W
28	22Diprydyl	up	YBR077C
29	22Diprydyl	up	YJL124C
30	22Diprydyl	up	YNL198C
121	22Diprydyl	down	YNL081C
122	22Diprydyl	down	YBL005W
123	22Diprydyl	down	YNR041C
124	22Diprydyl	down	YNL273W
125	22Diprydyl	down	YPR191W
126	22Diprydyl	down	YBR266C
127	22Diprydyl	down	YJL071W
128	22Diprydyl	down	YDR393W
129	22Diprydyl	down	YGL154C
130	22Diprydyl	down	YGR101W
131	22Diprydyl	down	YPR173C
132	22Diprydyl	down	YOL095C
133	22Diprydyl	down	YGL010W
134	22Diprydyl	down	YGR188C
135	22Diprydyl	down	YLR239C
136	22Diprydyl	down	YCR028C-A
137	22Diprydyl	down	YPL178W
138	22Diprydyl	down	YBR115C
139	22Diprydyl	down	YGL004C
140	22Diprydyl	down	YML001W
141	22Diprydyl	down	YDR007W
142	22Diprydyl	down	YCR071C
143	22Diprydyl	down	YDR004W
144	22Diprydyl	down	YOR221C
145	22Diprydyl	down	YJL046W
146	22Diprydyl	down	YGR032W
147	22Diprydyl	down	YBR248C
148	22Diprydyl	down	YIL094C
149	22Diprydyl	down	YDR019C
150	22Diprydyl	down	YIL020C
151	22Diprydyl	down	YNL003C
152	22Diprydyl	down	YGR022C
153	22Diprydyl	down	YGL009C
154	22Diprydyl	down	YGL017W
155	22Diprydyl	down	YDL013W
156	22Diprydyl	down	YPL172C
157	22Diprydyl	down	YOR125C
158	22Diprydyl	down	YDL006W
159	22Diprydyl	down	YDR276C
160	22Diprydyl	down	YDL001W
161	22Diprydyl	down	YDL002C
162	22Diprydyl	down	YDR006C
163	22Diprydyl	down	YHR018C
164	22Diprydyl	down	YHR134W
165	22Diprydyl	down	YKR101W
166	22Diprydyl	down	YGL005C
167	22Diprydyl	down	YBR113W
168	22Diprydyl	down	YDL012C
169	22Diprydyl	down	YBR005W
170	22Diprydyl	down	YOL009C
171	22Diprydyl	down	YLL048C
172	22Diprydyl	down	YBR130C
173	22Diprydyl	down	YLR413W
174	22Diprydyl	down	YOR338W
175	22Diprydyl	down	YGL036W
176	22Diprydyl	down	YHL035C
177	22Diprydyl	down	YMR289W
178	22Diprydyl	down	YBL017C
179	22Diprydyl	down	YGR149W
180	22Diprydyl	down	YHL028W
181	22Diprydyl	down	YKL211C
182	22Diprydyl	down	YIL057C
183	22Diprydyl	down	YBR283C
184	22Diprydyl	down	YLR055C
185	22Diprydyl	down	YGR136W
186	22Diprydyl	down	YKR087C
